#SOURCE	#TARGET	#LINK
Lung Cancer	Pancreatic Cancer	61
Pancreatic Cancer	Pancreatic Cancer	46
Lung Cancer	Lung Cancer	20
Leukemia	Leukemia	15
Pancreatic Cancer	Neuroblastoma	12
Neuroblastoma	Neuroblastoma	8
Colon/Colorectal Cancer	Pancreatic Cancer	6
Lung Cancer	Neuroblastoma	5
Ovarian Cancer	Brain Cancer	5
Colon/Colorectal Cancer	Lung Cancer	4
Lung Cancer	Ovarian Cancer	4
Skin Cancer	Skin Cancer	4
Lung Cancer	Breast Cancer	3
Ovarian Cancer	Ovarian Cancer	3
Ovarian Cancer	Endometrial/Uterine Cancer	3
Rhabdoid	Head and Neck Cancer	3
Rhabdoid	Esophageal Cancer	3
Kidney Cancer	Kidney Cancer	3
Head and Neck Cancer	Head and Neck Cancer	3
Ovarian Cancer	Breast Cancer	2
Ovarian Cancer	Pancreatic Cancer	2
Ovarian Cancer	Neuroblastoma	2
Ovarian Cancer	Eye Cancer	2
Skin Cancer	Rhabdoid	2
Skin Cancer	Head and Neck Cancer	2
Skin Cancer	Esophageal Cancer	2
Breast Cancer	Breast Cancer	2
Pancreatic Cancer	Sarcoma	2
Pancreatic Cancer	Endometrial/Uterine Cancer	2
Sarcoma	Sarcoma	2
Sarcoma	Rhabdoid	2
Sarcoma	Esophageal Cancer	2
Lymphoma	Lymphoma	2
Esophageal Cancer	Esophageal Cancer	2
Leukemia	Lung Cancer	1
Leukemia	Lymphoma	1
Leukemia	Neuroblastoma	1
Colon/Colorectal Cancer	Breast Cancer	1
Colon/Colorectal Cancer	Neuroblastoma	1
Bladder Cancer	Pancreatic Cancer	1
Bladder Cancer	Brain Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Sarcoma	1
Lung Cancer	Esophageal Cancer	1
Lung Cancer	Cervical Cancer	1
Lung Cancer	Eye Cancer	1
Ovarian Cancer	Sarcoma	1
Ovarian Cancer	Bone Cancer	1
Ovarian Cancer	Rhabdoid	1
Ovarian Cancer	Head and Neck Cancer	1
Ovarian Cancer	Liver Cancer	1
Skin Cancer	Pancreatic Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Lymphoma	1
Skin Cancer	Eye Cancer	1
Breast Cancer	Pancreatic Cancer	1
Pancreatic Cancer	Brain Cancer	1
Pancreatic Cancer	Esophageal Cancer	1
Brain Cancer	Eye Cancer	1
Sarcoma	Lymphoma	1
Sarcoma	Head and Neck Cancer	1
Lymphoma	Rhabdoid	1
Lymphoma	Head and Neck Cancer	1
Lymphoma	Esophageal Cancer	1
Head and Neck Cancer	Esophageal Cancer	1
