#SOURCE	#TARGET	#LINK
Pancreatic Cancer	Pancreatic Cancer	34
Pancreatic Cancer	Lung Cancer	25
Leukemia	Leukemia	13
Lung Cancer	Lung Cancer	10
Neuroblastoma	Neuroblastoma	8
Pancreatic Cancer	Neuroblastoma	5
Ovarian Cancer	Lung Cancer	4
Kidney Cancer	Kidney Cancer	3
Ovarian Cancer	Ovarian Cancer	3
Colon/Colorectal Cancer	Pancreatic Cancer	3
Colon/Colorectal Cancer	Lung Cancer	3
Head and Neck Cancer	Head and Neck Cancer	3
Ovarian Cancer	Endometrial/Uterine Cancer	2
Breast Cancer	Breast Cancer	2
Lung Cancer	Neuroblastoma	2
Lymphoma	Lymphoma	2
Ovarian Cancer	Brain Cancer	1
Ovarian Cancer	Breast Cancer	1
Ovarian Cancer	Pancreatic Cancer	1
Ovarian Cancer	Eye Cancer	1
Ovarian Cancer	Rhabdoid	1
Ovarian Cancer	Neuroblastoma	1
Ovarian Cancer	Sarcoma	1
Leukemia	Lymphoma	1
Colon/Colorectal Cancer	Breast Cancer	1
Brain Cancer	Eye Cancer	1
Breast Cancer	Lung Cancer	1
Head and Neck Cancer	Sarcoma	1
Head and Neck Cancer	Bladder Cancer	1
Pancreatic Cancer	Esophageal Cancer	1
Pancreatic Cancer	Sarcoma	1
Pancreatic Cancer	Skin Cancer	1
Pancreatic Cancer	Bladder Cancer	1
Eye Cancer	Skin Cancer	1
Eye Cancer	Bladder Cancer	1
Rhabdoid	Esophageal Cancer	1
Rhabdoid	Skin Cancer	1
Esophageal Cancer	Esophageal Cancer	1
Esophageal Cancer	Skin Cancer	1
Sarcoma	Sarcoma	1
Sarcoma	Skin Cancer	1
Skin Cancer	Skin Cancer	1
Skin Cancer	Lymphoma	1
