A1CF
A3GALT2
A4GALT
AAAS
AACS
AAK1
AAMDC
AAMP
AANAT
AAR2
AARD
AARS
AARS2
AARSD1
AASDHPPT
AATF
AATK
ABAT
ABCA12
ABCA13
ABCA2
ABCA4
ABCA5
ABCA8
ABCB10
ABCB4
ABCB5
ABCB6
ABCB7
ABCB9
ABCC1
ABCC10
ABCC3
ABCC6
ABCD1
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCG1
ABCG8
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD15
ABHD16A
ABHD17A
ABHD18
ABHD2
ABHD3
ABI1
ABI3
ABL1
ABLIM1
ABLIM2
ABR
ABRA
ABRAXAS1
ABT1
ACAA2
ACACA
ACACB
ACAD10
ACAD11
ACAD9
ACADM
ACADS
ACADVL
ACAP1
ACAP2
ACAP3
ACBD3
ACBD5
ACCSL
ACD
ACE
ACER2
ACER3
ACHE
ACIN1
ACKR4
ACLY
ACO2
ACOT12
ACOT4
ACOT6
ACOT8
ACOX1
ACOXL
ACP4
ACP6
ACP7
ACR
ACSF2
ACSL3
ACSL4
ACSL6
ACSM4
ACSM5
ACSS3
ACTA1
ACTB
ACTC1
ACTG1
ACTG2
ACTL6A
ACTL7A
ACTL7B
ACTL8
ACTL9
ACTN1
ACTN2
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3C
ACTR5
ACTR6
ACTR8
ACTRT1
ACVR1B
ACVR2A
ACVR2B
ACVRL1
ADA2
ADAD2
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM30
ADAM33
ADAM7
ADAMTS1
ADAMTS10
ADAMTS13
ADAMTS17
ADAMTS2
ADAMTS7
ADAMTS9
ADAMTSL1
ADAMTSL2
ADAMTSL4
ADAMTSL5
ADAP1
ADAP2
ADAR
ADAT1
ADAT2
ADAT3
ADCK2
ADCK5
ADCY3
ADCY4
ADCYAP1R1
ADGRA2
ADGRA3
ADGRB1
ADGRD1
ADGRE2
ADGRF3
ADGRF5
ADGRG1
ADGRG3
ADI1
ADIPOR1
ADIPOR2
ADIRF
ADK
ADM2
ADM5
ADNP
ADORA2A
ADORA2B
ADPGK
ADPRH
ADPRHL1
ADPRHL2
ADRA1D
ADRA2B
ADRB2
ADRM1
ADSL
ADSS
ADSSL1
ADTRP
AEBP1
AEBP2
AES
AFDN
AFF3
AFF4
AFG3L2
AFM
AFMID
AFTPH
AGAP1
AGAP2
AGAP5
AGAP6
AGAP9
AGBL2
AGBL3
AGBL4
AGBL5
AGFG1
AGFG2
AGL
AGMAT
AGO1
AGO2
AGO3
AGPAT1
AGPAT2
AGPAT3
AGPAT5
AGPS
AGR2
AGRN
AGT
AGTR1
AGXT
AGXT2
AHCTF1
AHCY
AHCYL1
AHDC1
AHNAK
AHNAK2
AHR
AHRR
AHSA1
AICDA
AIF1
AIF1L
AIFM1
AIFM2
AIFM3
AIG1
AIM2
AIMP1
AIMP2
AIP
AIPL1
AJM1
AJUBA
AK1
AK2
AK3
AK4
AK6
AK7
AKAP10
AKAP13
AKAP17A
AKAP7
AKAP8L
AKIP1
AKIRIN1
AKIRIN2
AKNA
AKR1C1
AKR7A3
AKR7L
AKT1
AKT2
AKTIP
ALAD
ALAS1
ALDH18A1
ALDH1B1
ALDH1L1
ALDH3A1
ALDH3B2
ALDH5A1
ALDH6A1
ALDH7A1
ALDH8A1
ALDOA
