name	louvain
ACH-000004	3
ACH-000007	3
ACH-000009	1
ACH-000011	3
ACH-000012	2
ACH-000013	2
ACH-000014	3
ACH-000015	2
ACH-000017	2
ACH-000018	3
ACH-000019	3
ACH-000021	1
ACH-000022	2
ACH-000025	2
ACH-000028	1
ACH-000029	2
ACH-000030	3
ACH-000035	3
ACH-000036	2
ACH-000037	3
ACH-000039	1
ACH-000040	2
ACH-000041	2
ACH-000042	1
ACH-000045	2
ACH-000047	2
ACH-000053	1
ACH-000054	2
ACH-000055	3
ACH-000060	2
ACH-000067	2
ACH-000070	3
ACH-000075	3
ACH-000078	1
ACH-000082	2
ACH-000086	2
ACH-000092	2
ACH-000095	3
ACH-000097	2
ACH-000098	2
ACH-000099	1
ACH-000108	1
ACH-000113	2
ACH-000115	3
ACH-000116	2
ACH-000118	1
ACH-000120	1
ACH-000123	1
ACH-000127	3
ACH-000128	3
ACH-000132	2
ACH-000133	2
ACH-000137	2
ACH-000138	1
ACH-000141	1
ACH-000142	2
ACH-000143	3
ACH-000146	1
ACH-000148	3
ACH-000150	3
ACH-000152	2
ACH-000159	2
ACH-000160	3
ACH-000163	2
ACH-000168	3
ACH-000169	2
ACH-000178	2
ACH-000182	2
ACH-000183	2
ACH-000187	3
ACH-000188	2
ACH-000190	3
ACH-000198	2
ACH-000204	3
ACH-000206	3
ACH-000207	3
ACH-000209	3
ACH-000211	3
ACH-000215	2
ACH-000217	2
ACH-000221	2
ACH-000222	1
ACH-000223	2
ACH-000226	2
ACH-000227	3
ACH-000228	3
ACH-000231	3
ACH-000232	2
ACH-000233	2
ACH-000234	3
ACH-000235	3
ACH-000237	2
ACH-000238	2
ACH-000243	1
ACH-000246	2
ACH-000248	3
ACH-000250	3
ACH-000253	2
ACH-000255	2
ACH-000256	3
ACH-000259	1
ACH-000260	3
ACH-000261	2
ACH-000262	3
ACH-000264	3
ACH-000265	1
ACH-000266	1
ACH-000272	2
ACH-000273	2
ACH-000274	2
ACH-000277	3
ACH-000278	2
ACH-000279	2
ACH-000280	2
ACH-000281	1
ACH-000288	2
ACH-000290	3
ACH-000291	2
ACH-000292	3
ACH-000293	3
ACH-000294	3
ACH-000296	3
ACH-000302	3
ACH-000307	2
ACH-000308	3
ACH-000310	1
ACH-000311	1
ACH-000312	1
ACH-000315	1
ACH-000316	3
ACH-000317	3
ACH-000318	2
ACH-000319	2
ACH-000320	1
ACH-000322	3
ACH-000323	2
ACH-000324	1
ACH-000326	2
ACH-000329	2
ACH-000330	3
ACH-000331	2
ACH-000332	3
ACH-000335	3
ACH-000337	3
ACH-000339	3
ACH-000348	2
ACH-000350	3
ACH-000352	2
ACH-000356	3
ACH-000361	3
ACH-000362	2
ACH-000363	2
ACH-000364	2
ACH-000365	1
ACH-000366	2
ACH-000368	3
ACH-000374	2
ACH-000375	3
ACH-000376	2
ACH-000378	3
ACH-000381	3
ACH-000383	3
ACH-000387	1
ACH-000389	3
ACH-000390	2
ACH-000393	2
ACH-000395	3
ACH-000397	2
ACH-000401	3
ACH-000403	2
ACH-000406	3
ACH-000407	2
ACH-000408	3
ACH-000410	2
ACH-000411	2
ACH-000414	1
ACH-000415	2
ACH-000416	3
ACH-000420	2
ACH-000421	3
ACH-000422	2
ACH-000424	3
ACH-000425	2
ACH-000427	3
ACH-000433	3
ACH-000434	3
ACH-000436	3
ACH-000437	2
ACH-000444	2
ACH-000445	3
ACH-000448	2
ACH-000452	2
ACH-000454	3
ACH-000458	3
ACH-000460	1
ACH-000461	3
ACH-000463	2
ACH-000464	3
ACH-000466	3
ACH-000467	2
ACH-000468	1
ACH-000469	2
ACH-000470	3
ACH-000471	2
ACH-000472	3
ACH-000473	2
ACH-000475	3
ACH-000476	2
ACH-000478	2
ACH-000480	2
ACH-000481	2
ACH-000483	3
ACH-000485	2
ACH-000486	3
ACH-000487	2
ACH-000488	3
ACH-000490	2
ACH-000491	3
ACH-000493	3
ACH-000495	3
ACH-000496	1
ACH-000499	3
ACH-000502	1
ACH-000504	3
ACH-000505	3
ACH-000507	2
ACH-000510	3
ACH-000511	2
ACH-000516	2
ACH-000517	3
ACH-000518	2
ACH-000520	3
ACH-000521	1
ACH-000522	2
ACH-000524	1
ACH-000527	3
ACH-000528	3
ACH-000537	2
ACH-000542	3
ACH-000544	2
ACH-000545	2
ACH-000548	2
ACH-000549	2
ACH-000550	1
ACH-000552	2
ACH-000556	2
ACH-000557	3
ACH-000570	2
ACH-000571	2
ACH-000573	2
ACH-000576	3
ACH-000577	3
ACH-000580	3
ACH-000584	3
ACH-000585	2
ACH-000588	3
ACH-000589	2
ACH-000591	3
ACH-000592	2
ACH-000593	2
ACH-000596	3
ACH-000600	3
ACH-000601	3
ACH-000605	2
ACH-000606	2
ACH-000608	2
ACH-000614	3
ACH-000616	2
ACH-000618	2
ACH-000619	2
ACH-000620	2
ACH-000621	2
ACH-000622	3
ACH-000623	2
ACH-000624	3
ACH-000627	2
ACH-000630	1
ACH-000632	2
ACH-000633	2
ACH-000637	3
ACH-000638	1
ACH-000639	3
ACH-000647	3
ACH-000648	3
ACH-000649	3
ACH-000651	1
ACH-000652	3
ACH-000653	3
ACH-000654	3
ACH-000655	2
ACH-000657	3
ACH-000658	3
ACH-000661	2
ACH-000663	3
ACH-000665	2
ACH-000671	2
ACH-000673	3
ACH-000676	2
ACH-000677	2
ACH-000681	1
ACH-000682	1
ACH-000683	3
ACH-000684	3
ACH-000688	3
ACH-000693	3
ACH-000694	3
ACH-000696	3
ACH-000697	3
ACH-000699	3
ACH-000701	3
ACH-000702	2
ACH-000706	2
ACH-000711	3
ACH-000713	3
ACH-000714	3
ACH-000718	1
ACH-000720	2
ACH-000721	3
ACH-000725	3
ACH-000732	3
ACH-000734	2
ACH-000735	2
ACH-000736	2
ACH-000738	2
ACH-000739	3
ACH-000740	2
ACH-000746	3
ACH-000747	2
ACH-000748	2
ACH-000753	3
ACH-000756	3
ACH-000757	1
ACH-000758	2
ACH-000760	2
ACH-000762	3
ACH-000763	3
ACH-000764	3
ACH-000765	3
ACH-000766	2
ACH-000767	3
ACH-000768	2
ACH-000769	1
ACH-000770	3
ACH-000771	2
ACH-000773	3
ACH-000776	3
ACH-000777	2
ACH-000778	3
ACH-000781	3
ACH-000782	3
ACH-000783	2
ACH-000784	3
ACH-000785	1
ACH-000787	1
ACH-000788	3
ACH-000790	3
ACH-000791	1
ACH-000792	2
ACH-000793	3
ACH-000794	2
ACH-000796	2
ACH-000799	3
ACH-000801	3
ACH-000802	2
ACH-000804	1
ACH-000805	3
ACH-000809	2
ACH-000811	3
ACH-000817	3
ACH-000819	2
ACH-000822	2
ACH-000823	2
ACH-000824	3
ACH-000827	3
ACH-000829	3
ACH-000831	2
ACH-000832	2
ACH-000834	2
ACH-000835	3
ACH-000836	3
ACH-000837	1
ACH-000839	3
ACH-000841	1
ACH-000843	2
ACH-000846	3
ACH-000847	3
ACH-000848	3
ACH-000849	2
ACH-000851	1
ACH-000853	2
ACH-000855	3
ACH-000856	1
ACH-000858	2
ACH-000859	3
ACH-000861	1
ACH-000862	2
ACH-000865	2
ACH-000866	3
ACH-000867	3
ACH-000869	2
ACH-000872	2
ACH-000873	3
ACH-000876	2
ACH-000880	3
ACH-000881	2
ACH-000882	2
ACH-000884	2
ACH-000885	2
ACH-000887	3
ACH-000888	3
ACH-000889	2
ACH-000890	2
ACH-000896	2
ACH-000898	2
ACH-000900	1
ACH-000901	1
ACH-000905	2
ACH-000906	3
ACH-000907	3
ACH-000910	2
ACH-000911	2
ACH-000912	2
ACH-000913	2
ACH-000914	3
ACH-000915	2
ACH-000917	2
ACH-000921	2
ACH-000924	2
ACH-000926	2
ACH-000928	3
ACH-000932	2
ACH-000935	3
ACH-000936	2
ACH-000937	2
ACH-000938	2
ACH-000939	3
ACH-000941	2
ACH-000943	3
ACH-000946	2
ACH-000947	3
ACH-000948	2
ACH-000950	3
ACH-000953	2
ACH-000957	3
ACH-000958	3
ACH-000960	2
ACH-000963	3
ACH-000965	2
ACH-000968	3
ACH-000969	1
ACH-000973	3
ACH-000974	3
ACH-000975	2
ACH-000976	2
ACH-000980	3
ACH-000983	2
ACH-000984	2
ACH-000986	2
ACH-000988	2
ACH-000993	3
ACH-000994	3
ACH-000996	3
ACH-001001	3
ACH-001020	3
ACH-001028	3
ACH-001031	3
ACH-001038	3
ACH-001048	2
ACH-001050	2
ACH-001053	3
ACH-001054	2
ACH-001061	2
ACH-001067	3
ACH-001075	3
ACH-001096	2
ACH-001134	2
ACH-001151	3
ACH-001163	2
ACH-001173	3
ACH-001183	2
ACH-001184	3
ACH-001190	2
ACH-001192	3
ACH-001196	2
ACH-001197	3
ACH-001205	3
ACH-001211	3
ACH-001228	3
ACH-001232	2
ACH-001239	2
ACH-001274	3
ACH-001275	2
ACH-001277	3
ACH-001278	3
ACH-001280	3
ACH-001283	2
ACH-001289	3
ACH-001295	3
ACH-001300	2
ACH-001301	3
ACH-001306	2
ACH-001318	2
ACH-001322	3
ACH-001328	3
ACH-001329	3
ACH-001333	3
ACH-001336	2
ACH-001340	3
ACH-001346	2
ACH-001353	2
ACH-001368	3
ACH-001375	2
ACH-001377	2
ACH-001380	3
ACH-001391	3
ACH-001407	2
ACH-001408	2
ACH-001412	2
ACH-001413	2
ACH-001414	2
ACH-001415	3
ACH-001431	3
ACH-001450	3
ACH-001454	3
ACH-001496	2
ACH-001500	3
ACH-001522	3
ACH-001523	2
ACH-001524	1
ACH-001529	2
ACH-001532	2
ACH-001536	3
ACH-001550	3
ACH-001552	3
ACH-001554	3
ACH-001563	2
ACH-001566	3
ACH-001568	2
ACH-001645	2
ACH-001650	2
ACH-001654	3
ACH-001715	3
ACH-001735	2
ACH-001736	2
ACH-001740	3
ACH-001745	2
ACH-001750	2
ACH-001765	3
ACH-001956	3
ACH-001957	2
