,Leukemia,Colon/Colorectal Cancer,Bladder Cancer,Lung Cancer,Ovarian Cancer,Skin Cancer,Breast Cancer,Pancreatic Cancer,Brain Cancer,Lymphoma,Kidney Cancer,Sarcoma,Bone Cancer,Gastric Cancer,Neuroblastoma,Rhabdoid,Prostate Cancer,Fibroblast,Gallbladder Cancer,Thyroid Cancer,Bile Duct Cancer,Head and Neck Cancer,Myeloma,Liver Cancer,Endometrial/Uterine Cancer,Esophageal Cancer,Cervical Cancer,Eye Cancer
CBLC (23624),12106.0,9463.5,10860.0,10770.5,10991.0,10661.0,9588.0,11376.5,9432.5,11889.0,9916.5,9486.0,10341.0,9926.5,9542.5,12546.5,8775.0,13322.0,8712.0,10560.5,12343.0,9474.0,11447.5,9896.5,12075.5,12635.0,13936.5,8331.0
CBLL1 (79872),16666.0,16652.5,16324.0,16399.5,16418.0,16437.5,16445.0,16609.5,16241.0,16448.0,16423.5,16524.0,16637.0,16415.0,16850.5,15697.0,16512.0,16967.0,12919.0,16004.0,17023.0,16570.5,16394.5,16340.5,16565.0,16099.5,16011.5,16157.0
CBLL2 (158506),7264.0,6702.0,7476.0,7022.0,7167.0,7449.5,7214.5,7056.0,6092.0,9234.0,7754.0,6755.5,7474.0,4685.5,7154.0,7344.0,5833.0,8492.0,6728.0,7859.0,6522.0,5974.0,5736.5,7320.5,6326.0,6993.0,4680.0,10598.5
CBLN1 (869),15947.0,15969.5,15832.0,16105.5,16085.0,15664.5,16147.0,16170.5,15902.0,15626.0,15552.0,16272.0,16237.0,15877.0,16316.5,15997.0,16181.0,13897.0,15558.0,14958.0,16276.0,15956.0,16197.5,15895.5,16139.5,16015.5,16132.5,16310.0
CBLN2 (147381),7509.0,7438.5,8060.0,7877.5,8871.0,9173.5,8322.0,6813.5,10382.0,8446.0,7458.5,9534.5,8375.0,6997.0,8148.0,7673.5,4251.0,5174.0,8859.0,10403.0,8270.0,7624.0,8394.5,8093.0,7280.0,8534.0,3953.5,8349.0
CBLN3 (643866),13577.0,12982.0,12259.0,12208.0,12536.0,13200.0,12909.0,13118.5,13142.0,12371.0,13588.5,12984.0,12093.0,12650.0,12286.0,12517.0,5137.0,11171.0,10707.0,11239.0,13861.0,12570.0,11596.5,12038.0,13019.0,12260.5,11016.0,14132.5
CBLN4 (140689),4030.0,3690.0,2062.0,2458.0,3143.0,4832.0,3975.0,1670.0,1716.5,4242.0,3587.0,4793.5,2531.0,4243.0,1066.0,2176.0,4709.0,11843.0,7184.0,2028.0,3066.0,2224.0,2416.5,3129.5,1952.5,2209.5,2551.0,3566.0
CBR1 (873),3544.0,2194.0,3620.0,1447.5,2642.0,1636.5,1871.0,1393.5,3190.0,2025.0,3228.0,3952.5,2856.0,2271.5,2263.5,1980.0,10385.0,4212.0,624.0,764.5,3012.0,2405.0,3838.0,3431.0,2426.5,2498.5,2200.0,3931.5
CBR3 (874),7884.0,7154.5,9756.0,6317.0,5926.0,7198.5,8292.0,5832.0,7207.5,7878.0,7885.5,10586.5,6866.0,8022.5,2450.5,7813.0,4673.0,6302.0,6072.0,11253.0,7841.0,7770.5,9159.0,7082.0,6765.5,8149.5,10118.5,6960.0
CBR4 (84869),6796.0,8226.0,7263.0,7680.0,8150.0,7734.5,8564.0,9207.5,7708.0,4462.0,9290.5,8441.5,9202.0,7207.5,9383.0,8235.0,11329.0,4873.0,5842.0,8525.5,4645.0,6619.0,7331.5,8376.5,8536.0,7701.0,8147.5,7528.0
CBS (875),7026.0,6455.0,6464.0,5854.0,5834.0,4967.5,5152.0,5783.5,5160.0,6467.0,3118.5,6303.5,5425.0,4861.0,4795.0,8854.0,10484.0,1953.0,7907.0,6264.5,4615.0,7858.0,5228.0,6287.0,4864.0,7218.5,5193.0,3957.5
CBSL (102724560),8555.0,8354.5,8463.0,8394.0,6505.0,7056.0,7719.0,8752.0,6607.0,7355.0,9223.0,8066.5,7995.0,7333.5,9400.0,7008.0,7880.0,6867.0,5639.0,6968.0,8439.0,9186.5,7401.5,8004.0,8409.0,7945.5,7463.0,9595.0
CBWD1 (55871),12892.0,12313.0,12301.0,12284.5,13021.0,12152.5,11952.0,11762.0,12124.5,11709.0,13245.0,12134.5,12355.0,10207.0,10207.5,12324.0,1993.0,15251.0,10221.0,12887.0,12975.0,12184.5,12186.0,12511.5,12252.5,12448.0,12656.0,14182.5
CBWD2 (150472),16959.0,17240.0,17139.0,17141.0,17255.0,17082.5,16995.0,17189.0,17039.5,17054.0,17186.5,17190.0,17189.0,17195.0,17140.5,17037.0,16945.0,17341.0,17245.0,17184.5,17101.0,17234.0,16860.0,17070.0,17182.0,17100.0,17158.5,17194.0
CBWD3 (445571),16452.0,16388.5,16418.0,16467.5,16572.0,16481.5,16416.0,16577.5,16430.0,16459.0,16415.5,16367.0,16434.0,16433.0,16109.0,16557.0,16441.0,15708.0,16324.0,16796.0,16417.0,16354.5,16250.0,16425.0,16504.5,16341.0,16439.5,16407.5
CBWD5 (220869),15869.0,16737.5,16453.0,16296.5,16550.0,16266.0,16171.0,16574.5,16360.5,16145.0,16418.0,16402.5,16320.0,16342.0,16668.0,16674.0,16660.0,16915.0,16657.0,15735.0,16419.0,16454.0,16228.5,16374.0,16415.0,16339.0,16374.5,16606.0
CBWD6 (644019),1081.0,571.0,709.0,1069.0,1359.0,1040.5,833.0,1268.0,577.5,667.0,782.0,727.5,915.0,1182.0,1302.0,822.0,1153.0,294.0,355.0,423.0,653.0,862.5,964.0,1020.5,1209.0,734.0,336.5,1589.0
CBX1 (10951),16446.0,16313.0,16024.0,16417.5,16482.0,15864.5,16550.0,16553.0,16277.0,16147.0,15722.0,16383.0,16630.0,16471.0,16652.0,14903.0,17265.0,15943.0,15353.0,15629.0,16499.0,16412.0,16360.5,16157.5,16411.5,16423.0,16691.5,16899.0
CBX2 (84733),7253.0,7774.5,7522.0,6744.5,7771.0,7522.0,8084.0,7879.5,8567.5,8035.0,6500.0,6408.0,7593.0,5265.0,10402.5,3426.5,9086.0,5196.0,1794.0,6809.5,7106.0,8687.0,5468.0,9140.0,9796.5,7045.0,8276.0,4919.5
CBX3 (11335),6926.0,6984.0,6665.0,4833.0,5430.0,7514.5,4001.0,7179.5,4580.0,6080.0,8503.5,3994.0,4364.0,5896.5,5482.0,3322.0,11538.0,4097.0,6201.0,5759.0,10370.0,5844.5,8140.5,4060.5,5251.5,4345.0,3325.5,7995.0
CBX4 (8535),5676.0,5536.0,3179.0,4594.5,6325.0,4973.0,5607.0,5315.0,6330.5,3791.0,7366.0,6123.0,5850.0,5889.5,6266.0,4823.0,10390.0,4100.0,5743.0,4737.0,6748.0,4975.0,3972.0,6065.5,3847.0,3789.0,7131.5,6419.5
CBX5 (23468),11850.0,11947.5,11066.0,12784.5,12156.0,12460.0,12185.0,13993.0,12756.0,9687.0,11555.0,12246.0,12902.0,12010.0,12762.5,10035.0,10629.0,15026.0,14809.0,9174.5,10742.0,12610.5,9909.5,11946.5,12833.5,12050.5,13413.0,11856.5
CBX6 (23466),4950.0,5987.0,6951.0,6085.5,4838.0,6199.0,4185.0,3947.5,6104.0,5384.0,3455.0,5914.0,7054.0,4992.5,4880.5,3923.5,8175.0,6005.0,2861.0,7938.5,6070.0,6235.5,6047.5,5105.5,3734.5,7614.5,5684.5,5977.5
CBX7 (23492),11248.0,12008.0,11334.0,12286.0,11418.0,9574.5,12061.0,10582.5,10795.0,11401.0,9917.5,11376.0,12075.0,11240.0,11982.0,11515.5,7451.0,11562.0,12720.0,13826.0,9707.0,12042.5,11697.0,11251.0,10989.5,12598.0,14302.5,11798.0
CBX8 (57332),2763.0,3524.0,4743.0,3243.5,4313.0,3885.0,4516.0,3031.0,3806.0,1947.0,4257.5,3658.0,2316.0,2905.0,5700.5,1984.5,5425.0,6946.0,4553.0,871.0,2979.0,3045.0,3561.5,2693.0,2705.0,3869.5,6038.5,3066.0
CBY1 (25776),9322.0,9536.5,11384.0,10436.0,11427.0,10305.0,10190.0,9786.0,10662.5,11431.0,8611.0,11707.0,10621.0,10687.0,9409.0,11993.5,12380.0,7108.0,15190.0,5999.0,9607.0,10619.0,8602.0,10114.5,9897.5,11329.0,9336.0,10125.0
CBY3 (646019),12135.0,9604.0,9882.0,11027.0,10512.0,10670.0,11504.0,11137.0,10963.5,11992.0,10494.0,11032.5,10291.0,9986.0,7998.0,10357.0,9303.0,7500.0,11534.0,10878.0,10064.0,8182.5,11018.5,11216.5,9815.5,10811.5,9165.0,10807.5
CC2D1A (54862),5083.0,2498.5,3177.0,4871.5,2924.0,4136.0,2445.0,2767.0,3546.5,2461.0,4161.5,4799.0,4233.0,3094.0,3940.0,4742.5,7468.0,3792.0,6498.0,10307.0,2419.0,3502.5,1904.0,3762.5,3017.0,4261.0,7975.0,6613.0
CC2D1B (200014),12594.0,11577.5,12233.0,12722.5,12341.0,11993.0,11809.0,12882.0,12454.0,12066.0,12133.5,11578.5,11438.0,12014.5,13263.5,13529.5,9146.0,8397.0,9940.0,10622.0,10897.0,13085.0,11613.5,12323.5,11501.5,11756.5,12249.5,11612.0
CC2D2A (57545),7771.0,7994.5,7488.0,7333.0,8017.0,8657.0,8216.0,8019.0,7829.5,5808.0,7768.0,7298.5,8716.0,7389.5,10418.0,7812.5,2674.0,5917.0,6861.0,8386.5,8242.0,7755.5,7302.5,6613.0,8728.0,7416.5,6541.0,7956.0
CC2D2B (387707),5190.0,6129.5,4470.0,6483.5,5712.0,4382.0,5977.0,5553.0,5276.5,5151.0,5398.0,4825.0,5478.0,5285.0,4821.0,7672.0,6135.0,4413.0,8299.0,3973.0,7216.0,5845.0,6476.5,5323.0,7095.0,6621.0,3765.5,4684.0
CCAR1 (55749),16857.0,16876.0,17289.0,17220.5,17267.0,16897.0,16975.0,17217.0,16971.5,16787.0,16960.0,17109.5,17139.0,16927.0,17247.0,16983.5,17407.0,17534.0,16909.0,17155.0,17003.0,17232.0,16813.5,17173.0,17125.0,17169.5,16969.0,15941.0
CCAR2 (57805),9966.0,8830.0,9161.0,8476.0,10662.0,6842.0,9812.0,9161.5,8759.0,8775.0,9637.5,6898.0,9130.0,8365.5,13056.5,5653.0,4770.0,13231.0,12576.0,10545.5,9358.0,9745.5,8684.0,9033.0,10356.5,8981.5,9374.5,11754.5
CCBE1 (147372),9086.0,8525.5,9494.0,6253.0,7637.0,7287.0,6275.0,5847.5,8874.0,8052.0,7770.5,7653.5,7526.0,6829.5,5577.0,6422.5,9524.0,5315.0,10690.0,7002.0,9980.0,7745.5,9191.0,7794.5,7117.0,8628.0,9375.0,9345.5
CCDC102A (92922),9297.0,9873.5,10619.0,10091.5,9361.0,9099.5,10329.0,10571.5,9704.5,9008.0,8256.5,10357.0,9616.0,10096.0,9502.5,8501.5,5033.0,12328.0,14232.0,8946.5,11862.0,8820.0,7678.0,9117.5,13964.0,10272.5,12071.0,5108.0
CCDC102B (79839),2323.0,2438.5,2163.0,2329.5,2564.0,2498.0,2748.0,2013.5,2211.5,3414.0,1894.0,2281.5,3157.0,1915.5,4335.5,3205.5,1371.0,578.0,3716.0,372.5,3434.0,2864.5,2208.5,4163.5,2690.5,2700.5,808.5,3054.5
CCDC103 (388389),2937.0,4813.5,4297.0,4584.0,5297.0,4906.5,6166.0,5994.5,5606.0,5254.0,5183.0,4329.5,4297.0,6223.5,7060.0,3391.0,4219.0,5940.0,9300.0,5600.0,3949.0,3613.0,6606.5,5323.5,4805.0,3841.5,4313.5,6675.5
CCDC105 (126402),10651.0,9356.0,11990.0,10738.5,10358.0,10748.5,10936.0,11546.0,9706.0,11060.0,9735.0,12656.5,9910.0,10799.5,10316.5,10802.5,14845.0,12471.0,13329.0,14759.0,9023.0,12657.0,9434.0,11866.5,9075.0,12706.0,13889.0,12388.5
CCDC106 (29903),15331.0,14755.0,15629.0,15118.0,15920.0,15310.5,15382.0,15385.0,15590.5,14132.0,15191.5,15781.5,15686.0,15578.0,15410.0,15756.5,16501.0,14548.0,15714.0,14880.5,15668.0,15168.0,15092.0,15549.5,15560.5,15581.5,15981.5,15545.0
CCDC107 (203260),14092.0,14512.0,13974.0,14751.5,14808.0,14789.0,14260.0,14934.0,13747.0,13633.0,14583.5,14757.5,15126.0,13673.5,13658.0,14572.5,9693.0,14207.0,14032.0,13680.0,13620.0,14278.0,13618.0,14000.0,14077.0,15389.0,14768.5,15123.0
CCDC110 (256309),6280.0,3928.5,4605.0,5101.5,5273.0,5296.0,5332.0,5181.0,4669.5,5307.0,5170.0,6208.0,4356.0,5170.0,5534.5,6522.0,8935.0,1147.0,12357.0,4010.5,7423.0,5096.0,5386.0,5973.0,5091.0,4948.5,3931.0,6001.5
CCDC112 (153733),5799.0,8082.5,7565.0,7495.0,5969.0,7123.0,5866.0,10076.5,6137.5,8631.0,6867.0,6391.5,6694.0,5577.0,7104.5,6423.5,9718.0,3475.0,4759.0,5725.5,6124.0,7550.0,6170.0,5819.5,7309.5,6509.0,4840.5,6395.5
CCDC113 (29070),9936.0,8982.0,11368.0,11193.5,10632.0,9082.0,10358.0,12642.0,10722.0,11057.0,10164.0,9892.5,9959.0,11457.5,13608.0,12628.5,8617.0,13737.0,11902.0,6932.0,12905.0,11987.5,10326.5,11782.0,12149.0,12285.5,12020.0,12023.0
CCDC114 (93233),14665.0,14889.5,14521.0,15031.0,15571.0,14820.0,14897.0,14901.5,14529.0,14794.0,14156.5,14704.0,15009.0,15292.0,14738.0,15616.0,16576.0,15486.0,12102.0,12870.5,13273.0,14611.0,14281.5,14054.5,15296.0,14793.0,13833.0,15659.5
CCDC115 (84317),17561.0,17647.0,17728.0,17425.0,17376.0,17567.0,17604.0,17507.0,17446.0,17366.0,17576.5,17641.0,17495.0,17739.0,17304.0,17378.5,16434.0,17930.0,17224.0,17566.0,17674.0,17856.0,17606.0,17599.0,17459.5,17711.0,17782.0,17611.5
CCDC116 (164592),10683.0,10690.5,8058.0,11082.5,9972.0,9283.0,9380.0,10610.0,9845.0,9923.0,7406.5,10024.5,11375.0,9566.0,8889.5,9768.5,14278.0,13920.0,12275.0,12031.5,9562.0,9192.5,9233.5,8856.0,7056.5,10013.5,10523.5,9791.5
CCDC117 (150275),10378.0,11646.5,10786.0,11057.0,11300.0,10162.0,9916.0,9938.5,10959.5,10916.0,7782.0,12402.5,13302.0,12200.0,11861.5,9453.5,8105.0,9796.0,15525.0,11718.5,8326.0,10950.0,12902.5,11639.5,10958.0,11098.0,10100.0,12087.0
CCDC12 (151903),14771.0,15200.5,15716.0,15693.5,15900.0,15338.5,15643.0,15576.5,14729.0,15831.0,15976.0,15712.5,15628.0,15880.0,14455.5,15355.5,13407.0,15389.0,12182.0,11526.0,14979.0,16249.0,14511.5,15357.5,15623.0,16274.5,15742.0,15691.0
CCDC120 (90060),3238.0,2236.0,2088.0,2935.0,2213.5,2374.0,2846.5,1224.0,2943.0,3596.0,1918.0,3427.5,2780.0,2562.5,3092.0,1819.0,3619.0,4318.0,1756.0,7285.0,2855.0,2546.0,4059.0,3235.0,2841.0,2352.0,2770.5,2132.0
CCDC121 (79635),5975.0,9818.5,9151.0,9885.0,9722.0,10450.5,9768.0,9342.0,9280.0,7431.0,9696.5,8968.0,9481.0,7264.0,10787.0,11354.0,10249.0,12223.0,10335.0,8085.5,11579.0,8289.0,6362.5,8657.5,10880.5,8318.0,8044.0,9291.5
CCDC122 (160857),2046.0,1951.5,1118.0,1799.5,1410.0,1249.0,2111.0,1449.5,1037.5,1714.0,1172.5,861.0,1038.0,1277.0,2476.0,1731.5,4254.0,2236.0,2207.0,624.0,1525.0,1477.0,1755.5,1097.0,1215.0,1325.5,1119.5,1437.0
CCDC124 (115098),13288.0,13704.0,11850.0,13097.0,13628.0,13018.5,13274.0,13614.0,13066.0,13213.0,10359.0,14084.0,12597.0,12977.0,11019.5,11850.0,13864.0,9569.0,16595.0,14585.5,14140.0,14281.0,11923.0,14368.5,12609.0,14317.5,14148.5,13947.0
CCDC125 (202243),12346.0,12862.5,12822.0,13405.5,13688.0,13630.0,13349.0,12935.5,13489.0,13455.0,13935.0,14146.0,14413.0,13023.0,12682.0,12661.0,10643.0,13473.0,5947.0,12499.0,12266.0,13396.0,13839.5,13086.5,13244.0,13102.0,15779.0,12516.5
CCDC126 (90693),1800.0,2216.0,1919.0,2111.5,1965.0,1851.5,1640.0,2467.5,2059.5,1880.0,1965.5,2272.5,3173.0,1224.5,2988.0,2061.5,60.0,1261.0,1836.0,2282.0,850.0,1247.0,1912.0,1750.5,2513.5,1977.0,2689.0,1823.5
CCDC127 (133957),1768.0,2132.5,1402.0,1401.5,1620.0,1309.0,1509.0,2050.5,1765.0,1086.0,1776.0,3449.5,1043.0,2080.0,1789.0,4675.0,5010.0,44.0,3316.0,2487.0,938.0,1958.0,1868.5,2076.0,1201.5,1086.0,1719.5,3738.5
CCDC129 (223075),970.0,292.0,610.0,665.0,406.0,950.0,506.0,532.5,470.5,698.0,1570.5,788.5,595.0,878.5,577.5,858.5,926.0,414.0,344.0,655.5,178.0,945.0,934.0,640.5,388.0,578.0,1679.0,599.5
CCDC13 (152206),4291.0,7048.0,4670.0,5136.5,5178.0,5701.0,5264.0,6488.5,4594.5,6939.0,6074.5,4749.0,6037.0,5279.0,4665.5,6928.0,2421.0,2463.0,7873.0,2119.5,6348.0,4451.5,4876.0,6035.5,5058.5,5027.5,7525.0,5208.0
CCDC130 (81576),16923.0,17260.0,17313.0,17287.0,17223.0,16831.5,17437.0,17505.5,16988.5,17433.0,16961.0,17254.5,17246.0,17321.5,17154.5,16997.0,17304.0,17183.0,16647.0,17554.5,17268.0,17503.0,16943.0,17016.0,17266.5,17322.0,17172.0,17359.5
CCDC134 (79879),7255.0,7249.0,7820.0,6186.5,6384.0,7422.5,6707.0,7499.0,7447.5,5282.0,4987.5,6725.0,9273.0,6984.5,6617.0,7472.0,10088.0,6672.0,7994.0,7025.0,7644.0,9379.0,13467.0,9492.5,6740.5,7945.5,6477.0,6348.0
CCDC136 (64753),4880.0,5587.0,6013.0,4397.0,4757.0,5901.0,4401.0,3375.5,4550.5,5807.0,6925.0,4642.0,6299.0,4898.5,3902.0,5570.0,12693.0,6721.0,6571.0,6896.0,3872.0,3859.5,5090.5,4437.0,4338.5,3762.0,4186.0,4039.5
CCDC137 (339230),15603.0,15999.0,15890.0,15944.0,15981.0,16146.0,15797.0,16279.0,16089.5,15848.0,15921.5,16013.0,15788.0,15783.0,15884.5,16642.5,16536.0,15586.0,15051.0,14759.5,15571.0,15950.0,14638.5,15849.0,16015.5,16140.5,15413.0,16075.0
CCDC138 (165055),8742.0,10652.5,9629.0,9419.0,8681.0,8193.0,9310.0,8267.5,9180.5,6675.0,9903.0,8434.0,9490.0,9658.0,8535.0,9132.5,6182.0,14085.0,10049.0,8258.0,8419.0,9144.0,9117.0,9199.5,9285.5,8250.0,6692.5,9682.0
CCDC14 (64770),8317.0,7892.5,8232.0,7626.5,8417.0,8286.0,8191.0,8811.0,8018.5,9189.0,10022.0,7770.0,8376.0,8077.0,10331.5,7030.0,4029.0,7803.0,13723.0,7341.5,8772.0,8649.0,8261.5,8282.5,9240.5,8885.0,10299.5,5847.5
CCDC140 (151278),5287.0,3838.0,3431.0,3656.0,2804.0,3466.5,3725.0,4146.0,3636.0,4361.0,3836.5,3222.5,3643.0,4722.0,3674.5,2526.0,8616.0,3934.0,464.0,1763.5,3200.0,3501.5,4150.0,5190.5,3103.0,4108.0,2323.0,3872.0
CCDC142 (84865),11672.0,12133.0,13552.0,12548.5,13666.0,11821.0,11288.0,12021.5,12785.5,12304.0,12971.5,11065.0,13442.0,12062.0,10664.5,11971.5,13540.0,14788.0,13389.0,12337.0,10283.0,11732.5,11333.5,11591.0,13275.0,12792.0,14253.5,13757.0
CCDC144A (9720),15491.0,15843.0,15916.0,16089.0,16114.0,15562.0,15641.0,16266.0,15920.5,15804.0,15523.5,16072.5,16008.0,16002.0,16195.0,16282.5,14983.0,15978.0,16278.0,14537.0,16157.0,15763.5,15460.0,15902.0,15839.0,15546.0,16115.5,16688.5
CCDC144NL (339184),15536.0,15585.5,16026.0,15868.0,15908.0,15348.0,16374.0,15937.5,16050.5,15285.0,15399.0,16129.5,16078.0,15887.5,15894.5,16009.5,16028.0,16266.0,16217.0,15318.5,16052.0,15959.5,15102.5,15466.0,15868.0,15082.0,14531.5,16690.5
CCDC146 (57639),3746.0,5902.5,4131.0,4099.5,3970.0,3402.5,3712.0,3551.0,3138.5,3941.0,4302.5,4984.5,5491.0,3906.0,3266.5,5817.0,141.0,3283.0,1458.0,8250.5,5664.0,5157.5,4949.5,3040.0,3062.0,4348.0,3921.0,4686.0
CCDC148 (130940),2999.0,2360.5,1734.0,2311.0,2307.0,2349.5,1655.0,2807.0,1872.5,1447.0,2438.5,3945.0,2819.0,3446.5,3939.5,3503.0,10123.0,922.0,1180.0,1031.5,1868.0,1859.5,2235.5,2231.5,3693.5,2579.5,3903.0,3026.5
CCDC149 (91050),1369.0,2369.0,1862.0,1191.5,1025.0,1286.5,1419.0,1120.0,1562.0,1845.0,1719.0,1569.5,1746.0,1184.0,1184.0,2640.0,1326.0,3270.0,4251.0,2482.5,1806.0,1438.0,1434.0,1615.0,1391.0,1080.0,1052.5,380.0
CCDC15 (80071),2556.0,3361.5,2736.0,3138.0,2646.0,3769.5,3181.0,4087.5,3580.0,3066.0,3396.5,4178.0,2807.0,2550.5,3745.0,5514.5,10525.0,1333.0,3946.0,2266.0,5765.0,3424.5,1566.5,3575.5,4039.5,3454.5,4547.5,4911.0
CCDC150 (284992),3087.0,3314.0,3256.0,2894.0,2877.0,2795.5,4461.0,3336.5,2820.0,2609.0,5035.5,3309.5,3263.0,3913.5,4028.5,3409.0,2465.0,2678.0,2684.0,1934.5,413.0,3436.0,4953.0,4426.0,1755.5,2688.5,3040.5,3210.5
CCDC151 (115948),8956.0,6495.0,8156.0,8131.5,8059.0,7854.0,8276.0,6534.5,6816.5,7562.0,6208.0,8466.0,8095.0,8352.0,8120.0,7199.0,8336.0,3605.0,11348.0,11798.0,7039.0,7817.0,6034.5,8583.0,6633.0,9635.0,4251.0,7728.0
CCDC152 (100129792),906.0,1880.0,1282.0,1465.5,770.0,1056.5,1246.0,1363.5,852.0,1282.0,1915.0,1192.5,1374.0,1402.5,2174.0,1965.5,1654.0,642.0,1775.0,873.0,2074.0,793.5,970.0,1464.5,2314.5,901.0,1063.5,800.0
CCDC153 (283152),9434.0,8178.5,6954.0,5996.5,8116.0,6199.5,7750.0,7262.5,6501.0,7721.0,8500.5,8136.5,7393.0,6712.0,7566.0,6156.0,8820.0,9727.0,6136.0,10418.5,6679.0,5346.0,10756.0,8038.0,6077.0,8357.5,5027.0,7036.0
CCDC155 (147872),4080.0,5562.0,3650.0,4104.0,4406.0,5568.5,4392.0,4151.0,5415.5,5870.0,4929.5,7704.0,5352.0,3922.0,4819.0,4724.0,8834.0,12296.0,9098.0,2914.0,4826.0,3861.5,4252.5,6088.0,4030.0,6392.5,8791.5,3376.0
CCDC157 (550631),5520.0,3948.0,4021.0,5364.5,3982.0,3107.0,5098.0,3272.5,4278.5,5373.0,2286.5,3988.5,4564.0,4786.0,2930.0,3338.0,4128.0,2146.0,9988.0,4036.0,4148.0,3315.5,5704.0,3449.5,3696.0,4155.0,7708.0,1527.0
CCDC158 (339965),4119.0,8037.5,6958.0,7089.0,7678.0,6075.5,6047.0,6687.5,7109.0,5550.0,5369.5,6760.5,7321.0,7915.0,6959.5,8772.0,9387.0,6608.0,9017.0,7429.0,9588.0,7546.0,5868.5,7509.0,8569.0,6542.0,8829.5,7388.5
CCDC159 (126075),1985.0,1936.5,2123.0,2093.0,2212.0,2130.0,2546.0,1759.0,2009.0,2491.0,2074.0,3250.5,2813.0,2483.5,2670.0,2143.0,4798.0,788.0,5650.0,4652.5,7566.0,3191.0,2186.0,2832.0,2008.5,2605.5,3087.5,816.5
CCDC160 (347475),7219.0,8141.0,8378.5,7577.0,8100.5,9169.0,7459.5,9553.0,7445.0,6963.0,10462.0,8108.5,7064.0,8635.0,9893.0,7471.0,4617.0,12171.0,4382.0,7012.0,6393.0,6649.0,7903.5,8314.0,6386.0,7518.0,8976.5,6168.0
CCDC166 (100130274),7327.0,7554.0,8185.0,6080.0,6092.0,6996.5,4948.0,6894.5,7006.0,6040.0,6353.5,8379.0,7311.0,5659.0,5677.5,6812.5,14934.0,10839.0,9435.0,5111.0,5977.0,7704.5,5910.0,9193.5,5549.5,7812.5,9194.5,6229.0
CCDC167 (154467),7481.0,6009.5,6076.0,7618.0,6687.0,6432.0,7794.0,7636.0,6746.5,6888.0,6206.5,8144.5,8245.0,8588.0,10480.5,10603.0,11914.0,5446.0,7751.0,5553.0,4927.0,7848.5,6733.0,6129.5,8201.0,8118.0,5652.0,6967.0
CCDC169 (728591),1629.0,2690.0,1591.0,2255.5,1795.0,1850.0,1759.0,2195.5,2254.5,1560.0,3616.0,3908.0,2415.0,2192.5,3425.0,5073.5,3322.0,995.0,255.0,5112.0,3848.0,2398.0,2423.0,2171.5,2237.5,1856.5,4710.5,3454.0
CCDC17 (149483),10936.0,12132.0,12104.0,11544.5,12713.0,11540.0,11573.0,9681.5,11965.5,10253.0,12746.0,12129.0,9506.0,12309.5,9749.5,13004.0,10620.0,11042.0,5279.0,11011.0,7998.0,13578.0,11293.0,12855.0,11172.0,10697.5,10809.5,12122.5
CCDC170 (80129),1605.0,1576.5,1213.0,895.0,1029.0,873.5,892.0,596.0,1809.5,2048.0,2853.0,1168.5,1607.0,1078.5,2453.0,1483.5,1607.0,845.0,1015.0,609.0,2479.0,981.0,888.5,2331.0,664.5,811.0,574.5,1454.0
CCDC171 (203238),8535.0,8900.5,8352.0,8132.0,9003.0,7778.5,9270.0,9179.0,8863.5,8326.0,7755.0,7943.5,10321.0,8954.5,7612.5,10791.5,5963.0,7498.0,12304.0,8846.5,5905.0,8499.0,9288.0,9856.0,8303.5,8126.5,4958.5,9405.0
CCDC172 (374355),1834.0,1716.5,2181.0,1711.5,1776.0,2701.0,2032.0,2032.5,1486.5,2581.0,2200.5,1972.0,1468.0,1257.5,4119.0,2159.5,1354.0,1176.0,1038.0,659.0,3063.0,1583.5,1917.5,1938.0,1867.5,1281.0,2978.5,2880.0
CCDC173 (129881),1949.0,2689.5,2121.0,2527.5,1662.0,2410.5,1980.0,1995.0,1620.5,3630.0,2703.5,2839.0,1531.0,2511.0,1515.5,3466.5,3689.0,3983.0,2906.0,3420.5,3916.0,2466.0,2766.5,4254.5,2162.0,2799.0,3685.0,1704.0
CCDC174 (51244),17114.0,17126.0,17025.0,17177.5,17154.0,17096.5,17178.0,17282.0,17003.0,17269.0,16988.0,17106.0,17212.0,17129.5,17363.5,17321.0,17124.0,17074.0,17240.0,16651.5,16750.0,17193.0,16615.0,17088.0,17092.5,17135.5,17190.5,17259.5
CCDC175 (729665),3123.0,5076.0,4078.0,3914.5,3216.0,3499.5,4723.0,4812.5,3494.0,5674.0,3587.0,2636.0,4893.0,4672.5,2156.5,4233.5,3819.0,4266.0,2986.0,6715.0,3889.0,3447.5,4094.5,2948.0,5198.0,4106.0,4214.5,3680.0
CCDC177 (56936),5758.0,6788.5,5370.0,5233.5,5564.0,5572.5,6292.0,4584.5,5677.0,7107.0,5909.0,5941.0,6289.0,6778.0,3768.5,6401.0,8133.0,1024.0,5323.0,6616.5,6188.0,7197.5,5875.0,6097.5,6276.0,6287.0,4551.5,5060.0
CCDC178 (374864),4097.0,6127.0,3461.0,5293.0,5415.0,5059.0,5825.0,7272.0,4507.0,4686.0,5008.5,6061.5,3665.0,4924.0,7482.5,4976.5,1301.0,2332.0,5934.0,2202.5,3025.0,4104.5,4689.0,4747.5,4839.5,5949.0,4195.0,7224.0
