,Leukemia,Colon/Colorectal Cancer,Bladder Cancer,Lung Cancer,Ovarian Cancer,Skin Cancer,Breast Cancer,Pancreatic Cancer,Brain Cancer,Lymphoma,Kidney Cancer,Sarcoma,Bone Cancer,Gastric Cancer,Neuroblastoma,Rhabdoid,Prostate Cancer,Fibroblast,Gallbladder Cancer,Thyroid Cancer,Bile Duct Cancer,Head and Neck Cancer,Myeloma,Liver Cancer,Endometrial/Uterine Cancer,Esophageal Cancer,Cervical Cancer,Eye Cancer
AARS (16),18200.0,18199.5,18181.0,18214.0,18232.0,18202.5,18232.0,18141.5,18234.0,18150.0,18157.5,18223.5,18241.5,18224.5,18198.5,18247.5,18256.5,18245.0,18072.0,18217.0,18203.0,18142.0,18146.5,18226.5,18216.0,18185.0,18254.5,18240.0
AARS2 (57505),16764.0,16972.0,17125.0,16926.5,16845.0,16610.5,17109.0,16804.5,16764.5,16726.0,16225.5,16765.5,16874.0,16981.0,16632.5,16973.5,17369.0,16882.0,17235.0,16721.5,16970.0,16935.5,16781.5,16985.0,16747.0,17298.0,16940.0,15496.5
AARSD1 (80755),13117.0,14441.5,14096.0,13693.5,14105.0,13495.5,13344.0,14492.5,14121.0,12791.0,14345.0,12773.5,13414.0,14158.5,14224.0,14198.5,10376.0,14624.0,13799.0,14752.5,12928.0,14401.5,13151.5,14740.0,14486.0,13736.5,13388.5,15148.5
AASDH (132949),6535.0,10198.0,9006.0,9401.5,8934.0,8945.5,9385.0,9548.0,9299.5,8467.0,9160.5,7013.0,9785.0,8559.5,8543.5,6912.0,5895.0,7640.0,6437.0,8875.5,6350.0,8805.5,8461.5,8204.0,8715.0,8651.5,12087.0,9355.0
AASDHPPT (60496),15403.0,16229.0,16713.0,16164.0,16161.0,16348.0,16271.0,15850.0,16733.5,15561.0,16228.5,16296.5,16451.0,16239.0,16235.5,16624.0,15154.0,16744.0,15836.0,16686.0,16471.0,16541.5,15733.0,16293.0,16034.5,16697.0,16461.5,16551.0
AASS (10157),3340.0,3338.0,2517.0,2445.5,2541.0,2579.5,2457.0,2631.0,1957.0,2098.0,3743.5,2292.0,3154.0,2611.5,3292.0,1784.5,4314.0,7245.0,1578.0,2581.0,3075.0,2984.0,3379.5,2994.0,3576.5,2205.0,3730.0,2715.5
AATF (26574),16573.0,16566.5,16671.0,16526.5,16645.0,16813.5,16640.0,16518.5,16690.5,16683.0,16463.5,16723.5,16554.0,16557.0,16704.5,16575.5,16605.0,16201.0,16380.0,17059.5,16488.0,16590.0,16660.0,16552.5,16789.5,16575.5,16893.5,16886.5
AATK (9625),10438.0,10728.5,12739.0,11784.0,12225.0,11350.5,12532.0,11927.0,12929.0,11912.0,13136.5,12488.5,11094.0,12016.5,14744.5,11733.0,14432.0,10187.0,14303.0,9730.5,11515.0,12285.5,10221.5,11992.0,11190.5,12589.5,12343.0,14163.5
ABAT (18),10560.0,9667.0,9281.0,10586.0,9230.0,9188.5,9553.0,10075.0,10016.0,10558.0,9954.0,7026.5,8559.0,7291.5,8766.0,5277.0,8006.0,5338.0,6863.0,8760.5,9664.0,7898.0,11463.0,10825.5,11379.0,7992.0,10657.0,8783.5
ABCA1 (19),7995.0,9003.0,8080.0,8961.5,8003.0,6748.5,7382.0,9676.0,7513.5,8594.0,9297.5,6813.5,7553.0,5933.0,9101.5,8588.5,1969.0,7109.0,2261.0,8650.5,5513.0,7290.0,6752.0,7284.5,7915.0,7876.0,8568.5,8626.0
ABCA10 (10349),754.0,966.5,737.0,1222.0,995.0,1116.5,1472.0,1029.0,1004.5,1138.0,842.5,922.5,1100.0,1115.5,410.5,2345.0,4250.0,887.0,1194.0,3741.5,913.0,1328.5,1615.0,1061.5,2184.5,1068.0,2326.5,514.0
ABCA12 (26154),10545.0,10015.5,10203.0,10091.5,9563.0,10999.0,10189.0,11028.5,9413.5,11160.0,9290.5,9139.5,8779.0,7730.0,9349.0,7626.5,626.0,7875.0,7866.0,13779.5,10667.0,8593.5,8200.0,11295.0,9145.5,7741.0,8310.0,11967.0
ABCA13 (154664),8219.0,6056.5,8704.0,7494.0,8751.0,7068.5,7818.0,5529.0,8398.5,7077.0,7914.5,7609.5,7109.0,7460.0,7293.5,8317.5,2264.0,8961.0,7190.0,9755.0,8824.0,8096.5,7337.0,7983.5,7437.5,6189.5,9156.0,8515.0
ABCA2 (20),9637.0,7860.0,8048.0,8080.0,9153.0,7878.5,7634.0,8198.5,7167.0,5490.0,8133.5,7668.0,6720.0,6706.5,8554.0,9978.5,13803.0,2153.0,5144.0,7450.0,9748.0,6436.5,2849.5,8559.5,7890.5,6486.5,6644.0,8216.0
ABCA3 (21),8478.0,7092.0,9449.0,8489.0,8926.0,8586.5,8863.0,9008.5,9124.0,4699.0,9570.0,11125.5,8906.0,8586.0,9049.5,8755.0,12832.0,11761.0,8450.0,10072.0,5919.0,7255.5,8402.0,9135.5,8310.0,7439.0,10361.0,6021.5
ABCA4 (24),10074.0,10713.0,12262.0,12008.5,11507.0,10606.0,10623.0,11383.0,10777.5,7660.0,10824.0,9932.5,10243.0,12055.0,11128.0,9813.0,8276.0,6794.0,15201.0,9444.0,13323.0,12484.0,8875.0,11238.5,10322.5,10949.5,11355.0,10465.0
ABCA5 (23461),10082.0,8835.5,9278.0,10335.5,10233.0,9682.5,10550.0,11730.5,9971.0,6708.0,9899.5,9673.5,10523.0,10302.0,10149.5,9998.5,9252.0,8797.0,6643.0,7326.5,7146.0,9451.0,7111.0,10583.0,11349.0,8504.0,8420.0,12558.0
ABCA6 (23460),1290.0,2429.0,2122.0,1945.5,1435.0,1751.0,2335.0,2711.5,1914.0,3178.0,2071.0,1172.0,3293.0,2365.5,2331.5,1604.5,2746.0,500.0,2206.0,1709.5,1620.0,1558.5,1894.0,1729.5,1556.5,1987.5,936.5,2355.5
ABCA7 (10347),4774.0,4057.0,5048.0,4103.0,5515.0,4462.5,2921.0,4394.0,3861.0,5619.0,5060.5,4335.0,7278.0,4734.0,5958.0,3494.0,12756.0,2098.0,1909.0,5016.0,10217.0,5449.0,4332.0,5846.0,6163.0,4721.5,6365.5,3873.0
ABCA8 (10351),6997.0,7659.5,8714.0,9249.0,6936.0,7727.5,10375.0,10243.0,7491.5,6009.0,7231.5,10462.5,8866.0,7255.0,11709.0,7713.0,12045.0,7001.0,9889.0,3700.5,12809.0,9490.0,5418.0,6266.5,7010.5,8593.0,8128.0,11342.5
ABCA9 (10350),2794.0,1895.0,1787.0,2011.0,1618.0,2734.5,2795.0,1474.5,2162.0,2500.0,1502.5,1766.0,3029.0,2249.5,2036.0,2467.5,3444.0,374.0,463.0,721.0,1248.0,1979.0,2154.0,1483.0,1915.5,2035.5,2305.0,1954.5
ABCB1 (5243),9619.0,10584.5,9431.0,10766.5,8629.0,8879.5,9098.0,9652.0,8833.0,10053.0,8191.0,10461.0,9100.0,8584.5,8553.5,9348.0,4898.0,4332.0,13705.0,7067.5,7016.0,10073.0,10646.5,9381.0,8832.0,10751.5,9808.0,4950.5
ABCB10 (23456),16041.0,16159.0,15968.0,15500.0,15910.0,15827.5,15643.0,16264.5,15723.0,15721.0,15770.5,16261.5,15668.0,15852.5,15489.5,15966.0,16271.0,14981.0,16115.0,11696.5,15883.0,15868.0,16065.0,16089.0,15927.5,16165.0,14549.5,16313.5
ABCB11 (8647),7936.0,6109.5,6429.0,8258.5,6688.0,7207.5,6046.0,6967.5,6873.5,7930.0,6379.5,6778.5,4991.0,7427.5,7515.5,5482.0,2055.0,7350.0,7502.0,4491.0,5447.0,6713.5,8368.0,8774.5,6784.0,6950.5,6764.5,8576.0
ABCB4 (5244),7524.0,8017.5,8556.0,7803.5,5257.0,8130.5,7728.0,6819.0,6990.5,7851.0,9527.5,8689.5,8608.0,7125.5,7677.5,8797.5,96.0,4949.0,10697.0,9806.5,9240.0,10214.0,8154.0,7561.0,5553.5,7439.0,9208.0,6849.0
ABCB5 (340273),6565.0,7781.0,8590.0,6955.0,8691.0,8337.5,7071.0,8335.5,8201.0,8953.0,7351.0,6316.5,6169.0,7964.0,9113.5,9336.0,5472.0,3316.0,9920.0,9709.5,8137.0,8022.0,5427.5,7170.5,8303.5,8061.5,7821.0,9999.5
ABCB6 (10058),7685.0,10916.5,8053.0,9458.0,9434.0,10630.0,10554.0,8870.0,9480.0,9231.0,10693.0,10411.5,9450.0,10013.0,12060.0,9649.0,8205.0,13777.0,7811.0,7696.0,10409.0,7083.0,8771.0,9540.0,7409.5,7751.0,8036.5,11090.5
ABCB7 (22),17526.0,17580.0,17590.0,17653.0,17671.5,17726.0,17517.0,17616.0,17504.0,17537.0,17569.0,17672.0,17680.0,17512.0,17738.0,17616.0,16406.0,17925.0,16998.0,17634.0,17463.0,17658.0,17602.5,17510.0,17612.5,17556.0,17599.0,17830.5
ABCB8 (11194),4563.0,5340.5,2876.0,4945.5,3985.0,5171.0,5318.0,4750.0,3642.5,4867.0,6317.0,3803.5,3079.0,6448.5,8013.0,3700.0,4680.0,1463.0,1027.0,4563.5,3874.0,3239.5,4455.5,4767.0,2792.5,3423.0,5349.0,3407.0
ABCB9 (23457),10734.0,9235.5,10449.0,10954.5,11476.0,11188.0,9943.0,11071.0,10666.5,8984.0,9737.5,11899.0,11311.0,10526.0,9891.0,11456.5,11272.0,12332.0,9872.0,13271.5,12277.0,10015.5,11075.5,10040.0,10831.5,10388.0,11401.0,9430.5
ABCC1 (4363),5458.0,3702.5,4389.0,6116.5,5611.0,4429.0,6131.0,6528.0,5850.0,4640.0,4454.0,6160.0,4297.0,5305.0,6793.5,6090.5,35.0,4948.0,1715.0,10021.5,3485.0,4213.5,6773.5,5460.5,5557.5,5127.0,3961.0,4741.5
ABCC10 (89845),12253.0,13557.0,11218.0,12697.0,12799.0,11207.5,11812.0,12904.0,12298.5,11296.0,12928.5,12627.0,12540.0,11584.0,12716.0,11374.0,12714.0,12729.0,9201.0,11043.5,14214.0,12505.5,12256.5,12723.0,13113.0,13077.0,12366.5,11252.5
ABCC11 (85320),3849.0,2832.0,3479.0,3714.5,3745.0,3857.0,3511.0,3654.0,3418.5,3940.0,1424.5,2604.5,3345.0,3765.5,2634.0,3305.5,596.0,3123.0,7530.0,2242.5,3392.0,3984.5,3340.5,2360.0,2773.0,2415.0,5382.5,4478.0
ABCC12 (94160),3587.0,2403.0,3221.0,3358.0,2949.0,2735.0,3732.0,3191.0,3008.0,3282.0,2235.0,3511.0,3743.0,2861.0,3648.0,3817.0,2290.0,6231.0,4443.0,1665.5,2843.0,3342.5,4849.5,3236.5,4277.0,3017.0,6552.5,4264.0
ABCC2 (1244),6386.0,8948.0,6790.0,8215.0,7394.0,7308.0,7163.0,8605.5,7238.5,5256.0,6956.5,6609.5,7350.0,7602.0,8627.5,9086.5,3069.0,13276.0,4886.0,9454.5,7969.0,8396.5,5562.5,6293.5,7972.5,7838.0,6773.0,7868.5
ABCC3 (8714),14405.0,13491.5,14019.0,13880.5,13270.0,13747.0,14529.0,13378.0,13850.5,14019.0,14067.5,13329.5,13721.0,13651.0,14570.5,12118.5,14538.0,15351.0,12636.0,13218.5,15404.0,13613.5,13721.5,12954.5,13978.0,13459.5,13102.5,15070.5
ABCC4 (10257),5179.0,6286.5,6130.0,4600.5,3336.0,5003.0,5464.0,5302.0,5145.0,3493.0,4232.0,5437.0,7285.0,6307.5,6165.5,5450.5,3780.0,684.0,8099.0,1677.5,4265.0,6616.0,4514.0,4159.5,4829.0,4700.0,5536.0,6608.0
ABCC5 (10057),3577.0,3225.0,2038.0,3026.5,3928.0,3690.0,3682.0,1968.0,2782.0,2600.0,3123.5,3769.5,3096.0,3630.0,4753.0,4519.5,1767.0,1735.0,209.0,2946.5,4239.0,1553.0,2458.0,4771.0,2317.5,2522.0,1739.0,1584.0
ABCC6 (368),9672.0,12168.0,11254.0,12402.0,11830.0,12626.5,12791.0,12297.0,12351.5,13336.0,13553.5,11571.5,9855.0,12644.5,13522.5,12492.5,13082.0,8679.0,15023.0,11655.5,12895.0,12034.0,10642.5,13404.0,11199.0,12802.0,11441.5,14373.5
ABCC8 (6833),7095.0,6293.0,7042.0,6744.5,6116.0,6511.0,7161.0,7926.5,6575.0,6943.0,5949.5,7476.0,6418.0,6984.5,7065.0,5900.0,5722.0,7558.0,2750.0,7805.0,5514.0,6537.5,7431.0,6277.5,5408.5,5885.0,5451.5,4905.5
ABCC9 (10060),7204.0,7376.0,5931.0,6442.0,6303.0,6768.0,6002.0,7656.5,4873.0,6682.0,6251.0,6179.0,6048.0,6517.5,5615.0,5128.0,5760.0,2589.0,2245.0,7238.0,4467.0,5427.5,5492.5,6525.5,6638.5,5216.5,8587.5,6657.0
ABCD1 (215),12165.0,13426.0,12173.5,12806.0,13634.5,12393.5,12964.5,14253.0,11644.0,11024.0,13401.0,12704.5,11119.0,12779.5,13040.0,13115.0,11284.0,2544.0,14944.0,11768.5,14769.0,12538.0,9372.5,11959.5,12528.0,12584.0,14654.5,13284.5
