#SOURCE	#TARGET	#LINK
Lung Cancer	Pancreatic Cancer	76
Pancreatic Cancer	Pancreatic Cancer	57
Lung Cancer	Lung Cancer	29
Leukemia	Leukemia	26
Lung Cancer	Ovarian Cancer	22
Ovarian Cancer	Ovarian Cancer	19
Pancreatic Cancer	Neuroblastoma	17
Ovarian Cancer	Brain Cancer	16
Neuroblastoma	Neuroblastoma	13
Skin Cancer	Skin Cancer	11
Colon/Colorectal Cancer	Pancreatic Cancer	10
Ovarian Cancer	Breast Cancer	10
Ovarian Cancer	Pancreatic Cancer	10
Ovarian Cancer	Sarcoma	9
Head and Neck Cancer	Esophageal Cancer	8
Ovarian Cancer	Endometrial/Uterine Cancer	7
Head and Neck Cancer	Head and Neck Cancer	7
Colon/Colorectal Cancer	Lung Cancer	6
Lung Cancer	Neuroblastoma	6
Ovarian Cancer	Neuroblastoma	6
Brain Cancer	Brain Cancer	6
Lymphoma	Lymphoma	6
Esophageal Cancer	Esophageal Cancer	6
Ovarian Cancer	Bone Cancer	5
Ovarian Cancer	Rhabdoid	5
Skin Cancer	Brain Cancer	5
Breast Cancer	Pancreatic Cancer	5
Kidney Cancer	Kidney Cancer	5
Leukemia	Lymphoma	4
Bladder Cancer	Ovarian Cancer	4
Ovarian Cancer	Liver Cancer	4
Ovarian Cancer	Esophageal Cancer	4
Skin Cancer	Head and Neck Cancer	4
Pancreatic Cancer	Brain Cancer	4
Pancreatic Cancer	Sarcoma	4
Pancreatic Cancer	Endometrial/Uterine Cancer	4
Rhabdoid	Esophageal Cancer	4
Lung Cancer	Breast Cancer	3
Lung Cancer	Esophageal Cancer	3
Ovarian Cancer	Gastric Cancer	3
Skin Cancer	Esophageal Cancer	3
Breast Cancer	Breast Cancer	3
Sarcoma	Sarcoma	3
Bone Cancer	Bone Cancer	3
Colon/Colorectal Cancer	Neuroblastoma	2
Bladder Cancer	Pancreatic Cancer	2
Lung Cancer	Liver Cancer	2
Ovarian Cancer	Skin Cancer	2
Ovarian Cancer	Kidney Cancer	2
Ovarian Cancer	Head and Neck Cancer	2
Ovarian Cancer	Eye Cancer	2
Skin Cancer	Pancreatic Cancer	2
Pancreatic Cancer	Rhabdoid	2
Pancreatic Cancer	Kidney Cancer	2
Pancreatic Cancer	Esophageal Cancer	2
Pancreatic Cancer	Cervical Cancer	2
Pancreatic Cancer	Eye Cancer	2
Brain Cancer	Endometrial/Uterine Cancer	2
Rhabdoid	Head and Neck Cancer	2
Leukemia	Lung Cancer	1
Leukemia	Breast Cancer	1
Leukemia	Pancreatic Cancer	1
Leukemia	Neuroblastoma	1
Leukemia	Kidney Cancer	1
Leukemia	Myeloma	1
Colon/Colorectal Cancer	Colon/Colorectal Cancer	1
Colon/Colorectal Cancer	Ovarian Cancer	1
Colon/Colorectal Cancer	Breast Cancer	1
Colon/Colorectal Cancer	Kidney Cancer	1
Bladder Cancer	Lung Cancer	1
Bladder Cancer	Skin Cancer	1
Bladder Cancer	Brain Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Sarcoma	1
Lung Cancer	Kidney Cancer	1
Lung Cancer	Cervical Cancer	1
Lung Cancer	Eye Cancer	1
Ovarian Cancer	Cervical Cancer	1
Skin Cancer	Breast Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Lymphoma	1
Skin Cancer	Rhabdoid	1
Skin Cancer	Eye Cancer	1
Breast Cancer	Brain Cancer	1
Breast Cancer	Endometrial/Uterine Cancer	1
Breast Cancer	Esophageal Cancer	1
Breast Cancer	Cervical Cancer	1
Breast Cancer	Eye Cancer	1
Pancreatic Cancer	Lymphoma	1
Pancreatic Cancer	NA	1
Brain Cancer	Sarcoma	1
Brain Cancer	Neuroblastoma	1
Brain Cancer	Bile Duct Cancer	1
Brain Cancer	Liver Cancer	1
Brain Cancer	Eye Cancer	1
Sarcoma	Head and Neck Cancer	1
Sarcoma	Esophageal Cancer	1
Gastric Cancer	Liver Cancer	1
Gastric Cancer	Endometrial/Uterine Cancer	1
Lymphoma	Rhabdoid	1
Lymphoma	Head and Neck Cancer	1
Liver Cancer	Liver Cancer	1
Liver Cancer	Esophageal Cancer	1
