,std,mean,median,max,min
ABCG1 (9619),1333.0312865257176,8106.7936,8500.0,10224.0,318.0
ABCG8 (64241),1535.9823422579457,2148.8064,1801.0,8790.0,40.0
ABHD11 (83451),687.3670320832035,8711.648,8858.0,9916.0,2923.0
ABHD12 (26090),1724.4951638935693,2530.1504,2162.0,9259.0,23.0
ABHD12B (145447),1903.5807795229575,3600.5888,3353.0,8697.0,26.0
ABHD13 (84945),1382.2538435134452,6620.1536,6952.0,8913.0,19.0
ABHD14A (25864),1576.1478326099445,2710.2656,2476.0,9025.0,190.0
ABHD15 (116236),2183.1817858346108,4764.544,5018.0,9498.0,4.0
ABHD16A (7920),1847.660026055132,4843.6464,4811.0,9051.0,353.0
ABHD17A (81926),999.8269811142839,8109.3344,8382.0,9589.0,1436.0
ABHD18 (80167),1365.4335808387207,1126.4272,567.0,8841.0,2.0
ABHD2 (11057),1936.9110725148867,4482.3376,4588.0,9070.0,16.0
ABHD3 (171586),1729.7571931032135,2922.0048,2675.0,8691.0,135.0
ABI1 (10006),2149.9693903008874,3057.376,2692.0,9020.0,19.0
ABI3 (51225),1271.2428415309128,1396.1328,1053.0,8730.0,21.0
ABL1 (25),2099.9634446763407,3585.0312,3363.0,10541.5,6.0
ABLIM1 (3983),1467.5691843648926,2038.16,1705.0,8563.0,9.0
ABLIM2 (84448),1576.6879825663768,2134.5776,1789.0,8827.0,6.0
ABR (29),1921.4975919865878,2811.4656,2433.0,8540.0,14.0
ABRA (137735),2046.7847041189714,3801.7408,3833.0,8517.0,13.0
ABRAXAS1 (84142),1934.953060019008,5280.7632,5623.0,9091.0,8.0
ABT1 (29777),1149.5447521496812,8060.1408,8336.0,10043.0,773.0
ACAA2 (10449),1681.0098173312679,3265.8112,3096.0,8945.0,229.0
ACACA (31),2321.6274775859392,6829.2288,7628.0,9912.0,3.0
ACACB (32),1569.5987427414004,3443.9024,3286.0,8624.0,334.0
ACAD10 (80724),1619.2583252090985,2166.3648,1798.0,9526.0,13.0
ACAD11 (84129),1204.8933944225425,1389.168,1022.0,9117.0,21.0
ACAD9 (28976),1838.8260078899004,6368.1856,6858.0,9355.0,442.0
ACADM (34),1869.4065016675543,2939.6208,2644.0,8622.0,24.0
ACADS (35),1788.460536259879,4638.7408,4698.0,9148.0,36.0
ACADVL (37),2000.7237375445814,3262.272,2958.0,8664.0,7.0
ACAP1 (9744),1718.034543397685,4927.96,5047.0,9162.0,199.0
ACAP2 (23527),1390.1239896738227,1004.608,503.0,9315.0,2.0
ACAP3 (116983),1560.8929168054203,5349.6048,5470.0,8549.0,537.0
ACBD3 (64746),2103.6856537052126,3397.9168,3198.0,8491.0,4.0
ACBD5 (91452),1738.5741551377153,1942.8672,1345.0,9316.0,6.0
ACCSL (390110),1904.3705922093511,3610.9904,3469.0,8731.0,122.0
ACD (65057),1029.6833437867172,8033.5824,8282.0,9764.0,1382.0
ACE (1636),1845.6631423934714,5211.7216,5456.0,9499.0,84.0
ACER2 (340485),1401.3633332232453,1578.3696,1128.0,8665.0,22.0
ACER3 (55331),1228.3202258974318,946.8752,466.0,8975.0,7.0
ACHE (43),1704.6010567886929,6284.1744,6648.0,9092.0,23.0
ACIN1 (22985),569.3795427998572,9218.2048,9286.0,10270.0,5581.0
