name	infomap
ACH-000004	1
ACH-000007	1
ACH-000009	1
ACH-000011	1
ACH-000012	1
ACH-000013	1
ACH-000014	1
ACH-000015	1
ACH-000017	1
ACH-000018	1
ACH-000019	1
ACH-000021	1
ACH-000022	1
ACH-000025	1
ACH-000028	1
ACH-000029	1
ACH-000030	1
ACH-000035	1
ACH-000036	1
ACH-000037	1
ACH-000039	1
ACH-000040	1
ACH-000041	1
ACH-000042	1
ACH-000045	1
ACH-000047	1
ACH-000053	1
ACH-000054	1
ACH-000055	1
ACH-000060	1
ACH-000067	1
ACH-000070	1
ACH-000075	1
ACH-000078	1
ACH-000082	1
ACH-000086	1
ACH-000092	1
ACH-000095	1
ACH-000097	1
ACH-000098	1
ACH-000099	1
ACH-000108	1
ACH-000113	1
ACH-000115	1
ACH-000116	1
ACH-000118	1
ACH-000120	1
ACH-000123	1
ACH-000127	1
ACH-000128	1
ACH-000132	1
ACH-000133	1
ACH-000137	1
ACH-000138	1
ACH-000141	1
ACH-000142	1
ACH-000143	1
ACH-000146	1
ACH-000148	1
ACH-000150	1
ACH-000152	1
ACH-000159	1
ACH-000160	2
ACH-000163	1
ACH-000168	1
ACH-000169	1
ACH-000178	1
ACH-000182	1
ACH-000183	1
ACH-000187	1
ACH-000188	1
ACH-000190	2
ACH-000198	1
ACH-000204	1
ACH-000206	1
ACH-000207	1
ACH-000209	1
ACH-000211	1
ACH-000215	1
ACH-000217	1
ACH-000221	1
ACH-000222	1
ACH-000223	1
ACH-000226	1
ACH-000227	1
ACH-000228	1
ACH-000231	1
ACH-000232	1
ACH-000233	1
ACH-000234	1
ACH-000235	1
ACH-000237	1
ACH-000238	1
ACH-000243	1
ACH-000246	1
ACH-000248	1
ACH-000250	1
ACH-000253	1
ACH-000255	1
ACH-000256	1
ACH-000259	1
ACH-000260	1
ACH-000261	1
ACH-000262	1
ACH-000264	1
ACH-000265	1
ACH-000266	1
ACH-000272	1
ACH-000273	1
ACH-000274	1
ACH-000277	1
ACH-000278	1
ACH-000279	1
ACH-000280	1
ACH-000281	1
ACH-000288	1
ACH-000290	1
ACH-000291	1
ACH-000292	1
ACH-000293	1
ACH-000294	1
ACH-000296	1
ACH-000302	1
ACH-000307	1
ACH-000308	1
ACH-000310	1
ACH-000311	1
ACH-000312	1
ACH-000315	1
ACH-000316	1
ACH-000317	1
ACH-000318	1
ACH-000319	1
ACH-000320	1
ACH-000322	1
ACH-000323	1
ACH-000324	1
ACH-000326	1
ACH-000329	1
ACH-000330	1
ACH-000331	1
ACH-000332	1
ACH-000335	1
ACH-000337	1
ACH-000339	1
ACH-000348	1
ACH-000350	1
ACH-000352	1
ACH-000356	1
ACH-000361	1
ACH-000362	1
ACH-000363	1
ACH-000364	1
ACH-000365	1
ACH-000366	1
ACH-000368	1
ACH-000374	1
ACH-000375	1
ACH-000376	1
ACH-000378	1
ACH-000381	1
ACH-000383	1
ACH-000387	1
ACH-000389	1
ACH-000390	1
ACH-000393	1
ACH-000395	1
ACH-000397	1
ACH-000401	1
ACH-000403	1
ACH-000406	1
ACH-000407	1
ACH-000408	1
ACH-000410	1
ACH-000411	1
ACH-000414	1
ACH-000415	1
ACH-000416	1
ACH-000420	1
ACH-000421	1
ACH-000422	1
ACH-000424	1
ACH-000425	1
ACH-000427	1
ACH-000433	1
ACH-000434	1
ACH-000436	1
ACH-000437	1
ACH-000444	1
ACH-000445	1
ACH-000448	1
ACH-000452	1
ACH-000454	1
ACH-000458	1
ACH-000460	1
ACH-000461	1
ACH-000463	1
ACH-000464	1
ACH-000466	1
ACH-000467	1
ACH-000468	1
ACH-000469	1
ACH-000470	1
ACH-000471	1
ACH-000472	1
ACH-000473	1
ACH-000475	1
ACH-000476	1
ACH-000478	1
ACH-000480	1
ACH-000481	1
ACH-000483	1
ACH-000485	1
ACH-000486	1
ACH-000487	1
ACH-000488	1
ACH-000490	1
ACH-000491	1
ACH-000493	1
ACH-000495	1
ACH-000496	1
ACH-000499	1
ACH-000502	1
ACH-000504	1
ACH-000505	1
ACH-000507	1
ACH-000510	1
ACH-000511	1
ACH-000516	1
ACH-000517	1
ACH-000518	1
ACH-000520	1
ACH-000521	1
ACH-000522	1
ACH-000524	1
ACH-000527	1
ACH-000528	1
ACH-000537	1
ACH-000542	1
ACH-000544	1
ACH-000545	1
ACH-000548	1
ACH-000549	1
ACH-000550	1
ACH-000552	1
ACH-000556	1
ACH-000557	1
ACH-000570	1
ACH-000571	1
ACH-000573	1
ACH-000576	1
ACH-000577	1
ACH-000580	1
ACH-000584	1
ACH-000585	1
ACH-000588	1
ACH-000589	1
ACH-000591	1
ACH-000592	1
ACH-000593	1
ACH-000596	1
ACH-000600	1
ACH-000601	1
ACH-000605	1
ACH-000606	1
ACH-000608	1
ACH-000614	1
