name	infomap
ACH-000616	1
ACH-000618	1
ACH-000619	1
ACH-000620	1
ACH-000621	1
ACH-000622	1
ACH-000623	1
ACH-000624	1
ACH-000627	1
ACH-000630	1
ACH-000632	1
ACH-000633	1
ACH-000637	1
ACH-000638	1
ACH-000639	1
ACH-000647	1
ACH-000648	1
ACH-000649	1
ACH-000651	1
ACH-000652	1
ACH-000653	1
ACH-000654	1
ACH-000655	1
ACH-000657	1
ACH-000658	1
ACH-000661	1
ACH-000663	1
ACH-000665	1
ACH-000671	1
ACH-000673	1
ACH-000676	1
ACH-000677	1
ACH-000681	1
ACH-000682	1
ACH-000683	1
ACH-000684	1
ACH-000688	1
ACH-000693	1
ACH-000694	1
ACH-000696	1
ACH-000697	1
ACH-000699	1
ACH-000701	1
ACH-000702	1
ACH-000706	1
ACH-000711	1
ACH-000713	1
ACH-000714	1
ACH-000718	1
ACH-000720	1
ACH-000721	1
ACH-000725	1
ACH-000732	1
ACH-000734	1
ACH-000735	1
ACH-000736	1
ACH-000738	1
ACH-000739	1
ACH-000740	1
ACH-000746	1
ACH-000747	1
ACH-000748	1
ACH-000753	1
ACH-000756	1
ACH-000757	1
ACH-000758	1
ACH-000760	1
ACH-000762	1
ACH-000763	1
ACH-000764	1
ACH-000765	1
ACH-000766	1
ACH-000767	1
ACH-000768	1
ACH-000769	1
ACH-000770	1
ACH-000771	1
ACH-000773	1
ACH-000776	1
ACH-000777	1
ACH-000778	1
ACH-000781	1
ACH-000782	1
ACH-000783	1
ACH-000784	1
ACH-000785	1
ACH-000787	1
ACH-000788	1
ACH-000790	1
ACH-000791	1
ACH-000792	1
ACH-000793	1
ACH-000794	1
ACH-000796	1
ACH-000799	1
ACH-000801	1
ACH-000802	1
ACH-000804	1
ACH-000805	1
ACH-000809	1
ACH-000811	1
ACH-000817	1
ACH-000819	1
ACH-000822	1
ACH-000823	1
ACH-000824	1
ACH-000827	1
ACH-000829	1
ACH-000831	1
ACH-000832	1
ACH-000834	1
ACH-000835	1
ACH-000836	2
ACH-000837	1
ACH-000839	1
ACH-000841	1
ACH-000843	1
ACH-000846	1
ACH-000847	1
ACH-000848	1
ACH-000849	1
ACH-000851	1
ACH-000853	1
ACH-000855	1
ACH-000856	1
ACH-000858	1
ACH-000859	1
ACH-000861	1
ACH-000862	1
ACH-000865	1
ACH-000866	1
ACH-000867	1
ACH-000869	1
ACH-000872	1
ACH-000873	1
ACH-000876	1
ACH-000880	1
ACH-000881	1
ACH-000882	1
ACH-000884	1
ACH-000885	1
ACH-000887	1
ACH-000888	1
ACH-000889	1
ACH-000890	1
ACH-000896	1
ACH-000898	1
ACH-000900	1
ACH-000901	1
ACH-000905	1
ACH-000906	1
ACH-000907	1
ACH-000910	1
ACH-000911	1
ACH-000912	1
ACH-000913	1
ACH-000914	1
ACH-000915	1
ACH-000917	1
ACH-000921	1
ACH-000924	1
ACH-000926	1
ACH-000928	1
ACH-000932	1
ACH-000935	1
ACH-000936	1
ACH-000937	1
ACH-000938	1
ACH-000939	2
ACH-000941	1
ACH-000943	1
ACH-000946	1
ACH-000947	1
ACH-000948	1
ACH-000950	1
ACH-000953	1
ACH-000957	1
ACH-000958	1
ACH-000960	1
ACH-000963	1
ACH-000965	1
ACH-000968	1
ACH-000969	1
ACH-000973	1
ACH-000974	1
ACH-000975	1
ACH-000976	1
ACH-000980	1
ACH-000983	1
ACH-000984	1
ACH-000986	1
ACH-000988	1
ACH-000993	1
ACH-000994	1
ACH-000996	1
ACH-001001	1
ACH-001020	2
ACH-001028	1
ACH-001031	1
ACH-001038	1
ACH-001048	1
ACH-001050	1
ACH-001053	1
ACH-001054	1
ACH-001061	1
ACH-001067	1
ACH-001075	1
ACH-001096	1
ACH-001134	1
ACH-001151	1
ACH-001163	1
ACH-001173	1
ACH-001183	1
ACH-001184	1
ACH-001190	1
ACH-001192	1
ACH-001196	1
ACH-001197	1
ACH-001205	1
ACH-001211	2
ACH-001228	1
ACH-001232	1
ACH-001239	1
ACH-001274	1
ACH-001275	1
ACH-001277	1
ACH-001278	1
ACH-001280	1
ACH-001283	1
ACH-001289	1
ACH-001295	1
ACH-001300	1
ACH-001301	1
ACH-001306	1
ACH-001318	1
ACH-001322	1
ACH-001328	1
ACH-001329	1
ACH-001333	1
ACH-001336	1
ACH-001340	1
ACH-001346	1
ACH-001353	1
ACH-001368	1
ACH-001375	1
ACH-001377	1
ACH-001380	1
ACH-001391	1
ACH-001407	1
ACH-001408	1
ACH-001412	1
ACH-001413	1
ACH-001414	1
ACH-001415	1
ACH-001431	1
ACH-001450	1
ACH-001454	1
ACH-001496	1
ACH-001500	1
ACH-001522	1
ACH-001523	1
ACH-001524	1
ACH-001529	1
ACH-001532	1
ACH-001536	1
ACH-001550	2
ACH-001552	1
ACH-001554	1
ACH-001563	1
ACH-001566	1
ACH-001568	1
ACH-001645	1
ACH-001650	1
ACH-001654	1
ACH-001715	1
ACH-001735	1
ACH-001736	1
ACH-001740	1
ACH-001745	1
ACH-001750	1
ACH-001765	1
ACH-001956	1
ACH-001957	1
