#SOURCE	#TARGET	#LINK
Lung Cancer	Pancreatic Cancer	44
Pancreatic Cancer	Pancreatic Cancer	41
Lung Cancer	Lung Cancer	15
Leukemia	Leukemia	14
Neuroblastoma	Neuroblastoma	8
Pancreatic Cancer	Neuroblastoma	7
Colon/Colorectal Cancer	Pancreatic Cancer	4
Colon/Colorectal Cancer	Lung Cancer	3
Rhabdoid	Esophageal Cancer	3
Head and Neck Cancer	Head and Neck Cancer	3
Lung Cancer	Ovarian Cancer	2
Lung Cancer	Neuroblastoma	2
Ovarian Cancer	Ovarian Cancer	2
Ovarian Cancer	Pancreatic Cancer	2
Ovarian Cancer	Endometrial/Uterine Cancer	2
Skin Cancer	Rhabdoid	2
Skin Cancer	Esophageal Cancer	2
Breast Cancer	Breast Cancer	2
Sarcoma	Sarcoma	2
Sarcoma	Rhabdoid	2
Lymphoma	Lymphoma	2
Rhabdoid	Head and Neck Cancer	2
Kidney Cancer	Kidney Cancer	2
Leukemia	Lymphoma	1
Leukemia	Neuroblastoma	1
Colon/Colorectal Cancer	Breast Cancer	1
Bladder Cancer	Pancreatic Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Breast Cancer	1
Lung Cancer	Eye Cancer	1
Ovarian Cancer	Breast Cancer	1
Ovarian Cancer	Brain Cancer	1
Ovarian Cancer	Sarcoma	1
Ovarian Cancer	Neuroblastoma	1
Ovarian Cancer	Rhabdoid	1
Skin Cancer	Skin Cancer	1
Skin Cancer	Pancreatic Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Lymphoma	1
Skin Cancer	Head and Neck Cancer	1
Skin Cancer	Eye Cancer	1
Pancreatic Cancer	Brain Cancer	1
Pancreatic Cancer	Endometrial/Uterine Cancer	1
Pancreatic Cancer	Esophageal Cancer	1
Brain Cancer	Eye Cancer	1
Sarcoma	Head and Neck Cancer	1
Sarcoma	Esophageal Cancer	1
Lymphoma	Rhabdoid	1
Lymphoma	Head and Neck Cancer	1
Lymphoma	Esophageal Cancer	1
Head and Neck Cancer	Esophageal Cancer	1
Esophageal Cancer	Esophageal Cancer	1
