#SOURCE	#TARGET	#LINK
Lung Cancer	Pancreatic Cancer	72
Pancreatic Cancer	Pancreatic Cancer	54
Lung Cancer	Lung Cancer	27
Leukemia	Leukemia	21
Pancreatic Cancer	Neuroblastoma	16
Neuroblastoma	Neuroblastoma	9
Colon/Colorectal Cancer	Pancreatic Cancer	8
Lung Cancer	Neuroblastoma	8
Ovarian Cancer	Ovarian Cancer	8
Lung Cancer	Ovarian Cancer	7
Ovarian Cancer	Brain Cancer	7
Colon/Colorectal Cancer	Lung Cancer	6
Skin Cancer	Skin Cancer	6
Ovarian Cancer	Breast Cancer	4
Ovarian Cancer	Endometrial/Uterine Cancer	4
Kidney Cancer	Kidney Cancer	4
Head and Neck Cancer	Head and Neck Cancer	4
Lung Cancer	Breast Cancer	3
Ovarian Cancer	Pancreatic Cancer	3
Ovarian Cancer	Neuroblastoma	3
Ovarian Cancer	Rhabdoid	3
Breast Cancer	Pancreatic Cancer	3
Pancreatic Cancer	Sarcoma	3
Pancreatic Cancer	Endometrial/Uterine Cancer	3
Rhabdoid	Head and Neck Cancer	3
Rhabdoid	Esophageal Cancer	3
Head and Neck Cancer	Esophageal Cancer	3
Leukemia	Lymphoma	2
Leukemia	Neuroblastoma	2
Bladder Cancer	Ovarian Cancer	2
Ovarian Cancer	Skin Cancer	2
Ovarian Cancer	Sarcoma	2
Ovarian Cancer	Liver Cancer	2
Ovarian Cancer	Eye Cancer	2
Skin Cancer	Rhabdoid	2
Skin Cancer	Head and Neck Cancer	2
Skin Cancer	Esophageal Cancer	2
Breast Cancer	Breast Cancer	2
Pancreatic Cancer	Brain Cancer	2
Brain Cancer	Brain Cancer	2
Sarcoma	Sarcoma	2
Sarcoma	Rhabdoid	2
Sarcoma	Esophageal Cancer	2
Lymphoma	Lymphoma	2
Esophageal Cancer	Esophageal Cancer	2
Leukemia	Lung Cancer	1
Leukemia	Pancreatic Cancer	1
Colon/Colorectal Cancer	Colon/Colorectal Cancer	1
Colon/Colorectal Cancer	Ovarian Cancer	1
Colon/Colorectal Cancer	Breast Cancer	1
Colon/Colorectal Cancer	Neuroblastoma	1
Bladder Cancer	Pancreatic Cancer	1
Bladder Cancer	Brain Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Sarcoma	1
Lung Cancer	Esophageal Cancer	1
Lung Cancer	Cervical Cancer	1
Lung Cancer	Eye Cancer	1
Ovarian Cancer	Bone Cancer	1
Ovarian Cancer	Gastric Cancer	1
Ovarian Cancer	Kidney Cancer	1
Ovarian Cancer	Head and Neck Cancer	1
Skin Cancer	Pancreatic Cancer	1
Skin Cancer	Brain Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Lymphoma	1
Skin Cancer	Eye Cancer	1
Breast Cancer	Brain Cancer	1
Breast Cancer	Lymphoma	1
Pancreatic Cancer	Lymphoma	1
Pancreatic Cancer	Rhabdoid	1
Pancreatic Cancer	Esophageal Cancer	1
Pancreatic Cancer	Cervical Cancer	1
Brain Cancer	Sarcoma	1
Brain Cancer	Endometrial/Uterine Cancer	1
Brain Cancer	Eye Cancer	1
Sarcoma	Lymphoma	1
Sarcoma	Head and Neck Cancer	1
Bone Cancer	Bone Cancer	1
Gastric Cancer	Endometrial/Uterine Cancer	1
Lymphoma	Rhabdoid	1
Lymphoma	Head and Neck Cancer	1
Lymphoma	Esophageal Cancer	1
Rhabdoid	Rhabdoid	1
Liver Cancer	Liver Cancer	1
