,ACH-000007,ACH-000009,ACH-000202,ACH-000253,ACH-000296,ACH-000350,ACH-000381,ACH-000403,ACH-000421,ACH-000467,ACH-000470,ACH-000491,ACH-000552,ACH-000651,ACH-000683,ACH-000820,ACH-000926,ACH-000935,ACH-000943,ACH-000950,ACH-000957,ACH-000958,ACH-000963,ACH-000969,ACH-000986,ACH-001061,ACH-001454,ACH-001458
ACH-000470,0.6322017266278792,0.691818460745685,0.57647118732385,0.7172864927168942,0.6421398383595158,0.6661083463890808,0.6629062766300711,0.7329206736559759,0.7359338431579736,0.7036004366243617,1.0,0.6400518111880596,0.7001238544057886,0.7062770346659034,0.6879583027323307,0.5507557011213376,0.6883135418676675,0.644611998614695,0.7188849756733806,0.6297131679770549,0.6312580531951464,0.6543849995457383,0.624630812362806,0.6649343902768147,0.6945924426181587,0.7227608647161883,0.5951759981071436,0.6031823329462572
ACH-000491,0.6272140259795619,0.6764920144402441,0.5732349838185007,0.7032787979385624,0.6272888558489131,0.6249036573349742,0.659597958134694,0.7037170025801529,0.7302010161097847,0.686277862468972,0.6400518111880596,1.0,0.6988117132262055,0.7222070327777563,0.7169620152268648,0.5447134670094527,0.6721429980926562,0.6312305328905964,0.7335965858572889,0.6281071426159545,0.6240382437234364,0.6416966643844394,0.6201033191877562,0.6855649475189072,0.6959003407321919,0.7270150904357092,0.6038341230826644,0.5986172999708781
ACH-000552,0.7011264816934417,0.7251152979995577,0.6008030620339964,0.7895610700781575,0.6772528811419946,0.7057028267650806,0.7174678271678949,0.7845091342556493,0.8051045571407636,0.7641338947019539,0.7001238544057886,0.6988117132262055,1.0,0.7725984337726005,0.7526152790407653,0.6104641861432609,0.7396714023678871,0.6992826960098395,0.7993809596699337,0.6850009786996154,0.7033584868069109,0.7029949764385195,0.683924143986801,0.7345438147518807,0.7510744802036116,0.8001969026813346,0.652641831070154,0.6520786332351732
ACH-000651,0.6881801082478103,0.7489677496702242,0.6430545225492916,0.7696467941276636,0.6820896639028239,0.7302031092491694,0.7278186311559857,0.7733986086744157,0.8145700930754866,0.7609561493464203,0.7062770346659034,0.7222070327777563,0.7725984337726005,1.0,0.7900771114634332,0.6129425255867483,0.738765671876605,0.6979210833142185,0.8127714331738443,0.7024046043333844,0.694733701541855,0.6934623266618049,0.7005836452422712,0.746534117657357,0.7685221648026768,0.8169534043856317,0.6691826133795509,0.640912701754741
ACH-000683,0.6890808249965727,0.7512693573926873,0.6428358509179489,0.7769971916822216,0.6750902966551217,0.7167500275664455,0.7296770244932574,0.7809659732281077,0.8109251388649281,0.7656563434665453,0.6879583027323307,0.7169620152268648,0.7526152790407653,0.7900771114634332,1.0,0.5958270170015127,0.7438596746796191,0.6988770144016705,0.8028171283487843,0.6678602197914243,0.6874233724946517,0.6703111803413441,0.6807824850353882,0.742872668928659,0.769017666126431,0.7971968186039223,0.6683893109202382,0.6356008097671478
ACH-000820,0.5359939960954593,0.5771070800235154,0.47904387881070737,0.6045663917017672,0.5552566502563306,0.5737114319908482,0.5836064886837498,0.6003815495761408,0.6155260297211701,0.5787240225767302,0.5507557011213376,0.5447134670094527,0.6104641861432609,0.6129425255867483,0.5958270170015127,1.0,0.5764735847734955,0.5679351437728662,0.6067977917250962,0.5236033464561931,0.551412505327365,0.5678451678631495,0.4950856968492918,0.5791502973798647,0.5995867544131798,0.6122334260945616,0.5545287501329519,0.5148505573760791
ACH-000926,0.6742493054409288,0.7404598020459703,0.6143148626714253,0.7496708463020341,0.6673465587766028,0.6984722152996701,0.7164434308240021,0.764190150403381,0.7641675577408344,0.7568797270211011,0.6883135418676675,0.6721429980926562,0.7396714023678871,0.738765671876605,0.7438596746796191,0.5764735847734955,1.0,0.6951692240885167,0.7516219062021579,0.6538818346593062,0.6611375054713041,0.670750636996807,0.6610081242797968,0.694422746446996,0.7406528578966873,0.7569115179087099,0.6358490700559012,0.6365950999845486
ACH-000935,0.6568389477044608,0.7056799489961973,0.6096103141437853,0.6935250843068652,0.662077915660289,0.6805007027405945,0.6861682598130767,0.7245497376662742,0.7299508703218821,0.7201821135203248,0.644611998614695,0.6312305328905964,0.6992826960098395,0.6979210833142185,0.6988770144016705,0.5679351437728662,0.6951692240885167,1.0,0.738172639960575,0.6502417726812173,0.672577871366237,0.6439065436213439,0.6679506483509782,0.6873109943332869,0.7261884990365308,0.7326828366844765,0.611372577099151,0.5937778616432392
ACH-000943,0.7256049774764363,0.7715107409375442,0.6457140780852482,0.7949063239151088,0.7088861304232537,0.7254298097955394,0.7392315687217311,0.8092875211036319,0.8463833727116455,0.788682062723468,0.7188849756733806,0.7335965858572889,0.7993809596699337,0.8127714331738443,0.8028171283487843,0.6067977917250962,0.7516219062021579,0.738172639960575,1.0,0.7215479760767839,0.7414554506767549,0.7341021921562844,0.7284950212790982,0.7881637903253467,0.7827476765613293,0.8437993570851384,0.6688776501480209,0.6535436599829791
ACH-000950,0.6280915182429478,0.6694724881921111,0.5829327973327046,0.6828990667629671,0.6304871402805288,0.6380997994439812,0.6581004786495078,0.6861428895075623,0.7116511651165044,0.6707091579339839,0.6297131679770549,0.6281071426159545,0.6850009786996154,0.7024046043333844,0.6678602197914243,0.5236033464561931,0.6538818346593062,0.6502417726812173,0.7215479760767839,1.0,0.6357690771582138,0.6460920472104257,0.6307382430368811,0.6678162166285198,0.6936492903516562,0.7244763748026702,0.5958924489499482,0.5910965230787669
ACH-000957,0.6587803165254735,0.6625773366765811,0.5938195052798994,0.6990835481911133,0.6397762827230649,0.6376455690157036,0.6685208921018823,0.7086866835629396,0.727296201995734,0.7216767869554453,0.6312580531951464,0.6240382437234364,0.7033584868069109,0.694733701541855,0.6874233724946517,0.551412505327365,0.6611375054713041,0.672577871366237,0.7414554506767549,0.6357690771582138,1.0,0.6761374419595381,0.6591701004371434,0.7101369719507822,0.7229119131439248,0.7365795606330972,0.5714920121265334,0.5813870098578029
ACH-000958,0.6340820196427532,0.6619197931363333,0.5793854916127391,0.7085713111986983,0.6286953704917116,0.6202112090874451,0.6513147876296199,0.7099056751200353,0.718263637682749,0.7046676073759445,0.6543849995457383,0.6416966643844394,0.7029949764385195,0.6934623266618049,0.6703111803413441,0.5678451678631495,0.670750636996807,0.6439065436213439,0.7341021921562844,0.6460920472104257,0.6761374419595381,1.0,0.6530495302611189,0.7075265942705493,0.6951423707151753,0.7470010347460457,0.5750961535186627,0.5967448688076831
ACH-000963,0.6249712932851569,0.6993240547286854,0.6051629649122848,0.6738463626222015,0.6383955699025091,0.6439597398010999,0.6679708847260049,0.6862649647510687,0.7095151859848958,0.6882579515042214,0.624630812362806,0.6201033191877562,0.683924143986801,0.7005836452422712,0.6807824850353882,0.4950856968492918,0.6610081242797968,0.6679506483509782,0.7284950212790982,0.6307382430368811,0.6591701004371434,0.6530495302611189,1.0,0.6924777824931356,0.7196500865267128,0.736889089361713,0.5846486092061662,0.5864004803273987
ACH-000969,0.6693203825160162,0.7262923232952824,0.6191167892110533,0.7240371901441421,0.6741840469132081,0.6754318396500358,0.7021682269719705,0.7332086631102979,0.76185744880759,0.7293906868305654,0.6649343902768147,0.6855649475189072,0.7345438147518807,0.746534117657357,0.742872668928659,0.5791502973798647,0.694422746446996,0.6873109943332869,0.7881637903253467,0.6678162166285198,0.7101369719507822,0.7075265942705493,0.6924777824931356,1.0,0.7637366568276709,0.7747255549932843,0.6025569775837325,0.605818087846966
ACH-000986,0.6937893673995845,0.7668596312502916,0.6451890179298717,0.7466650172237956,0.7146047788283466,0.7231544248095774,0.752018314527779,0.7661816501817583,0.7892663746497002,0.7731257784012092,0.6945924426181587,0.6959003407321919,0.7510744802036116,0.7685221648026768,0.769017666126431,0.5995867544131798,0.7406528578966873,0.7261884990365308,0.7827476765613293,0.6936492903516562,0.7229119131439248,0.6951423707151753,0.7196500865267128,0.7637366568276709,1.0,0.7910161253210699,0.6346735171060892,0.6306984771173545
ACH-001061,0.7160728790181432,0.7579643956794598,0.6402603715983477,0.7996210058583508,0.7080679928914192,0.7206007351326992,0.7406409511283377,0.8032597523980961,0.8305073104618503,0.7918889343916454,0.7227608647161883,0.7270150904357092,0.8001969026813346,0.8169534043856317,0.7971968186039223,0.6122334260945616,0.7569115179087099,0.7326828366844765,0.8437993570851384,0.7244763748026702,0.7365795606330972,0.7470010347460457,0.736889089361713,0.7747255549932843,0.7910161253210699,1.0,0.6758017673918588,0.6605294477842226
ACH-001454,0.5869944601138776,0.6385022383018112,0.5328369160332913,0.6562055588081782,0.59743147710118,0.6368818837416698,0.6265869778402523,0.6608700597499654,0.6799848218761352,0.6522019387874047,0.5951759981071436,0.6038341230826644,0.652641831070154,0.6691826133795509,0.6683893109202382,0.5545287501329519,0.6358490700559012,0.611372577099151,0.6688776501480209,0.5958924489499482,0.5714920121265334,0.5750961535186627,0.5846486092061662,0.6025569775837325,0.6346735171060892,0.6758017673918588,1.0,0.5633075886667218
ACH-001458,0.5876173317069804,0.6162331586011117,0.5219154209485898,0.6567856725684883,0.5800950568764588,0.5980238466952972,0.6234517114847218,0.6517800976359782,0.6580387872301419,0.6427026242541761,0.6031823329462572,0.5986172999708781,0.6520786332351732,0.640912701754741,0.6356008097671478,0.5148505573760791,0.6365950999845486,0.5937778616432392,0.6535436599829791,0.5910965230787669,0.5813870098578029,0.5967448688076831,0.5864004803273987,0.605818087846966,0.6306984771173545,0.6605294477842226,0.5633075886667218,1.0
