,ACH-000007,ACH-000009,ACH-000202,ACH-000253,ACH-000296,ACH-000350,ACH-000381,ACH-000403,ACH-000421,ACH-000467,ACH-000470,ACH-000491,ACH-000552,ACH-000651,ACH-000683,ACH-000820,ACH-000926,ACH-000935,ACH-000943,ACH-000950,ACH-000957,ACH-000958,ACH-000963,ACH-000969,ACH-000986,ACH-001061,ACH-001454,ACH-001458
ACH-000007,1.0,0.6836119173610176,0.5812294938763535,0.702234991840558,0.6342764286941225,0.6496883686415731,0.6653466489590821,0.7089754749816153,0.7283960342013502,0.7090625106929952,0.6322017266278792,0.6272140259795619,0.7011264816934417,0.6881801082478103,0.6890808249965727,0.5359939960954593,0.6742493054409288,0.6568389477044608,0.7256049774764363,0.6280915182429478,0.6587803165254735,0.6340820196427532,0.6249712932851569,0.6693203825160162,0.6937893673995845,0.7160728790181432,0.5869944601138776,0.5876173317069804
ACH-000009,0.6836119173610176,1.0,0.6398839649927162,0.727014134995674,0.6960124429630555,0.7251928342053019,0.7319028426502387,0.7626302482597045,0.7703989280198119,0.7464532458198831,0.691818460745685,0.6764920144402441,0.7251152979995577,0.7489677496702242,0.7512693573926873,0.5771070800235154,0.7404598020459703,0.7056799489961973,0.7715107409375442,0.6694724881921111,0.6625773366765811,0.6619197931363333,0.6993240547286854,0.7262923232952824,0.7668596312502916,0.7579643956794598,0.6385022383018112,0.6162331586011117
ACH-000202,0.5812294938763535,0.6398839649927162,1.0,0.5954702230718016,0.5857217054210019,0.5928081607379785,0.6176381661756595,0.6249639358139546,0.6330769372728527,0.6367882056844797,0.57647118732385,0.5732349838185007,0.6008030620339964,0.6430545225492916,0.6428358509179489,0.47904387881070737,0.6143148626714253,0.6096103141437853,0.6457140780852482,0.5829327973327046,0.5938195052798994,0.5793854916127391,0.6051629649122848,0.6191167892110533,0.6451890179298717,0.6402603715983477,0.5328369160332913,0.5219154209485898
ACH-000253,0.702234991840558,0.727014134995674,0.5954702230718016,1.0,0.6785469090710143,0.708621150967049,0.7115180340879743,0.8055608056703226,0.8019131885157524,0.7755907302406603,0.7172864927168942,0.7032787979385624,0.7895610700781575,0.7696467941276636,0.7769971916822216,0.6045663917017672,0.7496708463020341,0.6935250843068652,0.7949063239151088,0.6828990667629671,0.6990835481911133,0.7085713111986983,0.6738463626222015,0.7240371901441421,0.7466650172237956,0.7996210058583508,0.6562055588081782,0.6567856725684883
ACH-000296,0.6342764286941225,0.6960124429630555,0.5857217054210019,0.6785469090710143,1.0,0.655190480376332,0.6648854431919476,0.6840832601710156,0.7132250784371534,0.686918729802649,0.6421398383595158,0.6272888558489131,0.6772528811419946,0.6820896639028239,0.6750902966551217,0.5552566502563306,0.6673465587766028,0.662077915660289,0.7088861304232537,0.6304871402805288,0.6397762827230649,0.6286953704917116,0.6383955699025091,0.6741840469132081,0.7146047788283466,0.7080679928914192,0.59743147710118,0.5800950568764588
ACH-000350,0.6496883686415731,0.7251928342053019,0.5928081607379785,0.708621150967049,0.655190480376332,1.0,0.6862294231000612,0.7352889776585578,0.7566949623487162,0.7091866595905281,0.6661083463890808,0.6249036573349742,0.7057028267650806,0.7302031092491694,0.7167500275664455,0.5737114319908482,0.6984722152996701,0.6805007027405945,0.7254298097955394,0.6380997994439812,0.6376455690157036,0.6202112090874451,0.6439597398010999,0.6754318396500358,0.7231544248095774,0.7206007351326992,0.6368818837416698,0.5980238466952972
ACH-000381,0.6653466489590821,0.7319028426502387,0.6176381661756595,0.7115180340879743,0.6648854431919476,0.6862294231000612,1.0,0.7330618046343569,0.7479920464372438,0.7322332022343044,0.6629062766300711,0.659597958134694,0.7174678271678949,0.7278186311559857,0.7296770244932574,0.5836064886837498,0.7164434308240021,0.6861682598130767,0.7392315687217311,0.6581004786495078,0.6685208921018823,0.6513147876296199,0.6679708847260049,0.7021682269719705,0.752018314527779,0.7406409511283377,0.6265869778402523,0.6234517114847218
ACH-000403,0.7089754749816153,0.7626302482597045,0.6249639358139546,0.8055608056703226,0.6840832601710156,0.7352889776585578,0.7330618046343569,1.0,0.8256780061120935,0.7937501356153707,0.7329206736559759,0.7037170025801529,0.7845091342556493,0.7733986086744157,0.7809659732281077,0.6003815495761408,0.764190150403381,0.7245497376662742,0.8092875211036319,0.6861428895075623,0.7086866835629396,0.7099056751200353,0.6862649647510687,0.7332086631102979,0.7661816501817583,0.8032597523980961,0.6608700597499654,0.6517800976359782
ACH-000421,0.7283960342013502,0.7703989280198119,0.6330769372728527,0.8019131885157524,0.7132250784371534,0.7566949623487162,0.7479920464372438,0.8256780061120935,1.0,0.7903296344933255,0.7359338431579736,0.7302010161097847,0.8051045571407636,0.8145700930754866,0.8109251388649281,0.6155260297211701,0.7641675577408344,0.7299508703218821,0.8463833727116455,0.7116511651165044,0.727296201995734,0.718263637682749,0.7095151859848958,0.76185744880759,0.7892663746497002,0.8305073104618503,0.6799848218761352,0.6580387872301419
ACH-000467,0.7090625106929952,0.7464532458198831,0.6367882056844797,0.7755907302406603,0.686918729802649,0.7091866595905281,0.7322332022343044,0.7937501356153707,0.7903296344933255,1.0,0.7036004366243617,0.686277862468972,0.7641338947019539,0.7609561493464203,0.7656563434665453,0.5787240225767302,0.7568797270211011,0.7201821135203248,0.788682062723468,0.6707091579339839,0.7216767869554453,0.7046676073759445,0.6882579515042214,0.7293906868305654,0.7731257784012092,0.7918889343916454,0.6522019387874047,0.6427026242541761
