,x,y,measure
0,ACH-000274,ACH-000014,0.707892780867597
1,ACH-000304,ACH-000014,0.6101608446904019
2,ACH-000304,ACH-000274,0.6355615180572464
3,ACH-000322,ACH-000014,0.6614493997646723
4,ACH-000322,ACH-000274,0.6999780567058218
5,ACH-000322,ACH-000304,0.5976676445072576
6,ACH-000348,ACH-000014,0.7239697292019015
7,ACH-000348,ACH-000274,0.7695115057638292
8,ACH-000348,ACH-000304,0.642172721645106
9,ACH-000348,ACH-000322,0.7201839536205047
10,ACH-000401,ACH-000014,0.650298125716826
11,ACH-000401,ACH-000274,0.6789066567547889
12,ACH-000401,ACH-000304,0.5905060120240884
13,ACH-000401,ACH-000322,0.6464481121317371
14,ACH-000401,ACH-000348,0.7112022658943723
15,ACH-000404,ACH-000014,0.6033530486838885
16,ACH-000404,ACH-000274,0.6167634863990801
17,ACH-000404,ACH-000304,0.5471870549916406
18,ACH-000404,ACH-000322,0.5880175747337036
19,ACH-000404,ACH-000348,0.6325400048617635
20,ACH-000404,ACH-000401,0.5825257223186161
21,ACH-000425,ACH-000014,0.7482477243336687
22,ACH-000425,ACH-000274,0.7715841019802926
23,ACH-000425,ACH-000304,0.6597768603743035
24,ACH-000425,ACH-000322,0.7327225760807258
25,ACH-000425,ACH-000348,0.7893849118693907
26,ACH-000425,ACH-000401,0.7119974694227318
27,ACH-000425,ACH-000404,0.6457375252607095
28,ACH-000450,ACH-000014,0.6199637416625045
29,ACH-000450,ACH-000274,0.6500121112366519
30,ACH-000450,ACH-000304,0.5675216966605066
31,ACH-000450,ACH-000322,0.6182193047018123
32,ACH-000450,ACH-000348,0.6661459788449192
33,ACH-000450,ACH-000401,0.6145755436426735
34,ACH-000450,ACH-000404,0.5611958599583493
35,ACH-000450,ACH-000425,0.6702360043362121
36,ACH-000458,ACH-000014,0.67826352802597
37,ACH-000458,ACH-000274,0.7377146532082121
38,ACH-000458,ACH-000304,0.6270374300515738
39,ACH-000458,ACH-000322,0.6877794327094594
40,ACH-000458,ACH-000348,0.7532919485988625
41,ACH-000458,ACH-000401,0.6870612524333689
42,ACH-000458,ACH-000404,0.6168426233918596
43,ACH-000458,ACH-000425,0.7420143992218312
44,ACH-000458,ACH-000450,0.6525905070887668
45,ACH-000477,ACH-000014,0.6249474311675342
46,ACH-000477,ACH-000274,0.6515343889007429
47,ACH-000477,ACH-000304,0.5749800864570531
48,ACH-000477,ACH-000322,0.606457832878673
49,ACH-000477,ACH-000348,0.6620832259993857
50,ACH-000477,ACH-000401,0.6180896499070979
51,ACH-000477,ACH-000404,0.5662824468000583
52,ACH-000477,ACH-000425,0.6887902866446588
53,ACH-000477,ACH-000450,0.5953898495028778
54,ACH-000477,ACH-000458,0.6498808304502673
55,ACH-000550,ACH-000014,0.7042291017185127
56,ACH-000550,ACH-000274,0.7564292690100317
57,ACH-000550,ACH-000304,0.6159876995899595
58,ACH-000550,ACH-000322,0.6953217852042364
59,ACH-000550,ACH-000348,0.7503470654631625
60,ACH-000550,ACH-000401,0.6656643614216321
61,ACH-000550,ACH-000404,0.6077191226265773
62,ACH-000550,ACH-000425,0.7466135975927746
63,ACH-000550,ACH-000450,0.635302162833223
64,ACH-000550,ACH-000458,0.7135184599838362
65,ACH-000550,ACH-000477,0.6140182774938973
66,ACH-000580,ACH-000014,0.6524458274390638
67,ACH-000580,ACH-000274,0.6804932426159551
68,ACH-000580,ACH-000304,0.6025333026678609
69,ACH-000580,ACH-000322,0.6508418590784786
70,ACH-000580,ACH-000348,0.6996954109728889
71,ACH-000580,ACH-000401,0.6382738159415116
72,ACH-000580,ACH-000404,0.5927999218246769
73,ACH-000580,ACH-000425,0.7230375074947982
74,ACH-000580,ACH-000450,0.6138273579134079
75,ACH-000580,ACH-000458,0.6705459795545571
76,ACH-000580,ACH-000477,0.6259564767577566
77,ACH-000580,ACH-000550,0.6556416951080554
78,ACH-000614,ACH-000014,0.6551482451842383
79,ACH-000614,ACH-000274,0.678734971521599
80,ACH-000614,ACH-000304,0.6003037895907529
81,ACH-000614,ACH-000322,0.6459886771826336
82,ACH-000614,ACH-000348,0.6857773080461966
83,ACH-000614,ACH-000401,0.6212890367615456
84,ACH-000614,ACH-000404,0.5895309793119338
85,ACH-000614,ACH-000425,0.7141379412530442
86,ACH-000614,ACH-000450,0.6051313467796647
87,ACH-000614,ACH-000458,0.6526754202747256
88,ACH-000614,ACH-000477,0.6186731080464958
89,ACH-000614,ACH-000550,0.6662644033088281
90,ACH-000614,ACH-000580,0.65214458592886
91,ACH-000632,ACH-000014,0.7367392791438083
92,ACH-000632,ACH-000274,0.7891655081141541
93,ACH-000632,ACH-000304,0.6505638269652243
94,ACH-000632,ACH-000322,0.7124346665026082
95,ACH-000632,ACH-000348,0.7900013141098887
96,ACH-000632,ACH-000401,0.7128995921455878
97,ACH-000632,ACH-000404,0.6417985924696119
98,ACH-000632,ACH-000425,0.7946516420770393
99,ACH-000632,ACH-000450,0.6766641994551378
100,ACH-000632,ACH-000458,0.764146583717037
101,ACH-000632,ACH-000477,0.6788325056264316
102,ACH-000632,ACH-000550,0.7533718836504666
103,ACH-000632,ACH-000580,0.7022724328911718
104,ACH-000632,ACH-000614,0.6990188577316793
105,ACH-000661,ACH-000014,0.6650842606344947
106,ACH-000661,ACH-000274,0.7046652675622115
107,ACH-000661,ACH-000304,0.6125934409894855
108,ACH-000661,ACH-000322,0.6718841354061971
109,ACH-000661,ACH-000348,0.7302002479090941
110,ACH-000661,ACH-000401,0.6670629902182493
111,ACH-000661,ACH-000404,0.6154436661262724
112,ACH-000661,ACH-000425,0.7388754437844905
113,ACH-000661,ACH-000450,0.6445794612724403
114,ACH-000661,ACH-000458,0.7130133403694986
115,ACH-000661,ACH-000477,0.6546243405332931
116,ACH-000661,ACH-000550,0.6772555292565642
117,ACH-000661,ACH-000580,0.6723921252316821
118,ACH-000661,ACH-000614,0.6745151565618502
119,ACH-000661,ACH-000632,0.7330731347649521
