,x,y,measure
0,ACH-000009,ACH-000007,0.6836119173610176
1,ACH-000202,ACH-000007,0.5812294938763535
2,ACH-000202,ACH-000009,0.6398839649927162
3,ACH-000253,ACH-000007,0.702234991840558
4,ACH-000253,ACH-000009,0.727014134995674
5,ACH-000253,ACH-000202,0.5954702230718016
6,ACH-000296,ACH-000007,0.6342764286941225
7,ACH-000296,ACH-000009,0.6960124429630555
8,ACH-000296,ACH-000202,0.5857217054210019
9,ACH-000296,ACH-000253,0.6785469090710143
10,ACH-000350,ACH-000007,0.6496883686415731
11,ACH-000350,ACH-000009,0.7251928342053019
12,ACH-000350,ACH-000202,0.5928081607379785
13,ACH-000350,ACH-000253,0.708621150967049
14,ACH-000350,ACH-000296,0.655190480376332
15,ACH-000381,ACH-000007,0.6653466489590821
16,ACH-000381,ACH-000009,0.7319028426502387
17,ACH-000381,ACH-000202,0.6176381661756595
18,ACH-000381,ACH-000253,0.7115180340879743
19,ACH-000381,ACH-000296,0.6648854431919476
20,ACH-000381,ACH-000350,0.6862294231000612
21,ACH-000403,ACH-000007,0.7089754749816153
22,ACH-000403,ACH-000009,0.7626302482597045
23,ACH-000403,ACH-000202,0.6249639358139546
24,ACH-000403,ACH-000253,0.8055608056703226
25,ACH-000403,ACH-000296,0.6840832601710156
26,ACH-000403,ACH-000350,0.7352889776585578
27,ACH-000403,ACH-000381,0.7330618046343569
28,ACH-000421,ACH-000007,0.7283960342013502
29,ACH-000421,ACH-000009,0.7703989280198119
30,ACH-000421,ACH-000202,0.6330769372728527
31,ACH-000421,ACH-000253,0.8019131885157524
32,ACH-000421,ACH-000296,0.7132250784371534
33,ACH-000421,ACH-000350,0.7566949623487162
34,ACH-000421,ACH-000381,0.7479920464372438
35,ACH-000421,ACH-000403,0.8256780061120935
36,ACH-000467,ACH-000007,0.7090625106929952
37,ACH-000467,ACH-000009,0.7464532458198831
38,ACH-000467,ACH-000202,0.6367882056844797
39,ACH-000467,ACH-000253,0.7755907302406603
40,ACH-000467,ACH-000296,0.6869187298026489
41,ACH-000467,ACH-000350,0.7091866595905281
42,ACH-000467,ACH-000381,0.7322332022343044
43,ACH-000467,ACH-000403,0.7937501356153707
44,ACH-000467,ACH-000421,0.7903296344933255
45,ACH-000470,ACH-000007,0.6322017266278792
46,ACH-000470,ACH-000009,0.6918184607456851
47,ACH-000470,ACH-000202,0.5764711873238499
48,ACH-000470,ACH-000253,0.7172864927168942
49,ACH-000470,ACH-000296,0.6421398383595158
50,ACH-000470,ACH-000350,0.6661083463890808
51,ACH-000470,ACH-000381,0.6629062766300711
52,ACH-000470,ACH-000403,0.7329206736559759
53,ACH-000470,ACH-000421,0.7359338431579736
54,ACH-000470,ACH-000467,0.7036004366243617
55,ACH-000491,ACH-000007,0.6272140259795619
56,ACH-000491,ACH-000009,0.6764920144402441
57,ACH-000491,ACH-000202,0.5732349838185007
58,ACH-000491,ACH-000253,0.7032787979385624
59,ACH-000491,ACH-000296,0.6272888558489131
60,ACH-000491,ACH-000350,0.6249036573349742
61,ACH-000491,ACH-000381,0.6595979581346939
62,ACH-000491,ACH-000403,0.7037170025801529
63,ACH-000491,ACH-000421,0.7302010161097847
64,ACH-000491,ACH-000467,0.686277862468972
65,ACH-000491,ACH-000470,0.6400518111880596
66,ACH-000552,ACH-000007,0.7011264816934417
67,ACH-000552,ACH-000009,0.7251152979995577
68,ACH-000552,ACH-000202,0.6008030620339964
69,ACH-000552,ACH-000253,0.7895610700781575
70,ACH-000552,ACH-000296,0.6772528811419946
71,ACH-000552,ACH-000350,0.7057028267650806
72,ACH-000552,ACH-000381,0.7174678271678949
73,ACH-000552,ACH-000403,0.7845091342556493
74,ACH-000552,ACH-000421,0.8051045571407636
75,ACH-000552,ACH-000467,0.7641338947019539
76,ACH-000552,ACH-000470,0.7001238544057886
77,ACH-000552,ACH-000491,0.6988117132262055
78,ACH-000651,ACH-000007,0.6881801082478103
79,ACH-000651,ACH-000009,0.7489677496702242
80,ACH-000651,ACH-000202,0.6430545225492916
81,ACH-000651,ACH-000253,0.7696467941276636
82,ACH-000651,ACH-000296,0.6820896639028239
83,ACH-000651,ACH-000350,0.7302031092491694
84,ACH-000651,ACH-000381,0.7278186311559857
85,ACH-000651,ACH-000403,0.7733986086744157
86,ACH-000651,ACH-000421,0.8145700930754866
87,ACH-000651,ACH-000467,0.7609561493464203
88,ACH-000651,ACH-000470,0.7062770346659034
89,ACH-000651,ACH-000491,0.7222070327777563
90,ACH-000651,ACH-000552,0.7725984337726005
91,ACH-000683,ACH-000007,0.6890808249965727
92,ACH-000683,ACH-000009,0.7512693573926873
93,ACH-000683,ACH-000202,0.6428358509179489
94,ACH-000683,ACH-000253,0.7769971916822216
95,ACH-000683,ACH-000296,0.6750902966551217
96,ACH-000683,ACH-000350,0.7167500275664455
97,ACH-000683,ACH-000381,0.7296770244932574
98,ACH-000683,ACH-000403,0.7809659732281077
99,ACH-000683,ACH-000421,0.8109251388649281
100,ACH-000683,ACH-000467,0.7656563434665453
101,ACH-000683,ACH-000470,0.6879583027323307
102,ACH-000683,ACH-000491,0.7169620152268648
103,ACH-000683,ACH-000552,0.7526152790407653
104,ACH-000683,ACH-000651,0.7900771114634332
105,ACH-000820,ACH-000007,0.5359939960954593
106,ACH-000820,ACH-000009,0.5771070800235154
107,ACH-000820,ACH-000202,0.4790438788107074
108,ACH-000820,ACH-000253,0.6045663917017672
109,ACH-000820,ACH-000296,0.5552566502563306
110,ACH-000820,ACH-000350,0.5737114319908482
111,ACH-000820,ACH-000381,0.5836064886837498
112,ACH-000820,ACH-000403,0.6003815495761408
113,ACH-000820,ACH-000421,0.6155260297211701
114,ACH-000820,ACH-000467,0.5787240225767302
115,ACH-000820,ACH-000470,0.5507557011213376
116,ACH-000820,ACH-000491,0.5447134670094527
117,ACH-000820,ACH-000552,0.6104641861432609
118,ACH-000820,ACH-000651,0.6129425255867483
119,ACH-000820,ACH-000683,0.5958270170015127
120,ACH-000926,ACH-000007,0.6742493054409288
121,ACH-000926,ACH-000009,0.7404598020459703
122,ACH-000926,ACH-000202,0.6143148626714253
123,ACH-000926,ACH-000253,0.7496708463020341
124,ACH-000926,ACH-000296,0.6673465587766028
125,ACH-000926,ACH-000350,0.6984722152996701
126,ACH-000926,ACH-000381,0.7164434308240021
127,ACH-000926,ACH-000403,0.764190150403381
128,ACH-000926,ACH-000421,0.7641675577408344
129,ACH-000926,ACH-000467,0.7568797270211011
130,ACH-000926,ACH-000470,0.6883135418676675
131,ACH-000926,ACH-000491,0.6721429980926562
132,ACH-000926,ACH-000552,0.7396714023678871
133,ACH-000926,ACH-000651,0.738765671876605
134,ACH-000926,ACH-000683,0.7438596746796191
135,ACH-000926,ACH-000820,0.5764735847734955
136,ACH-000935,ACH-000007,0.6568389477044608
137,ACH-000935,ACH-000009,0.7056799489961973
138,ACH-000935,ACH-000202,0.6096103141437853
139,ACH-000935,ACH-000253,0.6935250843068652
140,ACH-000935,ACH-000296,0.662077915660289
141,ACH-000935,ACH-000350,0.6805007027405945
142,ACH-000935,ACH-000381,0.6861682598130767
143,ACH-000935,ACH-000403,0.7245497376662742
144,ACH-000935,ACH-000421,0.7299508703218821
145,ACH-000935,ACH-000467,0.7201821135203248
146,ACH-000935,ACH-000470,0.6446119986146949
147,ACH-000935,ACH-000491,0.6312305328905964
148,ACH-000935,ACH-000552,0.6992826960098395
149,ACH-000935,ACH-000651,0.6979210833142185
150,ACH-000935,ACH-000683,0.6988770144016705
151,ACH-000935,ACH-000820,0.5679351437728662
152,ACH-000935,ACH-000926,0.6951692240885167
153,ACH-000943,ACH-000007,0.7256049774764363
154,ACH-000943,ACH-000009,0.7715107409375442
155,ACH-000943,ACH-000202,0.6457140780852482
156,ACH-000943,ACH-000253,0.7949063239151088
157,ACH-000943,ACH-000296,0.7088861304232537
158,ACH-000943,ACH-000350,0.7254298097955394
159,ACH-000943,ACH-000381,0.7392315687217311
160,ACH-000943,ACH-000403,0.8092875211036319
161,ACH-000943,ACH-000421,0.8463833727116455
162,ACH-000943,ACH-000467,0.788682062723468
163,ACH-000943,ACH-000470,0.7188849756733806
164,ACH-000943,ACH-000491,0.7335965858572889
165,ACH-000943,ACH-000552,0.7993809596699337
166,ACH-000943,ACH-000651,0.8127714331738443
167,ACH-000943,ACH-000683,0.8028171283487843
168,ACH-000943,ACH-000820,0.6067977917250962
169,ACH-000943,ACH-000926,0.7516219062021579
170,ACH-000943,ACH-000935,0.7381726399605749
171,ACH-000950,ACH-000007,0.6280915182429478
172,ACH-000950,ACH-000009,0.6694724881921111
173,ACH-000950,ACH-000202,0.5829327973327046
174,ACH-000950,ACH-000253,0.6828990667629671
175,ACH-000950,ACH-000296,0.6304871402805288
176,ACH-000950,ACH-000350,0.6380997994439812
177,ACH-000950,ACH-000381,0.6581004786495078
178,ACH-000950,ACH-000403,0.6861428895075623
179,ACH-000950,ACH-000421,0.7116511651165044
180,ACH-000950,ACH-000467,0.6707091579339839
181,ACH-000950,ACH-000470,0.6297131679770549
182,ACH-000950,ACH-000491,0.6281071426159545
183,ACH-000950,ACH-000552,0.6850009786996154
184,ACH-000950,ACH-000651,0.7024046043333844
185,ACH-000950,ACH-000683,0.6678602197914243
186,ACH-000950,ACH-000820,0.5236033464561931
187,ACH-000950,ACH-000926,0.6538818346593062
188,ACH-000950,ACH-000935,0.6502417726812173
