,ACH-000011,ACH-000018,ACH-000142,ACH-000473,ACH-000486,ACH-000522,ACH-000545,ACH-000547,ACH-000593,ACH-000720,ACH-000724,ACH-000753,ACH-000802,ACH-000834,ACH-000839,ACH-000862,ACH-000896,ACH-000905,ACH-000973,ACH-001183,ACH-001407,ACH-001408,ACH-001409,ACH-001412,ACH-001413,ACH-001414,ACH-001415
ACH-000724,0.6313046893001051,0.6149500721703767,0.65417304915838,0.6459264011119736,0.6648765160744179,0.657505080652059,0.6520531117192313,0.5773661309334546,0.6588500140062757,0.6746636328162522,1.0,0.6643105168374871,0.6665508613386046,0.6536708523669317,0.6257529696816522,0.6473885486640231,0.6608064806570026,0.6537828267286943,0.671251674389896,0.6394814378553924,0.6500165733968675,0.655877690545634,0.5307388593292424,0.6409991890803356,0.6200302117191819,0.6416033857598838,0.5839059496109039
ACH-000753,0.7358938321350608,0.7228773405577289,0.7654534962540908,0.7411038696893888,0.8153041386956411,0.8049007879666561,0.790123724126409,0.6795561761340653,0.7913027140997059,0.8105840176352596,0.6643105168374871,1.0,0.8048529318204071,0.7758786821277559,0.7461076373519322,0.7780359341531387,0.7995110497285091,0.8049765641682087,0.8314441450903728,0.7401088457575228,0.7998733171577572,0.7862829200181233,0.6345248233773938,0.7894722119669045,0.7515713318379875,0.7551516269115185,0.7137913925020549
ACH-000802,0.7229051005681244,0.7201871672572353,0.766579442609093,0.7372864736766787,0.800243594824872,0.7824376998876478,0.7890657451392388,0.6744236299381772,0.7810608343788092,0.7963882491288513,0.6665508613386046,0.8048529318204071,1.0,0.7714947097566957,0.7367915151371047,0.7591347893436031,0.7962469901398735,0.791373110054958,0.8021017451649447,0.7388934929701515,0.785076782804412,0.7748241700623995,0.6253154198245282,0.7688087464311805,0.7376894495425382,0.7508055482566853,0.6929295729689228
ACH-000834,0.7093463918630238,0.7023701872537261,0.7444597057859054,0.7254790020504882,0.773017394147247,0.7559375127497194,0.7618273003869439,0.6517638667633432,0.7519441985522602,0.775032136906147,0.6536708523669317,0.7758786821277559,0.7714947097566957,1.0,0.7248587047560208,0.7390621813867561,0.7553920113559978,0.7629349509892399,0.7739672200632278,0.7180666832092101,0.7539469009818835,0.7618028070228917,0.6164268403699289,0.736833023719069,0.7117969488315828,0.735972920016565,0.6614491213788534
ACH-000839,0.6890505240898478,0.6662009820034446,0.7196206784248663,0.6932303782750316,0.7346026457074334,0.7186488976420491,0.7340997029375346,0.6222101107449649,0.7337093918115514,0.7567583291840064,0.6257529696816522,0.7461076373519322,0.7367915151371047,0.7248587047560208,1.0,0.7016875900584666,0.7243983823625411,0.7325432410782261,0.7416770167917458,0.6896309892388142,0.7195799893645567,0.7352648154607634,0.606105060290377,0.709820079361946,0.7018256658837165,0.7203136707098766,0.6448066781005515
ACH-000862,0.7021214409454819,0.6933948900523894,0.7293760515933981,0.7091198995428468,0.7560107752771063,0.7408817131870613,0.7426240522393843,0.6449248895934007,0.7489689666026772,0.765508579380243,0.6473885486640231,0.7780359341531387,0.7591347893436031,0.7390621813867561,0.7016875900584666,1.0,0.7543892489457209,0.7743211412224323,0.7858253041248183,0.7200492280711784,0.7520453671078353,0.75204979555393,0.6111115935462293,0.7598769155692442,0.7176649614649162,0.7293440712151291,0.6606318275473543
ACH-000896,0.7276023716248384,0.7124540074802015,0.7622291053065973,0.7279283817245371,0.7944685053549899,0.7863488804118766,0.7774968046045566,0.6652432584718023,0.7635506803077663,0.7856706850901717,0.6608064806570026,0.7995110497285091,0.7962469901398735,0.7553920113559978,0.7243983823625411,0.7543892489457209,1.0,0.7903387094201101,0.8137916700711991,0.7350225366381,0.7845318884915238,0.7707562074103583,0.6387109238763172,0.787431049034802,0.7207360396367656,0.7403862121925536,0.6968255575178361
ACH-000905,0.7150974161966432,0.7065798188296808,0.7608940803931702,0.7221651398797714,0.795285129620437,0.7809369137950245,0.781466748496099,0.6650731069620737,0.7611583457679946,0.7893099346225644,0.6537828267286943,0.8049765641682087,0.791373110054958,0.7629349509892399,0.7325432410782261,0.7743211412224323,0.7903387094201101,1.0,0.8045839106144612,0.7400242811692367,0.7700199512072201,0.7635040827448673,0.6368303602691976,0.7761575153025282,0.7289818219294053,0.7479325686857243,0.6967834398992081
ACH-000973,0.7599068401190308,0.732785884957762,0.7763286758412893,0.7422651622583781,0.8164219959973243,0.8142663654958813,0.7934567876256968,0.6792166785241397,0.7874447774838826,0.8172789210349665,0.671251674389896,0.8314441450903728,0.8021017451649447,0.7739672200632278,0.7416770167917458,0.7858253041248183,0.8137916700711991,0.8045839106144612,1.0,0.7479972182585887,0.7996864576737175,0.7956832172422483,0.6518212234258158,0.8029509699463451,0.7634923893013883,0.7789751714155018,0.7147274334228638
ACH-001183,0.6824928161431494,0.6694051900692314,0.7168679652302385,0.7319941582415422,0.7325661089760069,0.7175579169701206,0.7370441685853328,0.6248394612992642,0.7241737260591619,0.7362160277984121,0.6394814378553924,0.7401088457575228,0.7388934929701515,0.7180666832092101,0.6896309892388142,0.7200492280711784,0.7350225366381,0.7400242811692367,0.7479972182585887,1.0,0.7251077318657355,0.7355412901795978,0.5951469329058839,0.720720446696457,0.6822196258422629,0.7129993285731838,0.6355886358618565
ACH-001407,0.71952382583008,0.7170015077444323,0.7400592965987219,0.7180954291514067,0.7884712825667709,0.7634539502830094,0.7705039023320273,0.6554596655330268,0.7581753419492395,0.8000886322969871,0.6500165733968675,0.7998733171577572,0.785076782804412,0.7539469009818835,0.7195799893645567,0.7520453671078353,0.7845318884915238,0.7700199512072201,0.7996864576737175,0.7251077318657355,1.0,0.7609408101363462,0.6105474733009174,0.7614358085896643,0.7404825499358784,0.7474124399257274,0.6827454246775263
ACH-001408,0.7371233579904445,0.6999577567940835,0.7651123925327679,0.7285634771988188,0.7871033772449014,0.7568398892564053,0.7654897915160942,0.654855980069396,0.7640508569076487,0.7878422274391953,0.655877690545634,0.7862829200181233,0.7748241700623995,0.7618028070228917,0.7352648154607634,0.75204979555393,0.7707562074103583,0.7635040827448673,0.7956832172422483,0.7355412901795978,0.7609408101363462,1.0,0.6325383872682067,0.76199074341882,0.7350935350424646,0.7620470060837204,0.6856897693638855
ACH-001409,0.6170285899287287,0.5775812878917974,0.6134843548435671,0.5803743341277277,0.6370482028238456,0.6269639444156965,0.6323622192510205,0.5327570117874987,0.6092888889213874,0.6373382445146357,0.5307388593292424,0.6345248233773938,0.6253154198245282,0.6164268403699289,0.606105060290377,0.6111115935462293,0.6387109238763172,0.6368303602691976,0.6518212234258158,0.5951469329058839,0.6105474733009174,0.6325383872682067,1.0,0.6267742767390834,0.6054670643599653,0.6212573418112564,0.5646621611310783
ACH-001412,0.7226958543105986,0.694332012981677,0.744859798729684,0.7121058103431029,0.8012055144060911,0.7644140417766814,0.7610241261927657,0.6666469063284209,0.7547997561500296,0.782198844935735,0.6409991890803356,0.7894722119669045,0.7688087464311805,0.736833023719069,0.709820079361946,0.7598769155692442,0.787431049034802,0.7761575153025282,0.8029509699463451,0.720720446696457,0.7614358085896643,0.76199074341882,0.6267742767390834,1.0,0.7478927403618284,0.7443644308945246,0.7064711496475748
ACH-001413,0.7113980324946757,0.6790395068756653,0.7256509196258424,0.6775547524981473,0.7811849000502196,0.7292862743309173,0.7324440939923536,0.6375353525724619,0.7145914663007633,0.7600865184438069,0.6200302117191819,0.7515713318379875,0.7376894495425382,0.7117969488315828,0.7018256658837165,0.7176649614649162,0.7207360396367656,0.7289818219294053,0.7634923893013883,0.6822196258422629,0.7404825499358784,0.7350935350424646,0.6054670643599653,0.7478927403618284,1.0,0.7210843258773699,0.6449028533372584
ACH-001414,0.74749250615201,0.6814053629438711,0.7241196572421924,0.6904034652036527,0.7701502798924845,0.7572995225813096,0.7494520113679146,0.6387308406755322,0.7311104862135103,0.7611759311860639,0.6416033857598838,0.7551516269115185,0.7508055482566853,0.735972920016565,0.7203136707098766,0.7293440712151291,0.7403862121925536,0.7479325686857243,0.7789751714155018,0.7129993285731838,0.7474124399257274,0.7620470060837204,0.6212573418112564,0.7443644308945246,0.7210843258773699,1.0,0.6600196254250971
ACH-001415,0.6359299257242315,0.6230126732085076,0.675583429806102,0.6385011048142109,0.7054748658280036,0.6935046765511728,0.6776287537899712,0.5944202043733496,0.677768453281756,0.699765570300385,0.5839059496109039,0.7137913925020549,0.6929295729689228,0.6614491213788534,0.6448066781005515,0.6606318275473543,0.6968255575178361,0.6967834398992081,0.7147274334228638,0.6355886358618565,0.6827454246775263,0.6856897693638855,0.5646621611310783,0.7064711496475748,0.6449028533372584,0.6600196254250971,1.0
