,ACH-000011,ACH-000018,ACH-000142,ACH-000473,ACH-000486,ACH-000522,ACH-000545,ACH-000547,ACH-000593,ACH-000720,ACH-000724,ACH-000753,ACH-000802,ACH-000834,ACH-000839,ACH-000862,ACH-000896,ACH-000905,ACH-000973,ACH-001183,ACH-001407,ACH-001408,ACH-001409,ACH-001412,ACH-001413,ACH-001414,ACH-001415
ACH-000011,1.0,0.6701578244055102,0.7137657268059892,0.6848936391425409,0.7498937295331027,0.7336891626138394,0.721862781978167,0.6262371199314501,0.7198551703552991,0.7429079901936749,0.6313046893001051,0.7358938321350608,0.7229051005681244,0.7093463918630238,0.6890505240898478,0.7021214409454819,0.7276023716248384,0.7150974161966432,0.7599068401190308,0.6824928161431494,0.71952382583008,0.7371233579904445,0.6170285899287287,0.7226958543105986,0.7113980324946757,0.74749250615201,0.6359299257242315
ACH-000018,0.6701578244055102,1.0,0.7003469681622242,0.668500656229909,0.7212231465985856,0.7174633699805198,0.7223909326751619,0.6153229182348346,0.7130010833670852,0.7337970405706052,0.6149500721703767,0.7228773405577289,0.7201871672572353,0.7023701872537261,0.6662009820034446,0.6933948900523894,0.7124540074802015,0.7065798188296808,0.732785884957762,0.6694051900692314,0.7170015077444323,0.6999577567940835,0.5775812878917974,0.694332012981677,0.6790395068756653,0.6814053629438711,0.6230126732085076
ACH-000142,0.7137657268059892,0.7003469681622242,1.0,0.7205224851499885,0.7720280788063071,0.7543429792298001,0.763025483571557,0.6438491707756143,0.7751246654090923,0.7810368943235791,0.65417304915838,0.7654534962540908,0.766579442609093,0.7444597057859054,0.7196206784248663,0.7293760515933981,0.7622291053065973,0.7608940803931702,0.7763286758412893,0.7168679652302385,0.7400592965987219,0.7651123925327679,0.6134843548435671,0.744859798729684,0.7256509196258424,0.7241196572421924,0.675583429806102
ACH-000473,0.6848936391425409,0.668500656229909,0.7205224851499885,1.0,0.7306334630636533,0.7165770204770712,0.7194654464916467,0.6310004445962817,0.7298043268958034,0.7474230755470072,0.6459264011119736,0.7411038696893888,0.7372864736766787,0.7254790020504882,0.6932303782750316,0.7091198995428468,0.7279283817245371,0.7221651398797714,0.7422651622583781,0.7319941582415422,0.7180954291514067,0.7285634771988188,0.5803743341277277,0.7121058103431029,0.6775547524981473,0.6904034652036527,0.6385011048142109
ACH-000486,0.7498937295331027,0.7212231465985856,0.7720280788063071,0.7306334630636533,1.0,0.7841480229529775,0.7926174944326403,0.6817441404277399,0.7665079976244162,0.8013642582854914,0.6648765160744179,0.8153041386956411,0.800243594824872,0.773017394147247,0.7346026457074334,0.7560107752771063,0.7944685053549899,0.795285129620437,0.8164219959973243,0.7325661089760069,0.7884712825667709,0.7871033772449014,0.6370482028238456,0.8012055144060911,0.7811849000502196,0.7701502798924845,0.7054748658280036
ACH-000522,0.7336891626138394,0.7174633699805198,0.7543429792298001,0.7165770204770712,0.7841480229529775,1.0,0.7935546740849303,0.6629323698600367,0.7749367974471179,0.7867401457692168,0.657505080652059,0.8049007879666561,0.7824376998876478,0.7559375127497194,0.7186488976420491,0.7408817131870613,0.7863488804118766,0.7809369137950245,0.8142663654958813,0.7175579169701206,0.7634539502830094,0.7568398892564053,0.6269639444156965,0.7644140417766814,0.7292862743309173,0.7572995225813096,0.6935046765511728
ACH-000545,0.721862781978167,0.7223909326751619,0.763025483571557,0.7194654464916467,0.7926174944326403,0.7935546740849303,1.0,0.6609459432685939,0.7684045783398634,0.7875487773039297,0.6520531117192313,0.790123724126409,0.7890657451392388,0.7618273003869439,0.7340997029375346,0.7426240522393843,0.7774968046045566,0.781466748496099,0.7934567876256968,0.7370441685853328,0.7705039023320273,0.7654897915160942,0.6323622192510205,0.7610241261927657,0.7324440939923536,0.7494520113679146,0.6776287537899712
ACH-000547,0.6262371199314501,0.6153229182348346,0.6438491707756143,0.6310004445962817,0.6817441404277399,0.6629323698600367,0.6609459432685939,1.0,0.6533732852468431,0.6732525953996702,0.5773661309334546,0.6795561761340653,0.6744236299381772,0.6517638667633432,0.6222101107449649,0.6449248895934007,0.6652432584718023,0.6650731069620737,0.6792166785241397,0.6248394612992642,0.6554596655330268,0.654855980069396,0.5327570117874987,0.6666469063284209,0.6375353525724619,0.6387308406755322,0.5944202043733496
ACH-000593,0.7198551703552991,0.7130010833670852,0.7751246654090923,0.7298043268958034,0.7665079976244162,0.7749367974471179,0.7684045783398634,0.6533732852468431,1.0,0.7935392269726144,0.6588500140062757,0.7913027140997059,0.7810608343788092,0.7519441985522602,0.7337093918115514,0.7489689666026772,0.7635506803077663,0.7611583457679946,0.7874447774838826,0.7241737260591619,0.7581753419492395,0.7640508569076487,0.6092888889213874,0.7547997561500296,0.7145914663007633,0.7311104862135103,0.677768453281756
ACH-000720,0.7429079901936749,0.7337970405706052,0.7810368943235791,0.7474230755470072,0.8013642582854914,0.7867401457692168,0.7875487773039297,0.6732525953996702,0.7935392269726144,1.0,0.6746636328162522,0.8105840176352596,0.7963882491288513,0.775032136906147,0.7567583291840064,0.765508579380243,0.7856706850901717,0.7893099346225644,0.8172789210349665,0.7362160277984121,0.8000886322969871,0.7878422274391953,0.6373382445146357,0.782198844935735,0.7600865184438069,0.7611759311860639,0.699765570300385
