,ACH-000036,ACH-000040,ACH-000055,ACH-000067,ACH-000075,ACH-000095,ACH-000098,ACH-000215,ACH-000137,ACH-000152,ACH-000490,ACH-000200,ACH-000591,ACH-000211,ACH-000673,ACH-000231,ACH-000232,ACH-000244,ACH-000760,ACH-000273,ACH-000323,ACH-000329,ACH-001067,ACH-000025,ACH-000368,ACH-000376,ACH-000389,ACH-000437,ACH-000445,ACH-000464,ACH-000469,ACH-000504,ACH-000570,ACH-000571,ACH-001053,ACH-000592,ACH-001054,ACH-000622,ACH-000623,ACH-000655,ACH-000738,ACH-000756,ACH-001232,ACH-000776,ACH-000819,ACH-000128,ACH-000887,ACH-000676,ACH-001329,ACH-001173
ACH-000036,1.0,0.7422785608483529,0.6880337286661884,0.7320825271169452,0.6770678758443108,0.7649606403287053,0.7451179978448907,0.7851640400113361,0.6952554516542673,0.7516521175404437,0.7496041514120411,0.6620741264007612,0.7016894125593779,0.772819305300573,0.8024235504075168,0.7809775177011351,0.7723977335512354,0.6686383128729112,0.733953942824799,0.7615664616922168,0.7250911687869566,0.7450482571722147,0.7355290441898296,0.73311046683217,0.7172278303898904,0.7538540978927252,0.7180383483942235,0.7795604603054928,0.6991406125743129,0.6956217013872158,0.7565985476886777,0.710934216932598,0.74610300077385,0.7474983303188731,0.668256276289809,0.7324013465137492,0.7277991156798602,0.700262273118032,0.7450610146258365,0.7218799942730466,0.7415461260251233,0.699574643694011,0.7553158401155403,0.7148004114788876,0.7201991608718957,0.6880737334691657,0.7602767700234491,0.7290945116000963,0.7955118459844435,0.767871742520167
ACH-000040,0.7422785608483529,1.0,0.6977811401874743,0.7331051913530059,0.683285928567215,0.7620322607151842,0.74724476030334,0.787586443391864,0.698451886312033,0.7567686119376112,0.7432491738414527,0.6469105842315921,0.6989452795792691,0.7656182553419131,0.7901654814158817,0.7724660605862487,0.7584358434014924,0.6451194319385074,0.7434981547932643,0.7557237550627476,0.7230170244830973,0.7462774826558646,0.7183723580237027,0.7342434636165057,0.7161949523174351,0.7548892509442748,0.7057821857334071,0.7688771703483106,0.6979308824677423,0.6887835296195259,0.7556014372717226,0.7146681854841678,0.7532139147906756,0.7466733704937155,0.6832962113537201,0.7323805848769993,0.7307470153615745,0.7091143733652135,0.7335906066672802,0.7265858101556328,0.7598783415922753,0.6903171163693298,0.7439270999454772,0.7041119291629075,0.7302116812255821,0.7108524722838585,0.7714535640449268,0.7486211551135523,0.7789828466923393,0.7632628964317616
ACH-000055,0.6880337286661884,0.6977811401874743,1.0,0.6770685935852369,0.6467285837361414,0.7296662590259893,0.7042607982763748,0.7428255668516759,0.6762120051159868,0.7140039320786961,0.726391754586797,0.6106477260495746,0.6594594602776157,0.7346367139800744,0.7484124736889098,0.7418574782059466,0.7223624127589218,0.602842067661806,0.722575933000326,0.7198163746469174,0.6912305686749475,0.7010117158580763,0.6960039838525751,0.6991961509737666,0.669182922392032,0.7214864176814857,0.6574966818200316,0.7279168677974559,0.663514154035534,0.6540044719114718,0.7111856575199548,0.6850806326400127,0.7010196411121951,0.7152413554808272,0.6607567416623691,0.7068561322029441,0.717774347876994,0.6729163389897928,0.7020986741669658,0.7220956227325384,0.7249464340371126,0.6816404343422316,0.709318140031544,0.6796718252682047,0.7059872120672918,0.6766759226978712,0.7452037446210635,0.7356938790451966,0.7348039414834774,0.7411950844864235
ACH-000067,0.7320825271169452,0.7331051913530059,0.6770685935852369,1.0,0.6608912779507518,0.7445515432481115,0.7466135559094232,0.7696183229256095,0.6959629333204571,0.7512760190197504,0.7301820243439986,0.648317428127471,0.7035766156877705,0.7571519783998263,0.769232894590403,0.7613831469305963,0.7547730048910701,0.6295211865246557,0.731225456570587,0.7339923663585074,0.7226555644582038,0.7496627176011522,0.7143031942511426,0.7341332870597795,0.7047082510193684,0.7378884221353544,0.6974602885329736,0.7594868551589677,0.6969884725798727,0.68381143813655,0.7365564023747263,0.6984245654757746,0.7364718135663332,0.7217517521506852,0.6700532779114184,0.7343074093899364,0.7116984021083427,0.6884967365893933,0.7265313810631178,0.7262492780663733,0.7414566739397106,0.6791433332592719,0.7393443916678031,0.6965384005339046,0.7134407071276472,0.7048386286706725,0.7589706963736753,0.7404698335623217,0.77337034266316,0.7685023511235275
ACH-000075,0.6770678758443108,0.683285928567215,0.6467285837361414,0.6608912779507518,1.0,0.6919081469681462,0.6824411264190825,0.7148960155470926,0.6657938778128424,0.690782265543727,0.6934135035253447,0.6080544300320517,0.6313662897020199,0.7137098686073263,0.7147273638828104,0.7078760198950086,0.6991376507812798,0.5966291954479861,0.6949145551795015,0.686302143820891,0.6632186592010103,0.6825905419404047,0.6694342647658678,0.673991534571043,0.6545478870149227,0.6922521338987997,0.6547707799650818,0.6952607256364738,0.6413571529073971,0.6296830680904237,0.6790714736449173,0.6609567856246824,0.6849979698884132,0.6782913203231952,0.6198667306085951,0.6896898469010132,0.6664695565152084,0.6477562364870485,0.6735791582544858,0.6824579677847386,0.6979132628014307,0.6504600286185911,0.6755875140449674,0.6561262286206682,0.6912454731068296,0.6529639325383165,0.7174317514090836,0.6961581603360313,0.723208860137287,0.7178398091244435
ACH-000095,0.7649606403287053,0.7620322607151842,0.7296662590259893,0.7445515432481115,0.6919081469681462,1.0,0.7773739430694311,0.8062384841193104,0.725921791438065,0.768866591196058,0.7692483146055894,0.6685808833127425,0.7112735295567894,0.8081059808330201,0.8181991157396125,0.8012584749795255,0.7961643557858169,0.6464435070225699,0.7703746425786268,0.7811751797970218,0.7443523578256981,0.7605276117507143,0.7366273446422783,0.7456318875707691,0.7216205184952557,0.7710119084238741,0.7309883390436956,0.7943554522588083,0.7243552765517012,0.6973582913184979,0.7650649524238573,0.7435245974045378,0.7638127762928896,0.7785264382909644,0.7337314733794124,0.773704689644338,0.786188933945833,0.7397662765861016,0.7733850063345321,0.7613211055526079,0.7770962104853756,0.7269450845099863,0.7681667613065173,0.7289884772578218,0.7547231697391258,0.7366488555373547,0.808060263996181,0.7813849362484151,0.8272134284410813,0.8038183152728903
ACH-000098,0.7451179978448907,0.74724476030334,0.7042607982763748,0.7466135559094232,0.6824411264190825,0.7773739430694311,1.0,0.7861170415028799,0.7283601499548386,0.7551299001089026,0.7566041404302335,0.6535165566068838,0.689842755191392,0.7789943524461839,0.7924951747798564,0.7719455070924723,0.7835176188599811,0.6341364589701941,0.7548584308321001,0.7522179834839545,0.7412030492153084,0.7476784360456247,0.7340749222008374,0.7475603785475987,0.7083570006734796,0.7496543575967073,0.713052418192274,0.7625469182887706,0.7271678302325412,0.6776383892705217,0.7562989791234813,0.7259965161800132,0.7552986374527898,0.7561982666725867,0.6939944586107272,0.7770644094969902,0.7396733522833039,0.7105920870076162,0.7472019303204092,0.740198409252455,0.7665875953349066,0.7213797307035014,0.740249730600765,0.7239246911675122,0.7685452643293853,0.7127338652967538,0.788612663467744,0.7602295620229937,0.7982024998584217,0.8008534165929627
ACH-000215,0.7851640400113361,0.787586443391864,0.7428255668516759,0.7696183229256095,0.7148960155470926,0.8062384841193104,0.7861170415028799,1.0,0.7537535767723385,0.7980587297077947,0.8019128629603849,0.7018022235395349,0.7388607712384605,0.8250662154905903,0.8392522250445125,0.8274296542034862,0.8178330814655757,0.6796018425684466,0.8092065369984289,0.805264425495925,0.7712774000611854,0.7976551600760743,0.7694373653942252,0.7896711237200538,0.7508611145134911,0.8145038168751592,0.746600206236069,0.8307758434971071,0.738374454604034,0.728715975661883,0.7926393637180318,0.7613537192816103,0.79140235154119,0.805288472358553,0.7158348253937676,0.7905225763974466,0.7805425394900866,0.7451702360739157,0.7841717357617501,0.7898544967654091,0.8163518496936674,0.7631148316273046,0.7971567048562064,0.7601670583776763,0.784887790448809,0.7541928453721265,0.8380205752818282,0.8187743587816255,0.8388237021563606,0.8318011906714926
ACH-000137,0.6952554516542673,0.698451886312033,0.6762120051159868,0.6959629333204571,0.6657938778128424,0.725921791438065,0.7283601499548386,0.7537535767723385,1.0,0.7251118933096032,0.7291358189745616,0.6367272359442755,0.6784012567402026,0.7424344346668785,0.7422759032072821,0.7325588507444457,0.7310561899043272,0.6151716403167736,0.7258414640868752,0.7117344057869209,0.6999987050536015,0.7030405212386558,0.6998514800496273,0.714787547363457,0.6800251143192625,0.7200308228549369,0.6785418957866853,0.7204877360695574,0.6805856945465795,0.6521547872702737,0.7147442084311437,0.6955820717740722,0.7094897929530256,0.7227845725086215,0.6597175628960429,0.7408936719193125,0.7047922661137941,0.6718572740540464,0.7084801251075094,0.7120424104851938,0.7363820434623423,0.7035196469962303,0.7086630759804425,0.6887486861702337,0.7430170799730929,0.6866388251924236,0.7677991841158126,0.7290707394254687,0.7640149850757546,0.7694641477839426
ACH-000152,0.7516521175404437,0.7567686119376112,0.7140039320786961,0.7512760190197504,0.690782265543727,0.768866591196058,0.7551299001089026,0.7980587297077947,0.7251118933096032,1.0,0.7660979571740641,0.6634057681483706,0.7244817575437161,0.7886446289155264,0.798332326592564,0.7962857230727982,0.7724123530405602,0.6492620406508668,0.7600534596156256,0.7659853817757399,0.7475623213360377,0.7706075749193281,0.7423755622724441,0.7474340861103043,0.7268791928873581,0.7699506196971817,0.7104451384662034,0.7767506223161709,0.7155780146022835,0.7070840316854975,0.7553973155816329,0.731968916867387,0.7607017264726571,0.7463707174036874,0.6966934664669808,0.757659713450368,0.7517189874998415,0.7042752332665665,0.7498653578662379,0.769615685989225,0.7771988712955656,0.7182018200637602,0.7725115811806157,0.723147672062171,0.7396500802589964,0.7254834252299595,0.7958816515531859,0.7723957701517825,0.798146486036922,0.8044244654304729
