,ACH-000188,ACH-000207,ACH-000228,ACH-000238,ACH-000415,ACH-000472,ACH-000500,ACH-000503,ACH-000518,ACH-000548,ACH-000549,ACH-000606,ACH-000618,ACH-000619,ACH-000630,ACH-000682,ACH-000732,ACH-000735,ACH-000740,ACH-001228,ACH-000762,ACH-000771,ACH-000778,ACH-000794,ACH-000832,ACH-000836,ACH-000846,ACH-001332,ACH-001346,ACH-001521
ACH-000188,1.0,0.6751405546680961,0.731501605920375,0.7423193957870116,0.7977837416361722,0.7842846918426749,0.5918446769631117,0.6561216054950585,0.7404445288733986,0.7773246454756162,0.7474219919585,0.7990743427026262,0.7819821721002267,0.7697798364832285,0.7896741393741876,0.7899285789662782,0.7208647642464971,0.7950126537414012,0.7706808816212687,0.7149688176312805,0.7220591203356714,0.779545314097055,0.7253895416945655,0.8070939790310417,0.7732589230004837,0.7320678626671371,0.7132057688888012,0.6827415292151388,0.7977961983881269,0.6779908569461168
ACH-000207,0.6751405546680961,1.0,0.6385026441255963,0.6429533257434354,0.6929350215193718,0.6930525737689398,0.523589351160177,0.5670712987367007,0.6537598369010491,0.6622175221694845,0.6501853268700202,0.6688653659062599,0.6792706876972332,0.6655527563813828,0.6753174013676391,0.6768058089295258,0.6307709722176191,0.673183582336808,0.6614356254559335,0.620344418758453,0.6371415547077326,0.6692795216166564,0.6548397299035901,0.6873855731189475,0.6537283871348865,0.6385124257411284,0.6190677971604843,0.5768260904672174,0.6736854171204228,0.5979863467043699
ACH-000228,0.731501605920375,0.6385026441255963,1.0,0.6821635464633592,0.7528899809203076,0.7569484155998095,0.5450654904046685,0.6201627531319639,0.6935673349925241,0.7149700127836938,0.7125059829070491,0.7484304641921694,0.747512304647205,0.6952636579591631,0.75125844058289,0.75437788975036,0.7004025587948836,0.7437384410426798,0.726489873789613,0.6552830612855435,0.6719965832583501,0.7306721471350419,0.7074168346337074,0.7338293470016807,0.7333664797595725,0.6894729870724995,0.669677989306007,0.6411734729021001,0.7643830476948072,0.6235091717589634
ACH-000238,0.7423193957870116,0.6429533257434354,0.6821635464633592,1.0,0.7487104889906633,0.753008927462391,0.579887613877481,0.6127099885932356,0.7062449244971375,0.7172369471959862,0.6988899979044232,0.7450184654527684,0.733265776021227,0.7264629016587879,0.7476598688254558,0.7614088379517591,0.6739985204423262,0.7634277445236375,0.7350610014663614,0.6950106881191901,0.6726867281996529,0.7417950011091007,0.6831316773699273,0.755806507003771,0.6916445429824523,0.6787496748880592,0.6719900288796352,0.6311386072111309,0.7357911954635579,0.6574523272985588
ACH-000415,0.7977837416361722,0.6929350215193718,0.7528899809203076,0.7487104889906633,1.0,0.8036944914056853,0.5932084791381714,0.6556537360993278,0.7516045448414345,0.76741720582419,0.7572180906796308,0.8255598717864694,0.8151047109303491,0.7768210500730396,0.8055113073244685,0.8117586211147931,0.7376717678223095,0.798044874440338,0.7807870718455328,0.7222498288924161,0.7193981593396257,0.7798415368388794,0.7538489572987502,0.8011424420312033,0.7983057419116071,0.7411569432601194,0.7198171968741851,0.714114221652636,0.8018318206817775,0.6731219255321307
ACH-000472,0.7842846918426749,0.6930525737689398,0.7569484155998095,0.753008927462391,0.8036944914056853,1.0,0.5925967827895595,0.6635015870495021,0.7826287106639608,0.800802804847531,0.7682528125939907,0.786423821372919,0.8104841239164062,0.7592945831859529,0.8023477115977661,0.8238996889547375,0.7245016361507494,0.817316076825783,0.7901911776273784,0.740884682871974,0.733078400114801,0.7991644968524994,0.7826168982817071,0.7890361424631613,0.7667130202181004,0.7671614331210894,0.744113498839956,0.675367546107096,0.8149352320808323,0.7118749872879016
ACH-000500,0.5918446769631117,0.523589351160177,0.5450654904046685,0.579887613877481,0.5932084791381714,0.5925967827895595,1.0,0.5028915651959684,0.5720292092363598,0.5832385002967732,0.5733800610156425,0.5965744618588272,0.5877420839352187,0.5796418825611006,0.5974863844695024,0.602135484619066,0.5500391105294546,0.602510176724527,0.5959200109779641,0.5659950281269172,0.5487251931354968,0.5924092031740607,0.5443571535672131,0.5881757003589203,0.5727345168391857,0.5538943425447757,0.5548059106946089,0.5267066430310741,0.5847193066043922,0.5344164551565431
ACH-000503,0.6561216054950585,0.5670712987367007,0.6201627531319639,0.6127099885932356,0.6556537360993278,0.6635015870495021,0.5028915651959684,1.0,0.6227922227469973,0.6432798783058287,0.6310738387249196,0.65886684549622,0.6541474843009929,0.6408243212314827,0.6538014474070258,0.6641764206861295,0.5984588151640098,0.6653898154217972,0.6497928211016599,0.5988203777073381,0.6100158941011016,0.6527834329995363,0.6112530006824413,0.6596494309880295,0.6552558813721908,0.6113417766788706,0.6022992233085418,0.5864838306282694,0.6628985853647988,0.5676323190110403
ACH-000518,0.7404445288733986,0.6537598369010491,0.6935673349925241,0.7062449244971375,0.7516045448414345,0.7826287106639608,0.5720292092363598,0.6227922227469973,1.0,0.7382115589200436,0.7301286172036365,0.7439001437540304,0.7583598059574934,0.7299634333513249,0.7539516049388261,0.763207334262168,0.6856875313828071,0.7607203846944188,0.7310722516814548,0.7039563143676772,0.6984779163334256,0.7744341486545377,0.713226858951703,0.7376262088993172,0.7301626913244917,0.7237879248082374,0.6872788974930684,0.650251748451123,0.751489792277242,0.6588983993281454
ACH-000548,0.7773246454756162,0.6622175221694845,0.7149700127836938,0.7172369471959862,0.76741720582419,0.800802804847531,0.5832385002967732,0.6432798783058287,0.7382115589200436,1.0,0.7406657672090582,0.7634216006688637,0.7748386348308053,0.7426759088353734,0.7802673424456933,0.7681405993071786,0.7066008434722795,0.7851723792953506,0.7633179980330861,0.7069893419659055,0.7134227792839057,0.7716058687253391,0.7295341801935651,0.781724506592714,0.7539396188360353,0.7245043362327868,0.7139305096026002,0.65388868699478,0.770636630062542,0.6770128502780496
