,ACH-000188,ACH-000207,ACH-000228,ACH-000238,ACH-000415,ACH-000472,ACH-000500,ACH-000503,ACH-000518,ACH-000548,ACH-000549,ACH-000606,ACH-000618,ACH-000619,ACH-000630,ACH-000682,ACH-000732,ACH-000735,ACH-000740,ACH-001228,ACH-000762,ACH-000771,ACH-000778,ACH-000794,ACH-000832,ACH-000836,ACH-000846,ACH-001332,ACH-001346,ACH-001521
ACH-000549,0.7474219919585,0.6501853268700202,0.7125059829070491,0.6988899979044232,0.7572180906796308,0.7682528125939907,0.5733800610156425,0.6310738387249196,0.7301286172036365,0.7406657672090582,1.0,0.7507496265630225,0.7512450023745798,0.7250040276078965,0.7657504813784131,0.7693419359946756,0.709816706595288,0.7626882117658423,0.7314717476575563,0.6902298909125787,0.7010528257220494,0.7555370073602287,0.7098178512182145,0.737079704545644,0.7331080963424168,0.71879069413909,0.692556331997427,0.6564413021160653,0.7511324359916631,0.6476695256409364
ACH-000606,0.7990743427026262,0.6688653659062599,0.7484304641921694,0.7450184654527684,0.8255598717864694,0.786423821372919,0.5965744618588272,0.65886684549622,0.7439001437540304,0.7634216006688637,0.7507496265630225,1.0,0.8070522283257218,0.7724562103752904,0.8040129324878896,0.8033976025320428,0.7445913489596997,0.8054760925564137,0.7942318642730565,0.7131623154638554,0.7186450548835681,0.790309970067074,0.7382535625872534,0.7976245007308731,0.8059527047792373,0.7406605199224436,0.7239387611109053,0.7166261431012361,0.8058284582913743,0.672835621212769
ACH-000618,0.7819821721002267,0.6792706876972332,0.747512304647205,0.733265776021227,0.8151047109303491,0.8104841239164062,0.5877420839352187,0.6541474843009929,0.7583598059574934,0.7748386348308053,0.7512450023745798,0.8070522283257218,1.0,0.7581275980041371,0.7958339874620602,0.8111605580619837,0.7261545109688238,0.790339323323144,0.7801024149007559,0.7191094301630986,0.7163617806681387,0.7774462641028107,0.748480406913834,0.7875847662112726,0.778756605242035,0.7376453787410381,0.7188175221405105,0.6898295085173692,0.8089880452820013,0.6800925626645814
ACH-000619,0.7697798364832285,0.6655527563813828,0.6952636579591631,0.7264629016587879,0.7768210500730396,0.7592945831859529,0.5796418825611006,0.6408243212314827,0.7299634333513249,0.7426759088353734,0.7250040276078965,0.7724562103752904,0.7581275980041371,1.0,0.7781994228499255,0.7754986928355622,0.7044834702041503,0.7740445204849367,0.7618054830019851,0.7057825044140945,0.7002016141678857,0.7671568417552255,0.7064444494450591,0.7812267053917692,0.7585866994396192,0.7251517622730266,0.7076791804606938,0.6683704342152704,0.772845601929505,0.6615401282267204
ACH-000630,0.7896741393741876,0.6753174013676391,0.75125844058289,0.7476598688254558,0.8055113073244685,0.8023477115977661,0.5974863844695024,0.6538014474070258,0.7539516049388261,0.7802673424456933,0.7657504813784131,0.8040129324878896,0.7958339874620602,0.7781994228499255,1.0,0.8159835523577293,0.726380497426889,0.8166642817470937,0.7850010817552345,0.7260883213200512,0.7126356791988928,0.7938045171019437,0.7368161246962919,0.8007723650923757,0.7853991107130364,0.7582360943859318,0.721340821207838,0.6811820170327063,0.7918649215713055,0.6854695110864849
ACH-000682,0.7899285789662782,0.6768058089295258,0.75437788975036,0.7614088379517591,0.8117586211147931,0.8238996889547375,0.602135484619066,0.6641764206861295,0.763207334262168,0.7681405993071786,0.7693419359946756,0.8033976025320428,0.8111605580619837,0.7754986928355622,0.8159835523577293,1.0,0.7223267587504737,0.8104071794016744,0.7872883577844282,0.7461736583459841,0.7169305497789357,0.7937749811168069,0.7426917880064721,0.8057011890229565,0.764826105213879,0.7601341658026978,0.7282796767751002,0.6989354494978193,0.8149032040122913,0.6936666946798894
ACH-000732,0.7208647642464971,0.6307709722176191,0.7004025587948836,0.6739985204423262,0.7376717678223095,0.7245016361507494,0.5500391105294546,0.5984588151640098,0.6856875313828071,0.7066008434722795,0.709816706595288,0.7445913489596997,0.7261545109688238,0.7044834702041503,0.726380497426889,0.7223267587504737,1.0,0.7245956380820847,0.7072004410906558,0.6497561823763238,0.6628835949514366,0.7152166757152061,0.6850949090348645,0.7231927937406881,0.7348434762524756,0.676410890610327,0.6700400473419237,0.6465385468168171,0.743419354587487,0.6160494072367746
ACH-000735,0.7950126537414012,0.673183582336808,0.7437384410426798,0.7634277445236375,0.798044874440338,0.817316076825783,0.602510176724527,0.6653898154217972,0.7607203846944188,0.7851723792953506,0.7626882117658423,0.8054760925564137,0.790339323323144,0.7740445204849367,0.8166642817470937,0.8104071794016744,0.7245956380820847,1.0,0.7945765525162911,0.7308588485291128,0.7216403122889876,0.8131963339117783,0.7461036139454577,0.806046676019757,0.7760815473307175,0.7916414190785596,0.7229940103263415,0.6979440042909298,0.800650096347683,0.6950582169712884
ACH-000740,0.7706808816212687,0.6614356254559335,0.726489873789613,0.7350610014663614,0.7807870718455328,0.7901911776273784,0.5959200109779641,0.6497928211016599,0.7310722516814548,0.7633179980330861,0.7314717476575563,0.7942318642730565,0.7801024149007559,0.7618054830019851,0.7850010817552345,0.7872883577844282,0.7072004410906558,0.7945765525162911,1.0,0.7041278352365314,0.7003950133946916,0.7698702977102544,0.7197414183794573,0.7678949951888424,0.767314078088075,0.7145659803263238,0.7195886204625287,0.688573129273406,0.7781706475996942,0.6697732339366769
ACH-001228,0.7149688176312805,0.620344418758453,0.6552830612855435,0.6950106881191901,0.7222498288924161,0.740884682871974,0.5659950281269172,0.5988203777073381,0.7039563143676772,0.7069893419659055,0.6902298909125787,0.7131623154638554,0.7191094301630986,0.7057825044140945,0.7260883213200512,0.7461736583459841,0.6497561823763238,0.7308588485291128,0.7041278352365314,1.0,0.6593093206692232,0.7246913052050139,0.6699245292514467,0.727250899810846,0.6792363270035963,0.6846403892569183,0.6627470400346541,0.6204688666203817,0.7182506159218195,0.6527218373252665
ACH-000762,0.7220591203356714,0.6371415547077326,0.6719965832583501,0.6726867281996529,0.7193981593396257,0.733078400114801,0.5487251931354968,0.6100158941011016,0.6984779163334256,0.7134227792839057,0.7010528257220494,0.7186450548835681,0.7163617806681387,0.7002016141678857,0.7126356791988928,0.7169305497789357,0.6628835949514366,0.7216403122889876,0.7003950133946916,0.6593093206692232,1.0,0.7251083397701065,0.6811765024352686,0.7185903755562204,0.7027661786760647,0.6793233360834138,0.6625622967412136,0.6295948706050958,0.7246748582938269,0.6299147379150953
ACH-000771,0.779545314097055,0.6692795216166564,0.7306721471350419,0.7417950011091007,0.7798415368388794,0.7991644968524994,0.5924092031740607,0.6527834329995363,0.7744341486545377,0.7716058687253391,0.7555370073602287,0.790309970067074,0.7774462641028107,0.7671568417552255,0.7938045171019437,0.7937749811168069,0.7152166757152061,0.8131963339117783,0.7698702977102544,0.7246913052050139,0.7251083397701065,1.0,0.7357472642008561,0.7856126807395302,0.7669788586723425,0.7481308637363313,0.7186631126245261,0.6754033332830552,0.7900711504104446,0.6895554834969325
ACH-000778,0.7253895416945655,0.6548397299035901,0.7074168346337074,0.6831316773699273,0.7538489572987502,0.7826168982817071,0.5443571535672131,0.6112530006824413,0.713226858951703,0.7295341801935651,0.7098178512182145,0.7382535625872534,0.748480406913834,0.7064444494450591,0.7368161246962919,0.7426917880064721,0.6850949090348645,0.7461036139454577,0.7197414183794573,0.6699245292514467,0.6811765024352686,0.7357472642008561,1.0,0.7359277657837553,0.7175726753937263,0.7126105984873098,0.6874937208387477,0.6330010029367159,0.7526362432488869,0.6504169799822105
ACH-000794,0.8070939790310417,0.6873855731189475,0.7338293470016807,0.755806507003771,0.8011424420312033,0.7890361424631613,0.5881757003589203,0.6596494309880295,0.7376262088993172,0.781724506592714,0.737079704545644,0.7976245007308731,0.7875847662112726,0.7812267053917692,0.8007723650923757,0.8057011890229565,0.7231927937406881,0.806046676019757,0.7678949951888424,0.727250899810846,0.7185903755562204,0.7856126807395302,0.7359277657837553,1.0,0.7743296486656277,0.7426488514587443,0.7134343745980207,0.676957829878637,0.8021421973055151,0.6877783340671179
ACH-000832,0.7732589230004837,0.6537283871348865,0.7333664797595725,0.6916445429824523,0.7983057419116071,0.7667130202181004,0.5727345168391857,0.6552558813721908,0.7301626913244917,0.7539396188360353,0.7331080963424168,0.8059527047792373,0.778756605242035,0.7585866994396192,0.7853991107130364,0.764826105213879,0.7348434762524756,0.7760815473307175,0.767314078088075,0.6792363270035963,0.7027661786760647,0.7669788586723425,0.7175726753937263,0.7743296486656277,1.0,0.721654842846071,0.7089882595975845,0.695121725632275,0.7987230332196379,0.6441754597418937
ACH-000836,0.7320678626671371,0.6385124257411284,0.6894729870724995,0.6787496748880592,0.7411569432601194,0.7671614331210894,0.5538943425447757,0.6113417766788706,0.7237879248082374,0.7245043362327868,0.71879069413909,0.7406605199224436,0.7376453787410381,0.7251517622730266,0.7582360943859318,0.7601341658026978,0.676410890610327,0.7916414190785596,0.7145659803263238,0.6846403892569183,0.6793233360834138,0.7481308637363313,0.7126105984873098,0.7426488514587443,0.721654842846071,1.0,0.6829537439604262,0.635744521412719,0.7460835562882421,0.6457021787543205
ACH-000846,0.7132057688888012,0.6190677971604843,0.669677989306007,0.6719900288796352,0.7198171968741851,0.744113498839956,0.5548059106946089,0.6022992233085418,0.6872788974930684,0.7139305096026002,0.692556331997427,0.7239387611109053,0.7188175221405105,0.7076791804606938,0.721340821207838,0.7282796767751002,0.6700400473419237,0.7229940103263415,0.7195886204625287,0.6627470400346541,0.6625622967412136,0.7186631126245261,0.6874937208387477,0.7134343745980207,0.7089882595975845,0.6829537439604262,1.0,0.6459293350015133,0.728390677609272,0.6233749544064918
ACH-001332,0.6827415292151388,0.5768260904672174,0.6411734729021001,0.6311386072111309,0.714114221652636,0.675367546107096,0.5267066430310741,0.5864838306282694,0.650251748451123,0.65388868699478,0.6564413021160653,0.7166261431012361,0.6898295085173692,0.6683704342152704,0.6811820170327063,0.6989354494978193,0.6465385468168171,0.6979440042909298,0.688573129273406,0.6204688666203817,0.6295948706050958,0.6754033332830552,0.6330010029367159,0.676957829878637,0.695121725632275,0.635744521412719,0.6459293350015133,1.0,0.6899386345210029,0.5795654583948036
ACH-001346,0.7977961983881269,0.6736854171204228,0.7643830476948072,0.7357911954635579,0.8018318206817775,0.8149352320808323,0.5847193066043922,0.6628985853647988,0.751489792277242,0.770636630062542,0.7511324359916631,0.8058284582913743,0.8089880452820013,0.772845601929505,0.7918649215713055,0.8149032040122913,0.743419354587487,0.800650096347683,0.7781706475996942,0.7182506159218195,0.7246748582938269,0.7900711504104446,0.7526362432488869,0.8021421973055151,0.7987230332196379,0.7460835562882421,0.728390677609272,0.6899386345210029,1.0,0.6779490238446906
ACH-001521,0.6779908569461168,0.5979863467043699,0.6235091717589634,0.6574523272985588,0.6731219255321307,0.7118749872879016,0.5344164551565431,0.5676323190110403,0.6588983993281454,0.6770128502780496,0.6476695256409364,0.672835621212769,0.6800925626645814,0.6615401282267204,0.6854695110864849,0.6936666946798894,0.6160494072367746,0.6950582169712884,0.6697732339366769,0.6527218373252665,0.6299147379150953,0.6895554834969325,0.6504169799822105,0.6877783340671179,0.6441754597418937,0.6457021787543205,0.6233749544064918,0.5795654583948036,0.6779490238446906,1.0
