,x,y,measure
0,ACH-000116,ACH-000013,0.8027805923753631
1,ACH-000123,ACH-000013,0.7848184250430952
2,ACH-000123,ACH-000116,0.7784923102528023
3,ACH-000132,ACH-000013,0.7561687952730741
4,ACH-000132,ACH-000116,0.7639630559948279
5,ACH-000132,ACH-000123,0.7303661862989157
6,ACH-000237,ACH-000013,0.7816658253279491
7,ACH-000237,ACH-000116,0.7781475487308865
8,ACH-000237,ACH-000123,0.7641901746987964
9,ACH-000237,ACH-000132,0.7431120287267202
10,ACH-000256,ACH-000013,0.7498874677384029
11,ACH-000256,ACH-000116,0.7433756241524829
12,ACH-000256,ACH-000123,0.7223926313463256
13,ACH-000256,ACH-000132,0.6892092089557742
14,ACH-000256,ACH-000237,0.7211390273297237
15,ACH-000278,ACH-000013,0.7607601005601446
16,ACH-000278,ACH-000116,0.7500412491329165
17,ACH-000278,ACH-000123,0.7501618375499282
18,ACH-000278,ACH-000132,0.7044858684247604
19,ACH-000278,ACH-000237,0.7953788936230008
20,ACH-000278,ACH-000256,0.7041272280230336
21,ACH-000280,ACH-000013,0.7812265691041868
22,ACH-000280,ACH-000116,0.7464670880395662
23,ACH-000280,ACH-000123,0.7560072656192867
24,ACH-000280,ACH-000132,0.7051019776291801
25,ACH-000280,ACH-000237,0.7415546937044815
26,ACH-000280,ACH-000256,0.694931241441165
27,ACH-000280,ACH-000278,0.7123135461054159
28,ACH-000291,ACH-000013,0.7950984666058887
29,ACH-000291,ACH-000116,0.7743578226861173
30,ACH-000291,ACH-000123,0.7668179336011711
31,ACH-000291,ACH-000132,0.7272636860397841
32,ACH-000291,ACH-000237,0.7662615335947927
33,ACH-000291,ACH-000256,0.7231258836427175
34,ACH-000291,ACH-000278,0.7413312814626097
35,ACH-000291,ACH-000280,0.7593675439950378
36,ACH-000308,ACH-000013,0.8217562047032458
37,ACH-000308,ACH-000116,0.8133372217826843
38,ACH-000308,ACH-000123,0.8022555093976468
39,ACH-000308,ACH-000132,0.7710817107627554
40,ACH-000308,ACH-000237,0.8122721535189913
41,ACH-000308,ACH-000256,0.7564991257683833
42,ACH-000308,ACH-000278,0.7620613082397126
43,ACH-000308,ACH-000280,0.7703053816085739
44,ACH-000308,ACH-000291,0.8022118820687631
45,ACH-000324,ACH-000013,0.7873345088578634
46,ACH-000324,ACH-000116,0.7865792542833712
47,ACH-000324,ACH-000123,0.8125695450266925
48,ACH-000324,ACH-000132,0.7491445864757176
49,ACH-000324,ACH-000237,0.7860933873451638
50,ACH-000324,ACH-000256,0.7369033542047742
51,ACH-000324,ACH-000278,0.7514333125134941
52,ACH-000324,ACH-000280,0.7724553115188298
53,ACH-000324,ACH-000291,0.7783950739678199
54,ACH-000324,ACH-000308,0.81032319922015
55,ACH-000460,ACH-000013,0.8012294876140164
56,ACH-000460,ACH-000116,0.7994751986499932
57,ACH-000460,ACH-000123,0.7950228929127425
58,ACH-000460,ACH-000132,0.7589427683585297
59,ACH-000460,ACH-000237,0.7854924774886032
60,ACH-000460,ACH-000256,0.7378893700230216
61,ACH-000460,ACH-000278,0.7454014957460492
62,ACH-000460,ACH-000280,0.7720511406940974
63,ACH-000460,ACH-000291,0.7841127227120248
64,ACH-000460,ACH-000308,0.8144863659345062
65,ACH-000460,ACH-000324,0.8227502713329411
66,ACH-000520,ACH-000013,0.7408963986401853
67,ACH-000520,ACH-000116,0.7386863055960505
68,ACH-000520,ACH-000123,0.7281060145970726
69,ACH-000520,ACH-000132,0.7046500078939499
70,ACH-000520,ACH-000237,0.7330072419460286
71,ACH-000520,ACH-000256,0.6897260846084466
72,ACH-000520,ACH-000278,0.7175903933614798
73,ACH-000520,ACH-000280,0.7149541237443876
74,ACH-000520,ACH-000291,0.7332256905433612
75,ACH-000520,ACH-000308,0.7404180444782115
76,ACH-000520,ACH-000324,0.7383449719811211
77,ACH-000520,ACH-000460,0.7384362031975668
78,ACH-000524,ACH-000013,0.8038167747913582
79,ACH-000524,ACH-000116,0.8080334546417768
80,ACH-000524,ACH-000123,0.7947846426187191
81,ACH-000524,ACH-000132,0.7509762068453892
82,ACH-000524,ACH-000237,0.781224118963091
83,ACH-000524,ACH-000256,0.7471957429417174
84,ACH-000524,ACH-000278,0.7590085959928111
85,ACH-000524,ACH-000280,0.7710441120609861
86,ACH-000524,ACH-000291,0.7825990664671992
87,ACH-000524,ACH-000308,0.8131190410876645
88,ACH-000524,ACH-000324,0.8219974371230403
89,ACH-000524,ACH-000460,0.8206694437354789
90,ACH-000524,ACH-000520,0.7358439395000812
91,ACH-000527,ACH-000013,0.8336403901857374
92,ACH-000527,ACH-000116,0.8364217770540646
93,ACH-000527,ACH-000123,0.8148158132980691
94,ACH-000527,ACH-000132,0.7757381559299253
95,ACH-000527,ACH-000237,0.8087539060312339
96,ACH-000527,ACH-000256,0.7664050839882215
97,ACH-000527,ACH-000278,0.7886571327734008
98,ACH-000527,ACH-000280,0.7884462803721486
99,ACH-000527,ACH-000291,0.8139963056599593
100,ACH-000527,ACH-000308,0.8499061930273553
101,ACH-000527,ACH-000324,0.8251194213447076
