,ACH-000017,ACH-000019,ACH-000028,ACH-000097,ACH-000148,ACH-000223,ACH-000248,ACH-000258,ACH-000277,ACH-000288,ACH-000330,ACH-000352,ACH-000374,ACH-000573,ACH-000621,ACH-000624,ACH-000699,ACH-000711,ACH-000721,ACH-000725,ACH-000768,ACH-000783,ACH-000849,ACH-000856,ACH-000859,ACH-000876,ACH-000910,ACH-001390,ACH-001391
ACH-000330,0.704417162842104,0.6439578990091669,0.7193676013694402,0.7380158115021304,0.7183599412056739,0.7222444386109145,0.6971190994582002,0.5850777821400502,0.6583473621584064,0.7031341937459409,1.0,0.7201424965756817,0.7034945521160999,0.7201883815538783,0.7185158489381911,0.7551366135767456,0.7345369278515025,0.7626615672384593,0.7437055552427034,0.6635429683477874,0.7113367364156671,0.6981431725267983,0.6915450594584864,0.6924870781427812,0.6635833152344124,0.7003828067629496,0.7058379012666578,0.5863448436738266,0.6480047434507926
ACH-000352,0.7475848297183881,0.6882920593099913,0.7663695896633651,0.79402911190004,0.7837666710035752,0.7682652159505297,0.7353352965332935,0.6250809575203586,0.733811182192181,0.7543596833840153,0.7201424965756817,1.0,0.7243339506725935,0.7693073399415952,0.7692476381810175,0.8032362051768253,0.7722718161532768,0.8170639873094453,0.7881657653257146,0.698317844313264,0.7491105987015277,0.7669631615912064,0.7508189732142303,0.7332103180390034,0.7097226032785128,0.7529770435225411,0.763507862570821,0.6135790652071176,0.6927702954540463
ACH-000374,0.6990219784460007,0.6451753055612742,0.7373082423387758,0.7428631237912872,0.7528989732062393,0.7498656361020248,0.6927506540387965,0.5988685704886341,0.6709692591535479,0.7480343574129079,0.7034945521160999,0.7243339506725935,1.0,0.7310106048977061,0.7358032615321856,0.7725473810746899,0.749692286919683,0.7748797092489481,0.7537931247332375,0.6655546444481685,0.7402010387493015,0.7173614888354369,0.7207175511170677,0.7090745208401678,0.6829827095342815,0.7282659038442002,0.720868339458941,0.5908231001096822,0.6633330722670355
ACH-000573,0.7396364238096972,0.6736217128922591,0.7451569222036628,0.7851156936613145,0.785614118542897,0.7874511215815495,0.7187335070567662,0.6517616113058968,0.7117555148679974,0.7707988610360001,0.7201883815538783,0.7693073399415952,0.7310106048977061,1.0,0.7701246912603262,0.8132932157346748,0.7983229881077025,0.8237129641340111,0.7820946651710882,0.6930753065058125,0.7655218794937492,0.7377088903300462,0.7553818023156121,0.7429860573847459,0.6976422206560651,0.7400030705168167,0.7589001331075265,0.6250668163398541,0.7070893472387745
ACH-000621,0.7401450965128133,0.6648082690705752,0.7436993856995288,0.7818610193027462,0.7933198614089942,0.7715208079954488,0.7203931891429307,0.6192872116812427,0.7169978374884245,0.7881988708994955,0.7185158489381911,0.7692476381810175,0.7358032615321856,0.7701246912603262,1.0,0.8203168182923771,0.7939977828732054,0.8233415288052558,0.7948845872571546,0.6891647757624964,0.7598667956367141,0.7724271280581314,0.7481891920049322,0.7481459959651878,0.6844108126664179,0.7420157754031668,0.7487191712262101,0.6292398072361634,0.6944897784736126
ACH-000624,0.7709601574237341,0.707972617826716,0.7884537173082743,0.8318640663440809,0.8244666233088496,0.811104808601197,0.7510710852355785,0.6637068027463315,0.745739657316747,0.8058917889539384,0.7551366135767456,0.8032362051768253,0.7725473810746899,0.8132932157346748,0.8203168182923771,1.0,0.827234627266487,0.8804504399751938,0.831105394962468,0.7353351559333446,0.8072527191690156,0.7856478040876775,0.7814572410075533,0.7829871188643558,0.7397183767430996,0.7720160286860992,0.7908953568768717,0.6377952180405367,0.7321764643600066
ACH-000699,0.751996091837267,0.683664068287161,0.7638426630422638,0.7992034917392571,0.7999733670435233,0.8006563851702093,0.738022833358651,0.6448121600319131,0.7245220132073098,0.7851287708288649,0.7345369278515025,0.7722718161532768,0.749692286919683,0.7983229881077025,0.7939977828732054,0.827234627266487,1.0,0.8314504231312494,0.8016749419347207,0.6908614032702678,0.7783911042560342,0.7825659084567014,0.7674680288792777,0.7518867487682857,0.7106351040824266,0.745573757901554,0.7698904788844734,0.626731632962766,0.7075973862452404
ACH-000711,0.781397357989991,0.723289724378228,0.8007021838953688,0.840979755098887,0.8356958295293545,0.8270948532345724,0.7671531670808637,0.6568376384634491,0.7511042989865037,0.8093152461311821,0.7626615672384593,0.8170639873094453,0.7748797092489481,0.8237129641340111,0.8233415288052558,0.8804504399751938,0.8314504231312494,1.0,0.8483135012755222,0.7344615446597971,0.8095781638381342,0.7907937289428645,0.7987339846698023,0.7776706923522122,0.7525592728747054,0.781040755254985,0.7929669452326594,0.6524944546141326,0.7377191625764306
ACH-000721,0.7541157158006373,0.6884388046744297,0.7654295302544772,0.7960245582615618,0.8104612072548677,0.7896743902316788,0.7532924757392202,0.6273055003032983,0.7266776590195235,0.7888171848180926,0.7437055552427034,0.7881657653257146,0.7537931247332375,0.7820946651710882,0.7948845872571546,0.831105394962468,0.8016749419347207,0.8483135012755222,1.0,0.7107513153248907,0.793888118824822,0.7725226192752963,0.780038862650058,0.7611487550783772,0.7370067203314096,0.7614597930442598,0.7583067138527174,0.630574319644898,0.719534142948568
ACH-000725,0.6749162549527067,0.6233730503373892,0.6966951843650614,0.710063340676053,0.7038568818810399,0.6902622713504984,0.6653552435350397,0.5698439346123916,0.6271820551398619,0.6711037978972286,0.6635429683477874,0.698317844313264,0.6655546444481685,0.6930753065058125,0.6891647757624964,0.7353351559333446,0.6908614032702678,0.7344615446597971,0.7107513153248907,1.0,0.6845059390468421,0.669966568671462,0.6591700443377289,0.6650620958430316,0.6483838893940163,0.6765820754483273,0.6856977149847009,0.5673726640963747,0.6271381590351118
ACH-000768,0.7242699448487767,0.6819464931541933,0.7577695771036089,0.7670623425694032,0.7602797900460967,0.7845997902312721,0.7384908717293378,0.6296045216881875,0.6991483729676512,0.7329412552452867,0.7113367364156671,0.7491105987015277,0.7402010387493015,0.7655218794937492,0.7598667956367141,0.8072527191690156,0.7783911042560342,0.8095781638381342,0.793888118824822,0.6845059390468421,1.0,0.7230226701389032,0.7527981205093133,0.7306097146698863,0.7152638601940275,0.7324001319148391,0.7317787783327522,0.6150069840571155,0.6937265624652953
ACH-000783,0.7392004107194499,0.6663971160105587,0.7395023838595021,0.7928056120106584,0.7777034859714639,0.7635033046530975,0.7178691756444114,0.6063793687417223,0.7349894693923595,0.7697188144689836,0.6981431725267983,0.7669631615912064,0.7173614888354369,0.7377088903300462,0.7724271280581314,0.7856478040876775,0.7825659084567014,0.7907937289428645,0.7725226192752963,0.669966568671462,0.7230226701389032,1.0,0.7409571671054126,0.7218209801794021,0.6777371990071903,0.7338265026123697,0.7810456416494362,0.6031130424747553,0.6942060114992937
ACH-000849,0.7298182102275165,0.6626537780819661,0.7305562724284562,0.7585976197737863,0.7799623142610368,0.7682671964771326,0.7188751559866592,0.624392636732339,0.7063487718554076,0.7688139647762872,0.6915450594584864,0.7508189732142303,0.7207175511170677,0.7553818023156121,0.7481891920049322,0.7814572410075533,0.7674680288792777,0.7987339846698023,0.780038862650058,0.6591700443377289,0.7527981205093133,0.7409571671054126,1.0,0.7262123931380727,0.6849085750164039,0.7249401085253231,0.7459689568080847,0.6111349000955754,0.6802237843099981
ACH-000856,0.7061567443323334,0.6388887780468729,0.7238144749925628,0.7459734455432261,0.766959305610682,0.735867379932122,0.6974349880756144,0.6092942924462065,0.6774493163967169,0.7447831576771499,0.6924870781427812,0.7332103180390034,0.7090745208401678,0.7429860573847459,0.7481459959651878,0.7829871188643558,0.7518867487682857,0.7776706923522122,0.7611487550783772,0.6650620958430316,0.7306097146698863,0.7218209801794021,0.7262123931380727,1.0,0.6785377249723801,0.7052659785882185,0.7276533576924779,0.5996011149884494,0.6699988961119612
ACH-000859,0.6832363767504512,0.6327415747452707,0.7019849160364912,0.710044363199464,0.7072343204826825,0.7236355693638489,0.6814212690441781,0.5669464704510809,0.6350805690030542,0.6911251114983183,0.6635833152344124,0.7097226032785128,0.6829827095342815,0.6976422206560651,0.6844108126664179,0.7397183767430996,0.7106351040824266,0.7525592728747054,0.7370067203314096,0.6483838893940163,0.7152638601940275,0.6777371990071903,0.6849085750164039,0.6785377249723801,1.0,0.6741432329385861,0.6687955006503679,0.5708990019637449,0.6365203484482403
ACH-000876,0.7225633289078752,0.660096450832289,0.7146554569887885,0.7610913371814607,0.7565952315268589,0.7454027042964245,0.7137489655985167,0.5990416660567778,0.6911701318784352,0.7444953084759789,0.7003828067629496,0.7529770435225411,0.7282659038442002,0.7400030705168167,0.7420157754031668,0.7720160286860992,0.745573757901554,0.781040755254985,0.7614597930442598,0.6765820754483273,0.7324001319148391,0.7338265026123697,0.7249401085253231,0.7052659785882185,0.6741432329385861,1.0,0.7333958496109559,0.6046367675123883,0.6829294964304607
ACH-000910,0.7458851402592045,0.6549939530376342,0.7212113394346868,0.7676774728355171,0.7811610534793083,0.7583320650575929,0.7150200986621065,0.6282725679079845,0.7348807032274393,0.7785032853711535,0.7058379012666578,0.763507862570821,0.720868339458941,0.7589001331075265,0.7487191712262101,0.7908953568768717,0.7698904788844734,0.7929669452326594,0.7583067138527174,0.6856977149847009,0.7317787783327522,0.7810456416494362,0.7459689568080847,0.7276533576924779,0.6687955006503679,0.7333958496109559,1.0,0.614117146409899,0.6843249948504745
ACH-001390,0.5982523982982723,0.5519638217148969,0.6004114495592133,0.6211852350726303,0.6354221134228321,0.6193315973232597,0.5885106821628016,0.5132966393017505,0.5838532940605806,0.6270874893732322,0.5863448436738266,0.6135790652071176,0.5908231001096822,0.6250668163398541,0.6292398072361634,0.6377952180405367,0.626731632962766,0.6524944546141326,0.630574319644898,0.5673726640963747,0.6150069840571155,0.6031130424747553,0.6111349000955754,0.5996011149884494,0.5708990019637449,0.6046367675123883,0.614117146409899,1.0,0.56921168049261
ACH-001391,0.6710529034153868,0.6275756508543835,0.6750752662631633,0.7079942736939225,0.7129532479796972,0.6998501309374469,0.6643594578694726,0.572885264436599,0.6460458099441815,0.6865604244312078,0.6480047434507926,0.6927702954540463,0.6633330722670355,0.7070893472387745,0.6944897784736126,0.7321764643600066,0.7075973862452404,0.7377191625764306,0.719534142948568,0.6271381590351118,0.6937265624652953,0.6942060114992937,0.6802237843099981,0.6699988961119612,0.6365203484482403,0.6829294964304607,0.6843249948504745,0.56921168049261,1.0
