,ACH-000017,ACH-000019,ACH-000028,ACH-000097,ACH-000148,ACH-000223,ACH-000248,ACH-000258,ACH-000277,ACH-000288,ACH-000330,ACH-000352,ACH-000374,ACH-000573,ACH-000621,ACH-000624,ACH-000699,ACH-000711,ACH-000721,ACH-000725,ACH-000768,ACH-000783,ACH-000849,ACH-000856,ACH-000859,ACH-000876,ACH-000910,ACH-001390,ACH-001391
ACH-000017,1.0,0.6528625523252981,0.7198957137125295,0.7581220786158998,0.7476922854309855,0.752634249047338,0.7573316950731865,0.6109343086488949,0.7156844191525079,0.73624211621657,0.704417162842104,0.7475848297183881,0.6990219784460007,0.7396364238096972,0.7401450965128133,0.7709601574237341,0.751996091837267,0.781397357989991,0.7541157158006373,0.6749162549527067,0.7242699448487767,0.7392004107194499,0.7298182102275165,0.7061567443323334,0.6832363767504512,0.7225633289078752,0.7458851402592045,0.5982523982982723,0.6710529034153868
ACH-000019,0.6528625523252981,1.0,0.7288720170376057,0.710066609979947,0.6826853321794666,0.6779684316558084,0.6521430155419109,0.5479984170249087,0.640584120348534,0.6634549973638385,0.6439578990091669,0.6882920593099913,0.6451753055612742,0.6736217128922591,0.6648082690705752,0.707972617826716,0.683664068287161,0.723289724378228,0.6884388046744297,0.6233730503373892,0.6819464931541933,0.6663971160105587,0.6626537780819661,0.6388887780468729,0.6327415747452707,0.660096450832289,0.6549939530376342,0.5519638217148969,0.6275756508543835
ACH-000028,0.7198957137125295,0.7288720170376057,1.0,0.7914540290156732,0.7640288890304306,0.757077161183,0.7282514328913221,0.6110360835851597,0.7032740283051326,0.7306433753917706,0.7193676013694402,0.7663695896633651,0.7373082423387758,0.7451569222036628,0.7436993856995288,0.7884537173082743,0.7638426630422638,0.8007021838953688,0.7654295302544772,0.6966951843650614,0.7577695771036089,0.7395023838595021,0.7305562724284562,0.7238144749925628,0.7019849160364912,0.7146554569887885,0.7212113394346868,0.6004114495592133,0.6750752662631633
ACH-000097,0.7581220786158998,0.710066609979947,0.7914540290156732,1.0,0.7956221863870694,0.7809776527320429,0.7395810039839223,0.6399914973046613,0.7332178705904219,0.7779899815576714,0.7380158115021304,0.79402911190004,0.7428631237912872,0.7851156936613145,0.7818610193027462,0.8318640663440809,0.7992034917392571,0.840979755098887,0.7960245582615618,0.710063340676053,0.7670623425694032,0.7928056120106584,0.7585976197737863,0.7459734455432261,0.710044363199464,0.7610913371814607,0.7676774728355171,0.6211852350726303,0.7079942736939225
ACH-000148,0.7476922854309855,0.6826853321794666,0.7640288890304306,0.7956221863870694,1.0,0.7879286180362137,0.731888789823559,0.6456074738257676,0.7335627352359256,0.812522569453042,0.7183599412056739,0.7837666710035752,0.7528989732062393,0.785614118542897,0.7933198614089942,0.8244666233088496,0.7999733670435233,0.8356958295293545,0.8104612072548677,0.7038568818810399,0.7602797900460967,0.7777034859714639,0.7799623142610368,0.766959305610682,0.7072343204826825,0.7565952315268589,0.7811610534793083,0.6354221134228321,0.7129532479796972
ACH-000223,0.752634249047338,0.6779684316558084,0.757077161183,0.7809776527320429,0.7879286180362137,1.0,0.738561648569277,0.6497152358508539,0.7281333653645234,0.7640388610862212,0.7222444386109145,0.7682652159505297,0.7498656361020248,0.7874511215815495,0.7715208079954488,0.811104808601197,0.8006563851702093,0.8270948532345724,0.7896743902316788,0.6902622713504984,0.7845997902312721,0.7635033046530975,0.7682671964771326,0.735867379932122,0.7236355693638489,0.7454027042964245,0.7583320650575929,0.6193315973232597,0.6998501309374469
ACH-000248,0.7573316950731865,0.6521430155419109,0.7282514328913221,0.7395810039839223,0.731888789823559,0.738561648569277,1.0,0.5933273914931281,0.6911239975096892,0.7204164776346914,0.6971190994582002,0.7353352965332935,0.6927506540387965,0.7187335070567662,0.7203931891429307,0.7510710852355785,0.738022833358651,0.7671531670808637,0.7532924757392202,0.6653552435350397,0.7384908717293378,0.7178691756444114,0.7188751559866592,0.6974349880756144,0.6814212690441781,0.7137489655985167,0.7150200986621065,0.5885106821628016,0.6643594578694726
ACH-000258,0.6109343086488949,0.5479984170249087,0.6110360835851597,0.6399914973046613,0.6456074738257676,0.6497152358508539,0.5933273914931281,1.0,0.5934571982141071,0.6208514058116844,0.5850777821400502,0.6250809575203586,0.5988685704886341,0.6517616113058968,0.6192872116812427,0.6637068027463315,0.6448121600319131,0.6568376384634491,0.6273055003032983,0.5698439346123916,0.6296045216881875,0.6063793687417223,0.624392636732339,0.6092942924462065,0.5669464704510809,0.5990416660567778,0.6282725679079845,0.5132966393017505,0.572885264436599
ACH-000277,0.7156844191525079,0.640584120348534,0.7032740283051326,0.7332178705904219,0.7335627352359256,0.7281333653645234,0.6911239975096892,0.5934571982141071,1.0,0.7072765151368978,0.6583473621584064,0.733811182192181,0.6709692591535479,0.7117555148679974,0.7169978374884245,0.745739657316747,0.7245220132073098,0.7511042989865037,0.7266776590195235,0.6271820551398619,0.6991483729676512,0.7349894693923595,0.7063487718554076,0.6774493163967169,0.6350805690030542,0.6911701318784352,0.7348807032274393,0.5838532940605806,0.6460458099441815
ACH-000288,0.73624211621657,0.6634549973638385,0.7306433753917706,0.7779899815576714,0.812522569453042,0.7640388610862212,0.7204164776346914,0.6208514058116844,0.7072765151368978,1.0,0.7031341937459409,0.7543596833840153,0.7480343574129079,0.7707988610360001,0.7881988708994955,0.8058917889539384,0.7851287708288649,0.8093152461311821,0.7888171848180926,0.6711037978972286,0.7329412552452867,0.7697188144689836,0.7688139647762872,0.7447831576771499,0.6911251114983183,0.7444953084759789,0.7785032853711535,0.6270874893732322,0.6865604244312078
