,ACH-000013,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000256,ACH-000278,ACH-000280,ACH-000291,ACH-000308,ACH-000324,ACH-000460,ACH-000520,ACH-000524,ACH-000527,ACH-000542,ACH-000584,ACH-000608,ACH-000646,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000701,ACH-000713,ACH-000796,ACH-000811,ACH-001278,ACH-000885,ACH-000906,ACH-000936,ACH-000947,ACH-001048,ACH-001151,ACH-001340,ACH-001369,ACH-001374
ACH-000013,1.0,0.8027805923753631,0.7848184250430952,0.7561687952730741,0.7816658253279491,0.7498874677384029,0.7607601005601446,0.7812265691041868,0.7950984666058887,0.8217562047032458,0.7873345088578634,0.8012294876140164,0.7408963986401853,0.8038167747913582,0.8336403901857374,0.8011396221901076,0.8121083878490191,0.7806241816614684,0.6924101889330507,0.8440757984529889,0.7295094157207678,0.7015592150685983,0.8356509463456966,0.7294382769956014,0.7544757079971439,0.7705799417303387,0.7978837050004775,0.7464951280086283,0.7605991156888751,0.814739838011072,0.7800677517086587,0.8000327550759949,0.8012162312853806,0.8084350420016324,0.826098747955731,0.6796300625645502,0.602479582530887
ACH-000116,0.8027805923753631,1.0,0.7784923102528023,0.7639630559948279,0.7781475487308865,0.7433756241524829,0.7500412491329165,0.7464670880395662,0.7743578226861173,0.8133372217826843,0.7865792542833712,0.7994751986499932,0.7386863055960505,0.8080334546417768,0.8364217770540646,0.7937030945662898,0.7923438326466787,0.7677296188521092,0.6742026774538744,0.8252316048584489,0.7228945578955782,0.706324750569785,0.8288174476715992,0.7189738918572883,0.7263888612422957,0.7832251210010402,0.7809136095292504,0.7359296275475571,0.76149715898681,0.8138353075855067,0.7508085159491669,0.8042747163895674,0.7839079871449711,0.8027883271912881,0.8219542569415125,0.6767612015293041,0.6030850468293185
ACH-000123,0.7848184250430952,0.7784923102528023,1.0,0.7303661862989157,0.7641901746987964,0.7223926313463256,0.7501618375499282,0.7560072656192867,0.7668179336011711,0.8022555093976468,0.8125695450266925,0.7950228929127425,0.7281060145970726,0.7947846426187191,0.814815813298069,0.8030649330450198,0.7773021231768871,0.7610442841217238,0.653316104083715,0.8306303247247606,0.7268895867994062,0.7116594782260455,0.8198334478674092,0.7268824070751021,0.7305995691138059,0.7720552816482238,0.7887634887460321,0.7433312997747611,0.7904756446724209,0.8271792694737524,0.7598055188565915,0.8099722117529242,0.7825350513193192,0.7880834203982789,0.7833511443716462,0.661095152662534,0.5906410668314809
ACH-000132,0.7561687952730741,0.7639630559948279,0.7303661862989157,1.0,0.7431120287267202,0.6892092089557742,0.7044858684247604,0.70510197762918,0.7272636860397841,0.7710817107627554,0.7491445864757176,0.7589427683585297,0.70465000789395,0.7509762068453892,0.7757381559299253,0.7609812358133571,0.7551495298256549,0.7134452779842988,0.6302560462747483,0.7761704901230471,0.6887130941228216,0.6798620494070126,0.7802949796125236,0.6645970892290378,0.6874712231061642,0.7217038737232472,0.7352405280893912,0.694921244650476,0.7285316162967175,0.7613362899159023,0.7182088182393178,0.7501786500928926,0.7428361064594131,0.7651794155425445,0.7628658945220887,0.6455618158107876,0.5717793433138704
ACH-000237,0.7816658253279491,0.7781475487308865,0.7641901746987964,0.7431120287267202,1.0,0.7211390273297237,0.7953788936230008,0.7415546937044815,0.7662615335947927,0.8122721535189913,0.7860933873451638,0.7854924774886032,0.7330072419460286,0.781224118963091,0.8087539060312339,0.8068237045431764,0.7860087259651353,0.75975240309468,0.6478025781687944,0.8082877253832098,0.7214801685365877,0.7045406530184076,0.8175842215490003,0.7127501163159672,0.702159631323011,0.7629889567566184,0.795932952413567,0.7177589349916588,0.750900159964528,0.8102014219130523,0.7397572915391448,0.7902541799520076,0.7800839430148894,0.8010681601431989,0.8015125635295279,0.6782959941114451,0.6009755492229679
ACH-000256,0.7498874677384029,0.7433756241524829,0.7223926313463256,0.6892092089557742,0.7211390273297237,1.0,0.7041272280230336,0.694931241441165,0.7231258836427175,0.7564991257683833,0.7369033542047742,0.7378893700230216,0.6897260846084466,0.7471957429417174,0.7664050839882215,0.7297661028353777,0.7371144812500018,0.7369079133470101,0.6254545862192469,0.7666804665094227,0.6712849583775294,0.6614352169438464,0.7651895004645488,0.6718228033864456,0.6518088934891036,0.7060969705722485,0.7408110449476099,0.6854923246802527,0.7005794630606536,0.7486021391209688,0.7043110413421638,0.7345617654221511,0.7394454743932115,0.7377453346335683,0.7664692335791693,0.6376967621829625,0.5708231777630449
ACH-000278,0.7607601005601446,0.7500412491329165,0.7501618375499282,0.7044858684247604,0.7953788936230008,0.7041272280230336,1.0,0.7123135461054159,0.7413312814626097,0.7620613082397126,0.7514333125134941,0.7454014957460492,0.7175903933614798,0.7590085959928111,0.7886571327734008,0.7797606146976335,0.751396240497357,0.7391913476865246,0.6320017603382071,0.7777376135755402,0.6828892726210378,0.6926824262957466,0.8223097723915588,0.6876450099426072,0.6904916458389769,0.7395238051559616,0.7602101100742514,0.6987713304413098,0.7319584721904291,0.7815837667970175,0.7078183358400679,0.7650185924310043,0.7640725764808471,0.7702617196890703,0.7748510879447207,0.6614757974390922,0.5860469210621345
ACH-000280,0.7812265691041868,0.7464670880395662,0.7560072656192867,0.70510197762918,0.7415546937044815,0.694931241441165,0.7123135461054159,1.0,0.7593675439950378,0.7703053816085739,0.7724553115188298,0.7720511406940974,0.7149541237443876,0.7710441120609861,0.7884462803721486,0.7780034948703957,0.7760726722259171,0.7532876936014958,0.6622316155337915,0.8368960586871025,0.7209886043046159,0.6787659490848412,0.7818282430730638,0.7033244008744739,0.7051634528422829,0.7522153882752598,0.7812357774933772,0.7154841376049424,0.7425042152294693,0.7872338319482424,0.7401769107939922,0.7702600352028562,0.77315880348442,0.774074940846231,0.7719831438699454,0.656784016111114,0.5952638444207793
ACH-000291,0.7950984666058887,0.7743578226861173,0.7668179336011711,0.7272636860397841,0.7662615335947927,0.7231258836427175,0.7413312814626097,0.7593675439950378,1.0,0.8022118820687631,0.77839507396782,0.7841127227120248,0.7332256905433612,0.7825990664671992,0.8139963056599593,0.792863850962596,0.7868531996641283,0.7639757499235684,0.6754323509240034,0.8191273858662415,0.7248771232255786,0.7015553224822605,0.8181623342046892,0.719568354934758,0.7055109706335614,0.7725084893133131,0.792448797430107,0.726487796722326,0.7480547947059812,0.8032553156720931,0.7517441255428381,0.7912990864635094,0.7839610179581414,0.795734695023243,0.7978924364141566,0.6792238839392827,0.5936848125365779
ACH-000308,0.8217562047032458,0.8133372217826843,0.8022555093976468,0.7710817107627554,0.8122721535189913,0.7564991257683833,0.7620613082397126,0.7703053816085739,0.8022118820687631,1.0,0.81032319922015,0.8144863659345062,0.7404180444782115,0.8131190410876645,0.8499061930273553,0.8179241581152494,0.8180235921697001,0.792843349858933,0.6803872513085274,0.8453561554847875,0.7599936787144081,0.7063144672313716,0.8451885560919633,0.7416158817444014,0.7419765278259861,0.8025126541249736,0.8068195256003547,0.7482493823123809,0.7841054078155293,0.834781279449453,0.7812967798106545,0.8219410078902798,0.8103232340961978,0.8404309413898582,0.8361653023084029,0.6823824674167203,0.6162586950657427
ACH-000324,0.7873345088578634,0.7865792542833712,0.8125695450266925,0.7491445864757176,0.7860933873451638,0.7369033542047742,0.7514333125134941,0.7724553115188298,0.77839507396782,0.81032319922015,1.0,0.8227502713329411,0.7383449719811211,0.8219974371230403,0.8251194213447076,0.8142994457025742,0.7893970283290638,0.7728430573422067,0.6771531223389792,0.8333871572415499,0.7451596953125694,0.7273477603718965,0.8244890386262077,0.7418891685489387,0.7030771140931529,0.7916710085239094,0.8020721293755628,0.7266745007449374,0.7944778260710753,0.8293758026804616,0.7522115111391047,0.8064899751063852,0.7910093936370068,0.8065720163219813,0.8063402815274753,0.6646379767918578,0.6052270969431585
ACH-000460,0.8012294876140164,0.7994751986499932,0.7950228929127425,0.7589427683585297,0.7854924774886032,0.7378893700230216,0.7454014957460492,0.7720511406940974,0.7841127227120248,0.8144863659345062,0.8227502713329411,1.0,0.7384362031975668,0.8206694437354789,0.8320538784019396,0.8053722455935789,0.808381227479536,0.7729190857958456,0.6907292166280079,0.8288321204359066,0.7399788158821953,0.7122382360274327,0.8207534638310774,0.7258353115356498,0.7258328271399654,0.7950602996172275,0.7887352274332877,0.7334483010120297,0.7819663681841201,0.8243338566688406,0.7700578784212262,0.8013861045550086,0.7997796272931232,0.8053201085276604,0.8122490232011051,0.6799824782451351,0.598325674312191
ACH-000520,0.7408963986401853,0.7386863055960505,0.7281060145970726,0.70465000789395,0.7330072419460286,0.6897260846084466,0.7175903933614798,0.7149541237443876,0.7332256905433612,0.7404180444782115,0.7383449719811211,0.7384362031975668,1.0,0.7358439395000812,0.7605239346083765,0.7539504457315406,0.7403228544489149,0.725210407031488,0.6293715269973356,0.7772030357009723,0.6755266694954756,0.6833241098345131,0.7886170608544564,0.6738255585544304,0.6953026039024841,0.731727671715042,0.7528915308283317,0.6889514887882441,0.7070091142968151,0.7592993490787194,0.7153544911715689,0.7406568964106744,0.7384811273968784,0.7549205768680739,0.7724983821037222,0.6636059335914439,0.5805598982310092
ACH-000524,0.8038167747913582,0.8080334546417768,0.7947846426187191,0.7509762068453892,0.781224118963091,0.7471957429417174,0.7590085959928111,0.7710441120609861,0.7825990664671992,0.8131190410876645,0.8219974371230403,0.8206694437354789,0.7358439395000812,1.0,0.8223767033086359,0.7990476858804844,0.8016043444303326,0.7906131698134752,0.684249499424617,0.8283251009348098,0.7332756348700652,0.7258147940485282,0.8214102967046522,0.7259052858018664,0.7080881457640352,0.776983745696069,0.797492632831233,0.7358106537850088,0.7819123579301669,0.8376388752466623,0.7492824088993334,0.7979720739698698,0.7967048918897363,0.8071137425874324,0.8155529665214265,0.6696229605867208,0.6100970903754068
ACH-000527,0.8336403901857374,0.8364217770540646,0.814815813298069,0.7757381559299253,0.8087539060312339,0.7664050839882215,0.7886571327734008,0.7884462803721486,0.8139963056599593,0.8499061930273553,0.8251194213447076,0.8320538784019396,0.7605239346083765,0.8223767033086359,1.0,0.8358791347461577,0.8206647128849429,0.807606974911845,0.7126906867079352,0.8588922993821684,0.7631830767582078,0.7376090796462428,0.8605775352594253,0.768301111584423,0.7338319548606468,0.8152864684058521,0.8335078493509906,0.7668078687233744,0.8022698620296917,0.8477195269178369,0.7782881959478338,0.8417873697531624,0.8169974178368626,0.8387916869693828,0.8433281609097188,0.6996279285577119,0.6295010476731546
ACH-000542,0.8011396221901076,0.7937030945662898,0.8030649330450198,0.7609812358133571,0.8068237045431764,0.7297661028353777,0.7797606146976335,0.7780034948703957,0.792863850962596,0.8179241581152494,0.8142994457025742,0.8053722455935789,0.7539504457315406,0.7990476858804844,0.8358791347461577,1.0,0.7971311599630098,0.7846341700149465,0.6734028706185219,0.8464623836226725,0.7479823792645484,0.7467213924777344,0.8528098734117244,0.7496364019424495,0.7324564780358624,0.8058660503142642,0.8196658658198546,0.7473081852732221,0.783786685817526,0.8531620957430711,0.7717313680787842,0.8216241931467326,0.8088303658057988,0.8262543306316428,0.812728632321583,0.6946319076632601,0.6222534998055655
ACH-000584,0.8121083878490191,0.7923438326466787,0.7773021231768871,0.7551495298256549,0.7860087259651353,0.7371144812500018,0.751396240497357,0.7760726722259171,0.7868531996641283,0.8180235921697001,0.7893970283290638,0.808381227479536,0.7403228544489149,0.8016043444303326,0.8206647128849429,0.7971311599630098,1.0,0.7812061572997341,0.6782429483014477,0.8259176106259682,0.7367460226072191,0.7008781271064083,0.826856376551457,0.7185772393761998,0.732833554970589,0.7773390489726512,0.7903210902703363,0.7384984743285666,0.7609869646422001,0.8189973915597769,0.7701552418122624,0.810775721696711,0.7956650764208761,0.8073049205878086,0.8138305997090739,0.6771704965410681,0.6073846878431818
ACH-000608,0.7806241816614684,0.7677296188521092,0.7610442841217238,0.7134452779842988,0.75975240309468,0.7369079133470101,0.7391913476865246,0.7532876936014958,0.7639757499235684,0.792843349858933,0.7728430573422067,0.7729190857958456,0.725210407031488,0.7906131698134752,0.807606974911845,0.7846341700149465,0.7812061572997341,1.0,0.6609889818240121,0.8086095034662922,0.705079772866926,0.7061892874481884,0.810042256127759,0.7251336275151964,0.691867098987429,0.768644440582681,0.7986197881858237,0.724160143247206,0.7315715920455298,0.799162124443583,0.739193864000875,0.7781392217485785,0.7871373782328014,0.7881177089823046,0.7983684279741154,0.6543138086017065,0.6005461790074074
ACH-000646,0.6924101889330507,0.6742026774538744,0.653316104083715,0.6302560462747483,0.6478025781687944,0.6254545862192469,0.6320017603382071,0.6622316155337915,0.6754323509240034,0.6803872513085274,0.6771531223389792,0.6907292166280079,0.6293715269973356,0.684249499424617,0.7126906867079352,0.6734028706185219,0.6782429483014477,0.6609889818240121,1.0,0.6975237138256726,0.6344517509352687,0.606378803776771,0.6947718587476883,0.6295284198707867,0.6143905078385354,0.6674878857719823,0.6779268206924606,0.643333653539198,0.6493195133616937,0.6812864194612098,0.6455434982796073,0.6826546539708567,0.6725720090281994,0.6698589603033785,0.6849052757310974,0.5850761150134237,0.5164436588250494
ACH-000657,0.8440757984529889,0.8252316048584489,0.8306303247247606,0.7761704901230471,0.8082877253832098,0.7666804665094227,0.7777376135755402,0.8368960586871025,0.8191273858662415,0.8453561554847875,0.8333871572415499,0.8288321204359066,0.7772030357009723,0.8283251009348098,0.8588922993821684,0.8464623836226725,0.8259176106259682,0.8086095034662922,0.6975237138256726,1.0,0.7648129863449056,0.7481661201453689,0.871678472296221,0.7576899613949235,0.7837216397409119,0.8176708171656499,0.8358721459823234,0.7798992486042701,0.811803984381183,0.8526971953172753,0.80760719596258,0.8511899775878686,0.8368011986550075,0.8416157842796125,0.8505448217666425,0.7068032025143453,0.6360878156760642
ACH-000663,0.7295094157207678,0.7228945578955782,0.7268895867994062,0.6887130941228216,0.7214801685365877,0.6712849583775294,0.6828892726210378,0.7209886043046159,0.7248771232255786,0.7599936787144081,0.7451596953125694,0.7399788158821953,0.6755266694954756,0.7332756348700652,0.7631830767582078,0.7479823792645484,0.7367460226072191,0.705079772866926,0.6344517509352687,0.7648129863449056,1.0,0.6405095894278249,0.75086589425516,0.6692248601858871,0.6605936809469767,0.720150284873856,0.7315265498507654,0.6808796237396341,0.7157557469198739,0.7622189838460123,0.7082322949002022,0.7314762437268453,0.7313200678033951,0.738685749911898,0.7363695746964101,0.6248919403773117,0.5609761179642574
ACH-000688,0.7015592150685983,0.706324750569785,0.7116594782260455,0.6798620494070126,0.7045406530184076,0.6614352169438464,0.6926824262957466,0.6787659490848412,0.7015553224822605,0.7063144672313716,0.7273477603718965,0.7122382360274327,0.6833241098345131,0.7258147940485282,0.7376090796462428,0.7467213924777344,0.7008781271064083,0.7061892874481884,0.606378803776771,0.7481661201453689,0.6405095894278249,1.0,0.7572829300471648,0.6747990669744226,0.6316324434518873,0.7130827795641435,0.7431868619192395,0.6727630673127559,0.7080724291617125,0.738014815020572,0.6699622775506172,0.7256959386125575,0.7246624876239884,0.7263130748002854,0.7232505376629085,0.6316152620490001,0.5584759793426414
ACH-000696,0.8356509463456966,0.8288174476715992,0.8198334478674092,0.7802949796125236,0.8175842215490003,0.7651895004645488,0.8223097723915588,0.7818282430730638,0.8181623342046892,0.8451885560919633,0.8244890386262077,0.8207534638310774,0.7886170608544564,0.8214102967046522,0.8605775352594253,0.8528098734117244,0.826856376551457,0.810042256127759,0.6947718587476883,0.871678472296221,0.75086589425516,0.7572829300471648,1.0,0.7651964133654604,0.7615464711305193,0.8142368203717629,0.8301958809032858,0.7689626885132264,0.7918682012000962,0.8563255224556735,0.7959274343699377,0.8396814494248322,0.8256528254440999,0.8411408049469565,0.8556718431115812,0.7159120212819022,0.6296561827063385
ACH-000701,0.7294382769956014,0.7189738918572883,0.7268824070751021,0.6645970892290378,0.7127501163159672,0.6718228033864456,0.6876450099426072,0.7033244008744739,0.719568354934758,0.7416158817444014,0.7418891685489387,0.7258353115356498,0.6738255585544304,0.7259052858018664,0.768301111584423,0.7496364019424495,0.7185772393761998,0.7251336275151964,0.6295284198707867,0.7576899613949235,0.6692248601858871,0.6747990669744226,0.7651964133654604,1.0,0.6485255027152108,0.7291085375828925,0.7390360912433562,0.6738470785439964,0.7119842435100548,0.7495994361440187,0.6921017473230983,0.7435460544038283,0.7244877840679353,0.738513660624774,0.727339771780708,0.6195160441786932,0.5602698700490812
ACH-000713,0.7544757079971439,0.7263888612422957,0.7305995691138059,0.6874712231061642,0.702159631323011,0.6518088934891036,0.6904916458389769,0.7051634528422829,0.7055109706335614,0.7419765278259861,0.7030771140931529,0.7258328271399654,0.6953026039024841,0.7080881457640352,0.7338319548606468,0.7324564780358624,0.732833554970589,0.691867098987429,0.6143905078385354,0.7837216397409119,0.6605936809469767,0.6316324434518873,0.7615464711305193,0.6485255027152108,1.0,0.7036979884345219,0.7190757498170438,0.674888331896209,0.6884536204934449,0.7364219969538263,0.7319385636495273,0.7198173392046409,0.7236434412433546,0.7329677487435795,0.7523961528955103,0.6428012220817195,0.5525172724613285
