,ACH-000014,ACH-000274,ACH-000304,ACH-000322,ACH-000348,ACH-000401,ACH-000404,ACH-000425,ACH-000450,ACH-000458,ACH-000477,ACH-000550,ACH-000580,ACH-000614,ACH-000632,ACH-000661,ACH-000765,ACH-000788,ACH-000799,ACH-000801,ACH-000805,ACH-000810,ACH-000822,ACH-000827,ACH-000881,ACH-000882,ACH-000884,ACH-000899,ACH-000915,ACH-000968,ACH-001190,ACH-001239,ACH-001328,ACH-001522,ACH-001523,ACH-001524,ACH-001550,ACH-001552,ACH-001563,ACH-001566,ACH-001568,ACH-001645
ACH-000014,1.0,0.707892780867597,0.6101608446904019,0.6614493997646723,0.7239697292019015,0.650298125716826,0.6033530486838885,0.7482477243336687,0.6199637416625045,0.67826352802597,0.6249474311675342,0.7042291017185127,0.6524458274390638,0.6551482451842383,0.7367392791438083,0.6650842606344947,0.6786279999366664,0.7632283012095638,0.6600812205122935,0.6591811635487737,0.6707376349275203,0.5711221744029323,0.6683077515240468,0.7427403058492235,0.7206939043424617,0.7233651835808762,0.7313751940936218,0.637717813533269,0.7006539148659372,0.6768573378407331,0.6867804692334255,0.745424883183397,0.7005252145994656,0.6775931551879563,0.7001803229050073,0.7049813281562127,0.6489844902732257,0.6459286147720734,0.6710981332281704,0.6837280647179856,0.696715940837648,0.6699225604542642
ACH-000274,0.707892780867597,1.0,0.6355615180572464,0.6999780567058218,0.7695115057638292,0.678906656754789,0.6167634863990801,0.7715841019802926,0.6500121112366519,0.7377146532082121,0.6515343889007429,0.7564292690100317,0.6804932426159551,0.678734971521599,0.789165508114154,0.7046652675622115,0.7158824064376876,0.8091470449362405,0.7066710960554667,0.6969222499407873,0.6918860778040355,0.6022272435115799,0.7242621376718804,0.7973650333431216,0.7625761829597097,0.7496542533992314,0.771995827132334,0.6575609488359696,0.7391443688105522,0.7154334624986822,0.724890199784974,0.7786305379742902,0.7760218386365065,0.7312088081771588,0.7623415466090856,0.7719384188258787,0.7199972768599338,0.6814421495994385,0.744657800122299,0.731831154807622,0.7614496622511159,0.7337935041122013
ACH-000304,0.6101608446904019,0.6355615180572464,1.0,0.5976676445072576,0.642172721645106,0.5905060120240884,0.5471870549916406,0.6597768603743035,0.5675216966605066,0.6270374300515738,0.5749800864570531,0.6159876995899595,0.6025333026678609,0.600303789590753,0.6505638269652243,0.6125934409894855,0.6243531201073094,0.6672308297000621,0.6045806668609108,0.5974043562911575,0.6110341939815029,0.5315129642195638,0.6143471211977951,0.6654627691970858,0.645517829379301,0.6402863836634398,0.6411553704872122,0.580825782003107,0.6205131189064316,0.6126530195668276,0.6144047723434259,0.6712236448673272,0.6287057087260309,0.6193009146978631,0.6415602796583195,0.6292082341700818,0.5797575178269962,0.5797998420667919,0.6205386230905628,0.6179091040956671,0.6449205305005572,0.6120701076068051
ACH-000322,0.6614493997646723,0.6999780567058218,0.5976676445072576,1.0,0.7201839536205047,0.6464481121317371,0.5880175747337036,0.7327225760807258,0.6182193047018123,0.6877794327094594,0.606457832878673,0.6953217852042364,0.6508418590784786,0.6459886771826336,0.7124346665026082,0.6718841354061971,0.6721391732886602,0.7406478511356439,0.7203805548475287,0.653558953069827,0.6551480379005299,0.5762857244052119,0.668501877555062,0.7385440160887425,0.7104968326959026,0.7069099876805764,0.7115544457687774,0.6265463384419104,0.6847108114432897,0.6763249655386386,0.6845591884847496,0.7240461673286414,0.7021572119738263,0.6739760300894454,0.7106810508296392,0.7007177251279028,0.649659764368566,0.6348502234347932,0.6892326037794534,0.6752579418661105,0.7097149634774597,0.6767424123122032
ACH-000348,0.7239697292019015,0.7695115057638292,0.642172721645106,0.7201839536205047,1.0,0.7112022658943723,0.6325400048617635,0.7893849118693907,0.6661459788449192,0.7532919485988625,0.6620832259993857,0.7503470654631625,0.6996954109728889,0.6857773080461966,0.7900013141098887,0.7302002479090941,0.7494083933230699,0.826261501981076,0.7220266630918581,0.7118828355077089,0.7139568842255294,0.6172974443689008,0.7538642722444531,0.8088402919309091,0.7814315823324469,0.7731212838882395,0.7801532647681699,0.6803224989732212,0.7553488791181027,0.7364916535908068,0.7468126620179324,0.7805033873208093,0.7786462508317067,0.7423668744117141,0.7786164018530323,0.7787508222839022,0.7235612499764965,0.7104579537320226,0.7571605673901034,0.7495004188080059,0.7740573790380827,0.740160809713701
ACH-000401,0.650298125716826,0.678906656754789,0.5905060120240884,0.6464481121317371,0.7112022658943723,1.0,0.5825257223186161,0.7119974694227318,0.6145755436426735,0.6870612524333689,0.6180896499070979,0.665664361421632,0.6382738159415116,0.6212890367615456,0.7128995921455878,0.6670629902182493,0.6821781797497427,0.7359714765097515,0.6394414989673163,0.6503248783553075,0.6502799191126175,0.564720212909398,0.6763942895210573,0.7285163862618581,0.6932154914535774,0.6970835385520513,0.6980667653661373,0.618916895226776,0.675343974029273,0.6665565507997601,0.6691793974535806,0.692013790471519,0.7006918683122996,0.6721785840957307,0.7024026321251273,0.7033666760727646,0.6379003154236071,0.6395621685573979,0.6662808198470447,0.6703292614686812,0.69148664578433,0.6666968378178274
ACH-000404,0.6033530486838885,0.6167634863990801,0.5471870549916406,0.5880175747337036,0.6325400048617635,0.5825257223186161,1.0,0.6457375252607095,0.5611958599583493,0.6168426233918596,0.5662824468000583,0.6077191226265773,0.5927999218246769,0.5895309793119338,0.6417985924696119,0.6154436661262724,0.6211379735129119,0.663695856248368,0.5959183929317787,0.5932850278898382,0.5972054639774931,0.5267552790273274,0.6207296678308077,0.6542289744373313,0.6395916407332609,0.6438231921520225,0.6289537887470688,0.572971012310312,0.6263205010966686,0.6146727817763791,0.6133785980360638,0.6362084860084529,0.6266881044733811,0.6224773090168838,0.6295053165008062,0.6336868395745802,0.5953002746437764,0.5749406033636184,0.6111690148344578,0.620232474131274,0.6340805644225399,0.6058846141567619
ACH-000425,0.7482477243336687,0.7715841019802926,0.6597768603743035,0.7327225760807258,0.7893849118693907,0.7119974694227318,0.6457375252607095,1.0,0.6702360043362121,0.7420143992218312,0.6887902866446588,0.7466135975927746,0.7230375074947982,0.7141379412530442,0.7946516420770393,0.7388754437844905,0.7505636854434967,0.8381241168941067,0.7483307010869279,0.7247066934872438,0.7420506120430975,0.6120405428258511,0.7492670326864406,0.8217973673046948,0.7918009812879856,0.7853470357523307,0.7970280597124182,0.6988034804113165,0.7599329397326638,0.748474296584292,0.7533472749638156,0.8091979151809616,0.7672418277734806,0.757289181620846,0.7719338677386821,0.7791801592372622,0.7211944469485062,0.7005627345207545,0.7588734507159763,0.7553574878878794,0.7756547846370072,0.7608232193522603
ACH-000450,0.6199637416625045,0.6500121112366519,0.5675216966605066,0.6182193047018123,0.6661459788449192,0.6145755436426735,0.5611958599583493,0.6702360043362121,1.0,0.6525905070887668,0.5953898495028778,0.635302162833223,0.6138273579134079,0.6051313467796647,0.6766641994551378,0.6445794612724403,0.6468581018337097,0.6928378691631827,0.6060399227735095,0.6264493652573188,0.6245475190700572,0.5475905491314216,0.6398425658110668,0.6899147631191969,0.6628310925053967,0.6644681468387927,0.661779891698819,0.5842526822489813,0.6464172596798113,0.6460472865635405,0.6422914411950646,0.6668687935106941,0.667895225696251,0.6379292589320243,0.6601984358198586,0.6623470828163629,0.6062981438951586,0.6034626943554134,0.6369614221677109,0.6432387366983027,0.6612884297600312,0.6348484229829305
ACH-000458,0.67826352802597,0.7377146532082121,0.6270374300515738,0.6877794327094594,0.7532919485988625,0.6870612524333689,0.6168426233918596,0.7420143992218312,0.6525905070887668,1.0,0.6498808304502673,0.7135184599838362,0.6705459795545571,0.6526754202747256,0.764146583717037,0.7130133403694986,0.7216742787628322,0.7864017165365548,0.6851384221685961,0.6892049952156944,0.6953545980134785,0.5950077431102059,0.7262817786705694,0.7855260695013673,0.7486372275809086,0.7452902240396466,0.7533486871060804,0.6446867363788273,0.7244936184029723,0.7134061918036138,0.7328724291340709,0.7403733831514527,0.7900561920404616,0.7118666477821919,0.7731827130244223,0.7823874447113465,0.7097900702340532,0.6836008567335601,0.7185841632282532,0.7125050422239332,0.743393883987497,0.714052130887772
